,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro,Mean Rank
BCA,0.7151128854715673,0.786733095677592,0.892593218401335,0.5679918240775608,0.8162031257458248,0.6773419345023817,0.6814282215183453,0.5817991988455442,0.7691681212577249,0.9452747004481178,5.2
GMM-All,0.8363983961030679,0.8677499051117777,0.9964960608580392,0.8611514355509822,0.766423121254548,0.4514940220213448,0.4368835724102985,0.9548439714747332,0.9969887032237194,1.0,5.2
ICA,0.601511418409092,0.8287724474800428,0.8448594786345129,0.5658981334504731,0.8153940340262095,0.7128252208593722,0.5884341808926258,0.5738122528971981,0.7661091964864556,0.9451428409190236,5.9
GMM-Int,0.7866069990856434,0.8263238354249104,0.7265518541514651,0.8626273854399809,0.7788139695891956,0.487261965071624,0.4325442406558483,0.91071532687121,0.9843759495771416,1.0,6.0
QFR,0.623128079625383,0.8638644966366578,0.6245039266483537,0.5420978749395301,0.8862122218180744,0.6775183609976261,0.5732085890640808,0.5787057053407506,0.674853198999879,0.9109846670107216,6.6
GMM-Spa,0.9312158030752578,0.6634866688416926,1.0,0.6698993866835303,0.7203209413855568,0.4938077816258303,0.4149571597719125,0.8498900223738325,0.893627100963728,0.8987008814574263,7.1
PLM 50,0.4763612832670694,0.6827600089194484,0.4569053305438059,0.9545617752113588,0.5021121278776951,0.6801259623653012,0.7486807665247661,0.5658208199385123,0.4861307980311591,0.8590124470649785,8.7
AQA 0.60,0.534196133432819,0.6380047353730797,0.6356194145645852,0.9536029767013436,0.5047295113907152,0.7624233569788913,0.8060264380079686,0.3311481854340961,0.4865278693987945,0.5489995357829771,8.9
PLM 10,0.5243855838305957,0.6399373017707514,0.4356609276076441,0.906593975872346,0.5897343584389181,0.6511904248838476,0.6527222986374256,0.491512434546118,0.6913252930716335,0.8566188132928622,9.1
PLM 20,0.4722227851106485,0.6780991879334035,0.4165373689244934,0.9550257309618916,0.5161068611520725,0.6731997292492086,0.7273454396330465,0.5624841570430864,0.5668399635719154,0.8380686018773028,9.2
AQA 0.75,0.5243269118234625,0.6395042733348416,0.5969138518772369,0.9561116650352992,0.4989056718367479,0.7674030030616807,0.8158793328838575,0.327886625588667,0.4574665907102121,0.5481873397953639,9.7
AVG,0.4966959017477581,0.636870853832208,0.7410055745025179,0.9535251688413308,0.5016187325688871,0.7661029322840411,0.7878437523853925,0.3288337952202906,0.4811625236522994,0.5617332614406941,9.8
AQA 0.90,0.5424994489595395,0.691141718117491,0.4568924284290749,0.9555620265610182,0.5003069615447185,0.7456884609007493,0.7662148794413499,0.3157423902182272,0.4334835884305373,0.5404563379058188,9.9
ATA 0.5,0.6612619818966239,0.7783211140664121,0.3166525351115066,0.4739342877713837,0.448123066907122,0.6115148704324752,0.5935427864554084,0.4331798637003537,0.5415715413707155,0.6252335791633866,11.1
ATA 0.3,0.5259313306490766,0.6076953245082369,0.3535948932614473,0.4236406175715171,0.5445323449327767,0.6675905143530602,0.5834577370967042,0.423622772832847,0.5751897772889538,0.6661864602470735,11.5
ATA 0.7,0.48426248583065,0.7908444769682553,0.355147597360068,0.5126215557680905,0.5097972376850974,0.557760808879174,0.5094813638094527,0.3456847568841525,0.4834683775143948,0.5778220374566716,12.0
