,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,WEED-Hand,WORM-Nem,WORM-Pro,Mean Rank
QFR,0.0386101929665293,0.0170831644139959,0.0616839334310614,0.0488893116985983,0.0865038323831797,0.2557414104265387,0.2691208493494951,0.1568248973006757,0.0384960709685971,0.0377790633157647,3.4
GMM-F,0.0538311177940252,0.0280984554618016,0.0535921248603607,0.0735883692820135,0.0702159915745479,0.160911191885374,0.2069533458043923,0.0793977648255289,0.0940284720752835,0.0582945719113657,4.2
GMM-I,0.0647230936396943,0.0286556513871809,0.095105117905637,0.0708557879912255,0.0637953814518826,0.1731831015076583,0.2018219100119379,0.0865693923094958,0.0868211648654943,0.0596161368252545,5.4
GMM-S,0.0456746537575773,0.0397636865755287,0.0461733460722625,0.0752496412062754,0.0759570754674485,0.1764333103991563,0.2020533589897792,0.1222810393550635,0.1331498258848895,0.0692747427007133,6.0
BCA,0.0357930527741826,0.0283572146669283,0.0437012319452894,0.064895049372503,0.1289787870941307,0.2961940808097706,0.3340466595931094,0.2010254314902492,0.0992604066921897,0.091502712654698,6.7
ATA 0.3,0.0530105566769008,0.031440804955469,0.0864217910153651,0.1218708358358194,0.139104401834423,0.2684944143658233,0.280866349473456,0.2848471277586097,0.0295613035653057,0.0878940244898439,8.0
ATA 0.5,0.0409772961153496,0.0244425794663512,0.1023678099568277,0.1859441147089924,0.1466954427765739,0.2327441219901459,0.2842295623766903,0.2866425099610417,0.0268993617491344,0.0834795121755383,8.1
PLM 10,0.0639749539385273,0.0259831093138317,0.0873976699004009,0.0882500255065639,0.132294249146222,0.2698237644120573,0.3048231714444213,0.2966339132344999,0.1133864982805113,0.0541755233890003,8.3
PLM 20,0.0617411042821234,0.0249582086593402,0.0886407937263977,0.0972472843857063,0.1411372171780488,0.2791430766514653,0.3278643414048375,0.2880445855618824,0.0949247252052869,0.0625815770520986,8.5
ATA 0.7,0.1262236291019752,0.0151565922571422,0.1020356776448362,0.2032700394876565,0.150838563834088,0.2148503740662748,0.2539026265741411,0.3020075861529591,0.0351159401436819,0.0773067516568824,9.4
PLM 50,0.0783955333832626,0.0260334849168915,0.0874678851521553,0.0988094398780426,0.1423500650639914,0.2825131988673759,0.3376954027017052,0.2893958347857939,0.0925071810160344,0.0719276216938376,10.0
AQA 0.90,0.0502223913468207,0.0296703333865823,0.084226957666876,0.0987517656264024,0.1424069626592737,0.3142528979864147,0.3493739718966436,0.318624370225769,0.0797632105177948,0.1308217980050025,10.5
ICA,0.0925548123072304,0.0418435072748353,0.0608924042818974,0.064895049372503,0.1289787870941307,0.328326329907409,0.3601596832645639,0.3131504362805785,0.0992604066921897,0.091502712654698,10.7
AQA 0.75,0.0625361252815836,0.034376172129047,0.078480825544076,0.0987517656264024,0.1424095219256173,0.3242296267170585,0.3672051975851939,0.3145387198155398,0.0882295977379414,0.1296647798306149,11.6
AVG,0.0938137941263591,0.0365629355744904,0.0652032117037005,0.0987517656264024,0.1424095219256173,0.3248828962420244,0.3595549145479877,0.3134097234059725,0.0915345165111405,0.1159848098643404,11.9
AQA 0.60,0.0652921753970968,0.0352800168837416,0.0760038831811847,0.0987517656264024,0.1424095219256173,0.3246729046505399,0.361894470739527,0.3133998621027769,0.0940420303723931,0.1266109779529736,12.0
