,ARC-BC,ARC-Nuc,CAR-CS,LIDC-Mal,LIDC-Tex,LIZ-IG,LIZ-SG,Mean Rank
QFR,0.0427812225341449,0.01737961739731,0.0613975684762885,0.0377838907101683,0.0426191058493879,0.2628158763612158,0.2756261696186002,2.857142857142857
GMM-S,0.0505888218255682,0.0382240398383457,0.0476667309788822,0.0513934096820715,0.0586925313320581,0.1951026329794893,0.2060410732769963,4.428571428571429
GMM-F,0.0532984762610067,0.0354101445806596,0.0582857988669688,0.0683683169858493,0.0601617714305039,0.1576692302936728,0.2117484413921546,5.714285714285714
BCA,0.045629998646017,0.0275934684807732,0.0380392322751051,0.0481625592454171,0.0793671157065356,0.2992915586623021,0.3368618926666823,6.428571428571429
GMM-I,0.0633462728199026,0.0360513229356722,0.0772350802690181,0.0649688423467063,0.0637762266262385,0.1755693907366766,0.2171268777678561,7.0
PLM 10,0.1006332193469981,0.0251698555119328,0.0903530881046991,0.0540051753449268,0.0666205737094834,0.2674607354506669,0.3061857446306116,7.571428571428571
PLM 20,0.0648628872881105,0.025833341063019,0.0940438687750255,0.0553730952771807,0.0749609564287185,0.2790472311231602,0.3283792008125568,8.142857142857142
ATA 0.3,0.0440125854517852,0.0278808860041309,0.0964448251449665,0.1160702851383087,0.1179707103707786,0.2639950099816787,0.2844234972770046,9.142857142857142
AQA 0.90,0.0529716175542998,0.0283051337180641,0.0914396816822808,0.0556272256353532,0.0754288196236422,0.3163641252832698,0.3495526942968664,9.142857142857142
ATA 0.5,0.0485102515668654,0.0220345415528061,0.1111650191165107,0.1605077623786156,0.1723526894902242,0.2332550805302948,0.2880100049843263,9.285714285714286
PLM 50,0.0655395832382486,0.0279680308336236,0.0922032393866365,0.0556272256353532,0.07558638487119,0.2850937327068666,0.3414607897673423,9.428571428571429
ATA 0.7,0.1390163754389628,0.0132048975438181,0.1052806650179681,0.2266337391840278,0.1783288883680772,0.2192236653907774,0.2488376622435744,10.285714285714286
AQA 0.75,0.0687941311942829,0.033821874319097,0.0827739179532652,0.0556272256353532,0.07558638487119,0.3265890116144332,0.3676958299007851,10.571428571428571
AQA 0.60,0.0759000459081723,0.0358461051783136,0.0781061660125586,0.0556272256353532,0.07558638487119,0.3270491169661988,0.360923125449213,10.857142857142858
AVG,0.105017516347069,0.0393308734060895,0.0673373046619712,0.0556272256353532,0.07558638487119,0.3272603589099305,0.3595290999650308,11.285714285714286
ICA,0.1043887916285101,0.0424226359790796,0.0645502100113763,0.0481625592454171,0.0793671157065356,0.330184522444109,0.3601593964264592,11.285714285714286
