,ARC-BC,ARC-Nuc,LIDC-Mal,LIDC-Tex,Mean Rank
QFR,0.846457728311561,0.8771471759967453,0.680189177783758,0.8108608126181753,4.5
BCA,0.8146937919797467,0.8730089537132382,0.6961389996761663,0.7266957980049493,5.0
GMM-All,0.7239544976358755,0.8842134675433722,0.8847859775165486,0.725693530566128,5.0
ICA,0.7356798721251349,0.8827926876900488,0.7016839062891518,0.7233726512723129,5.5
AQA 0.90,0.8089017458875465,0.7435167114735811,0.9478366116668184,0.5090853514855868,6.5
PLM 20,0.7330152822097128,0.7786115120788568,0.9484613495842332,0.505023044990703,6.75
GMM-Int,0.6538090473754137,0.8363072984849294,0.9014277230706028,0.7203050890606418,7.75
AQA 0.75,0.7196400900748932,0.6560495516285186,0.9469734023730318,0.5082674767826416,8.75
AQA 0.60,0.6622978746980466,0.6434744280152028,0.947131196087105,0.506505833816322,9.75
PLM 10,0.4450338528118647,0.7481698026473504,0.9020751640970024,0.5985698236606607,9.75
PLM 50,0.6092350742624986,0.7496076797595308,0.9463946421149256,0.5064020378267892,9.75
GMM-Spa,0.6872360250217471,0.6027408175099254,0.7832598148812261,0.6832866940904889,10.25
ATA 0.3,0.8143898081025482,0.6694550831128822,0.6358664569892594,0.464657386955411,10.75
AVG,0.5380962268013039,0.6228647788759695,0.94821938010534,0.5020841148274978,11.0
ATA 0.5,0.6723086899908485,0.8154012032124611,0.5546250514150601,0.4057453081468127,11.75
ATA 0.7,0.4111283280981736,0.8365373168655469,0.460757296632421,0.3300002205654157,13.25
