Aggregator,AURC,AURC_std
Equally-w. class avg.,0.17916545939914885,0.0
Imbalance-w. class avg.,0.17916545939914885,0.0
Mean,0.19319399624467243,0.0
Threshold 0.3,0.1899081540011361,0.0
Threshold 0.5,0.19683218752668508,0.0
Threshold 0.7,0.20130312882708534,0.0
Quantile 0.6,0.19319399624467243,0.0
Quantile 0.75,0.19319399624467243,0.0
Quantile 0.9,0.19319119178762956,0.0
Quantile fg. ratio,0.13697911142160835,0.0
Patch 10,0.18322278930250926,0.0
Patch 20,0.19192979928684611,0.0
Patch 50,0.19312753941789593,0.0
GMM,0.11679671128688027,0.0
