Aggregator,AURC,AURC_std
Quantile fg. ratio,0.14470846776289015,0.0
Patch 10,0.16039695725888783,0.0
GMM,0.16566729823596393,0.0
GMM_pixel,0.16630894049150927,0.0
Patch 20,0.16834450549945673,0.0
GMM_spatial,0.17570914415961558,0.0
Patch 50,0.17915849921264804,0.0
Threshold 0.7,0.1837901654336849,0.0
Threshold 0.5,0.1898439189978385,0.0
Threshold 0.3,0.19429388381965895,0.0
Equally-w. class avg.,0.19799032460298596,0.0
Imbalance-w. class avg.,0.19799032460298596,0.0
Mean,0.22217038298247088,0.0
Quantile 0.6,0.2331721463538988,0.0
Quantile 0.75,0.23618011100541897,0.0
Quantile 0.9,0.2371835777935864,0.0
