Aggregator,AURC,AURC_std
Quantile fg. ratio,0.5015789922128882,0.0
Threshold 0.7,0.5034464201556421,0.0
Threshold 0.5,0.5055749240301609,0.0
Threshold 0.3,0.5073503666617667,0.0
Patch 20,0.5113439712164702,0.0
Quantile 0.9,0.5130611079470191,0.0
Patch 50,0.5165432371264579,0.0
Quantile 0.75,0.5167718681069787,0.0
Patch 10,0.5167801849498215,0.0
Equally-w. class avg.,0.5173911627443203,0.0
Quantile 0.6,0.5204625043652227,0.0
Mean,0.5239742128862092,0.0
Imbalance-w. class avg.,0.5263409816373121,0.0
GMM,0.5373467601744085,0.0
GMM_pixel,0.5494118451193126,0.0
GMM_spatial,0.5943326310024383,0.0
