Aggregator,AURC,AURC_std,EAURC,EAURC_std
Threshold 0.5,0.4350028769831915,0.007930891935196718,0.012511713897491535,0.0022804693308097305
Quantile fg. ratio,0.438352719977726,0.007885050295271754,0.015861556892025976,0.0027189916019624283
Threshold 0.3,0.43864534618173306,0.008206130583304211,0.01615418309603306,0.0026853637489762995
Equally-w. class avg.,0.44381183742539304,0.008677038016418795,0.021320674339693018,0.003578492953743741
Patch 50,0.4481193550026503,0.008934654990814146,0.02562819191695027,0.004622780108743451
Patch 20,0.4498100921880225,0.009719191674664172,0.027318929102322496,0.005434046227783515
GMM,0.45192398685674545,0.007767997194157883,0.029432823771045447,0.005008221649189399
Patch 10,0.45262939930680957,0.010725746188722131,0.030138236221109522,0.006911150405510244
Quantile 0.9,0.4539546132628516,0.009579432261467073,0.03146345017715151,0.005571696446725551
Quantile 0.75,0.4577932535046898,0.010533568358142693,0.03530209041898978,0.0067678411808166665
GMM_pixel,0.4583174915923557,0.007646605221977143,0.035826328506655694,0.005256654682285068
GMM_spatial,0.4589347506802342,0.009613481201194426,0.036443587594534255,0.006202502605011532
Quantile 0.6,0.460646793989256,0.010754661355349412,0.038155630903556004,0.007388092651759148
Mean,0.460954460889569,0.010755548365707654,0.03846329780386894,0.007398763059364851
Imbalance-w. class avg.,0.4640408764137426,0.008803924490114351,0.0415497133280426,0.005073353262312852
Threshold 0.7,0.47347597047591716,0.006947884102505804,0.050984807390217116,0.003452301864036054
