Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM,0.5419953741807272,0.015618013694544327,0.1576692302936728,0.012516613063480314
GMM_pixel,0.559895534623731,0.016144943199762604,0.17556939073667666,0.012990149709301903
GMM_spatial,0.5794287768665436,0.01643015305679453,0.19510263297948932,0.013399036524514348
Threshold 0.7,0.6035498092778318,0.017426469712459067,0.21922366539077745,0.01413068364740762
Threshold 0.5,0.6175812244173493,0.01734300626300933,0.23325508053029484,0.014004637964337225
Quantile fg. ratio,0.6471420202482702,0.01641604317847305,0.26281587636121584,0.01271230128654213
Threshold 0.3,0.648321153868733,0.016692491968283606,0.2639950099816787,0.013253825422434534
Patch 10,0.6517868793377213,0.016986187907949885,0.2674607354506669,0.013513691224366865
Patch 20,0.6633733750102145,0.016585593089152282,0.2790472311231602,0.013086205173388505
Patch 50,0.669419876593921,0.016341964186507126,0.2850937327068666,0.01277262418248419
Equally-w. class avg.,0.6836177025493564,0.016208573472497587,0.2992915586623021,0.012415937689304114
Quantile 0.9,0.7006902691703242,0.015548199835786324,0.31636412528326985,0.011704612014227438
Quantile 0.75,0.7109151555014875,0.015165842350529053,0.32658901161443327,0.0112940905666936
Quantile 0.6,0.7113752608532532,0.015151932167479818,0.32704911696619887,0.011280841461538195
Mean,0.7115865027969849,0.015163604730124014,0.32726035890993055,0.01129150455068357
Imbalance-w. class avg.,0.7145106663311634,0.01509605312916521,0.330184522444109,0.011183434754152727
