Aggregator,AURC,AURC_std,EAURC,EAURC_std
Equally-w. class avg.,0.4802893229314189,0.019657005116515535,0.035793052774182696,0.0071829345740726195
Quantile fg. ratio,0.48310646312376554,0.01901214128135881,0.038610192966529365,0.007874052152077529
Threshold 0.5,0.48547356627258587,0.019759355953341204,0.04097729611534968,0.008837783369513847
GMM_spatial,0.49017092391481354,0.019406738746940568,0.04567465375757736,0.008461108828588233
Quantile 0.9,0.49471866150405697,0.019292161046833,0.05022239134682077,0.009957830639112705
Threshold 0.3,0.4975068268341371,0.018857250049102235,0.053010556676900814,0.011664519540065093
GMM,0.4983273879512614,0.020154504897857462,0.053831117794025246,0.010122495317543636
Patch 20,0.5062373744393596,0.0199180049984459,0.06174110428212341,0.01089716721601784
Quantile 0.75,0.5070323954388198,0.019923317340998385,0.06253612528158364,0.010815343748528284
Patch 10,0.5084712240957635,0.023241897876554195,0.06397495393852735,0.012879172225169194
GMM_pixel,0.5092193637969306,0.020222812271799874,0.06472309363969435,0.011701364136702324
Quantile 0.6,0.5097884455543331,0.02012049826248722,0.0652921753970968,0.011167188944107943
Patch 50,0.5228918035404988,0.021865464810231817,0.0783955333832626,0.014600338925817639
Imbalance-w. class avg.,0.5370510824644666,0.022054548153819836,0.0925548123072304,0.015253967612871245
Mean,0.5383100642835954,0.02183664703466009,0.09381379412635911,0.015076169982054449
Threshold 0.7,0.5707198992592116,0.025337351757197767,0.12622362910197527,0.019895335294340868
