Aggregator,AURC,AURC_std,EAURC,EAURC_std
Equally-w. class avg.,0.35017443527954745,0.010735120919875536,0.043701231945289465,0.006279488515578379
GMM_spatial,0.3526465494065205,0.008004294495847716,0.04617334607226253,0.004473553284670587
GMM,0.36006532819461873,0.007984770105607341,0.05359212486036078,0.005644369547892888
Imbalance-w. class avg.,0.3673656076161554,0.010624824385592573,0.06089240428189742,0.005866763662579374
Quantile fg. ratio,0.36815713676531936,0.011324968926344202,0.06168393343106145,0.00612940285151315
Mean,0.37167641503795856,0.010399263493933934,0.06520321170370058,0.0061022256022742315
Quantile 0.6,0.3824770865154427,0.010788468467308472,0.07600388318118478,0.007392080865312718
Quantile 0.75,0.38495402887833396,0.010928812118459346,0.07848082554407601,0.007675133495544436
Quantile 0.9,0.390700161001134,0.011411245809654727,0.08422695766687605,0.008412908334017121
Threshold 0.3,0.39289499434962316,0.0119946733107571,0.08642179101536519,0.008296078612904859
Patch 10,0.39387087323465886,0.011820951711827486,0.0873976699004009,0.008200343056607997
Patch 50,0.39394108848641324,0.011061119726151737,0.0874678851521553,0.008575200199098609
Patch 20,0.3951139970606557,0.01154334467574161,0.08864079372639778,0.008516895260841479
GMM_pixel,0.401578321239895,0.010271031138441942,0.09510511790563701,0.009361523118138627
Threshold 0.7,0.4085088809790942,0.013600643043060932,0.10203567764483625,0.009299113941404886
Threshold 0.5,0.4088410132910857,0.012360875950398115,0.10236780995682773,0.00862287990036025
