Aggregator,AURC,AURC_std
Equally-w. class avg.,0.5899173011155593,0.0
Imbalance-w. class avg.,0.5956291067671581,0.0
Mean,0.5923548732060986,0.0
Threshold 0.3,0.5670915892186373,0.0
Threshold 0.5,0.572253427408432,0.0
Threshold 0.7,0.572606161226172,0.0
Quantile 0.6,0.5912707374046978,0.0
Quantile 0.75,0.5877419903356197,0.0
Quantile 0.9,0.5816010620781656,0.0
Quantile fg. ratio,0.5685977196458011,0.0
Patch 10,0.594531029419029,0.0
Patch 20,0.5834613690352547,0.0
Patch 50,0.5873981245976576,0.0
GMM,0.5932782197901693,0.0
