Aggregator,AURC,AURC_std
Equally-w. class avg.,0.6288857078427008,0.0
Imbalance-w. class avg.,0.646941612948443,0.0
Mean,0.648162577555625,0.0
Threshold 0.3,0.6128979927922642,0.0
Threshold 0.5,0.6231893799808765,0.0
Threshold 0.7,0.6661405076893172,0.0
Quantile 0.6,0.6290491353386609,0.0
Quantile 0.75,0.6267932978668828,0.0
Quantile 0.9,0.6171776435168741,0.0
Quantile fg. ratio,0.6241481043244493,0.0
Patch 10,0.6317844373963571,0.0
Patch 20,0.619611312523953,0.0
Patch 50,0.6283738579272314,0.0
GMM,0.6445331297342684,0.0
