Aggregator,AURC,AURC_std
Equally-w. class avg.,0.4303778066870071,0.0
Imbalance-w. class avg.,0.4582266274343301,0.0
Mean,0.4577233685473383,0.0
Threshold 0.3,0.4564397701462568,0.0
Threshold 0.5,0.4431102324504564,0.0
Threshold 0.7,0.44940037440762604,0.0
Quantile 0.6,0.4563576083925,0.0
Quantile 0.75,0.4635596437675049,0.0
Quantile 0.9,0.4607629541711826,0.0
Quantile fg. ratio,0.4513769056960636,0.0
Patch 10,0.4376800685017503,0.0
Patch 20,0.4487333042399386,0.0
Patch 50,0.4485238393292792,0.0
GMM,0.43092997389528415,0.0
