Aggregator,AUROC,AUROC_std,Noise_Level
GMM,0.9538691374593283,0.028548799219823052,1_00
GMM_pixel,0.9145134158667984,0.042874191558635075,1_00
GMM_spatial,0.8521538324726446,0.043145804717173705,1_00
Equally-w. class avg.,0.5816186937254493,0.06579865669574463,1_00
Imbalance-w. class avg.,0.5791710773444881,0.06216260341797746,1_00
Quantile fg. ratio,0.5714704803957186,0.07039983062929661,1_00
Patch 50,0.56868382099724,0.04742930133563758,1_00
Patch 20,0.5672879218245066,0.04514692152659384,1_00
Patch 10,0.4985538531727516,0.04300225187633344,1_00
Threshold 0.5,0.43286494563663014,0.044069023664725,1_00
Threshold 0.3,0.4252513167116299,0.04311194545249203,1_00
Threshold 0.7,0.3452452463685257,0.0402875270079936,1_00
Quantile 0.6,0.32938385815222454,0.05126676433391931,1_00
Mean,0.3261851087494939,0.05068385366432367,1_00
Quantile 0.75,0.3237159408021782,0.05086182069691586,1_00
Quantile 0.9,0.3206269134514549,0.04900111546097066,1_00
