Aggregator,AUROC,AUROC_std,Noise_Level
Mean,0.9545546764049504,0.0,1_00
Quantile 0.6,0.9545546764049504,0.0,1_00
Quantile 0.75,0.9545546764049504,0.0,1_00
Quantile 0.9,0.9545546764049504,0.0,1_00
Patch 20,0.9543517954960439,0.0,1_00
Patch 50,0.9541489145871374,0.0,1_00
Patch 10,0.9080949482653683,0.0,1_00
GMM Normalized,0.8636640292148509,0.0,1_00
Equally-w. class avg.,0.5652262122134307,0.0,1_00
Imbalance-w. class avg.,0.5652262122134307,0.0,1_00
Quantile fg. ratio,0.5394603367823089,0.0,1_00
Threshold 0.7,0.5145059849868128,0.0,1_00
Threshold 0.5,0.4757557313856766,0.0,1_00
Threshold 0.3,0.4242239805234328,0.0,1_00
