Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.8782945655716664,0.04286290869276111,1_00
Equally-w. class avg.,0.8209587074845343,0.06397908269194312,1_00
Imbalance-w. class avg.,0.8207200034303129,0.06794363084580947,1_00
GMM,0.7005653491202065,0.06456640421192418,1_00
GMM_spatial,0.6970014776293055,0.06093683027349652,1_00
GMM_pixel,0.6843063664541909,0.0649537651896715,1_00
Patch 10,0.6524008963680046,0.07257199458704901,1_00
Patch 20,0.579753692005814,0.0657512570822793,1_00
Quantile 0.75,0.5745068446268851,0.06880946507659784,1_00
Mean,0.5726852594061254,0.06880492580029586,1_00
Quantile 0.9,0.5719423294901959,0.06620412377142072,1_00
Quantile 0.6,0.5709982344246507,0.06917310480396137,1_00
Patch 50,0.5671891533680287,0.0657276105046147,1_00
Threshold 0.3,0.5533953470312643,0.07612818254544701,1_00
Threshold 0.5,0.39751100186867266,0.07615639551278156,1_00
Threshold 0.7,0.3248538005840796,0.062099541387560936,1_00
