Aggregator,AUROC,AUROC_std,Noise_Level
GMM,0.9967408972373926,0.003242705594508777,1_00
GMM_pixel,0.9848671273906419,0.010421316091644218,1_00
GMM_spatial,0.8923686491316671,0.036911316907210084,1_00
Imbalance-w. class avg.,0.7737865584856367,0.055780799593720905,1_00
Equally-w. class avg.,0.7678980848292233,0.05625004257522109,1_00
Patch 10,0.6879838757100601,0.06104781187453182,1_00
Quantile fg. ratio,0.6833935652209627,0.06511455988780648,1_00
Patch 20,0.5652695606984552,0.06819465962886408,1_00
Threshold 0.3,0.5640349488694777,0.0675740833000913,1_00
Threshold 0.5,0.5350143111746911,0.06699401609467014,1_00
Mean,0.49201054101362995,0.06834636506111934,1_00
Quantile 0.6,0.48776661447779734,0.0686206865920741,1_00
Threshold 0.7,0.48756476462250137,0.06526496520197042,1_00
Patch 50,0.4820671013329829,0.06601024797686066,1_00
Quantile 0.75,0.4614605913859263,0.06634413788337871,1_00
Quantile 0.9,0.42875648137525585,0.06754823399269828,1_00
