Aggregator,AUROC,AUROC_std,Noise_Level
GMM Normalized,1.0,0.0,1_00
Equally-w. class avg.,0.9200000000000002,0.0,1_00
Imbalance-w. class avg.,0.9200000000000002,0.0,1_00
Quantile fg. ratio,0.8692682926829268,0.0,1_00
Patch 50,0.8614634146341463,0.0,1_00
Patch 10,0.8273170731707317,0.0,1_00
Patch 20,0.8175609756097562,0.0,1_00
Threshold 0.3,0.6917073170731707,0.0,1_00
Threshold 0.5,0.6497560975609755,0.0,1_00
Mean,0.6087804878048781,0.0,1_00
Quantile 0.6,0.5892682926829268,0.0,1_00
Quantile 0.75,0.5814634146341463,0.0,1_00
Quantile 0.9,0.5765853658536586,0.0,1_00
Threshold 0.7,0.5668292682926829,0.0,1_00
