Aggregator,AUROC,AUROC_std,Noise_Level
GMM,1.0,2.3811631099687443e-17,1_00
GMM_pixel,1.0,2.2204460492503132e-17,1_00
Quantile fg. ratio,0.8884052069780674,0.03290025171312109,1_00
GMM_spatial,0.8729370046747602,0.03640160095176448,1_00
Imbalance-w. class avg.,0.8567018562339495,0.034482199335192906,1_00
Equally-w. class avg.,0.8562678210553001,0.03561587168926676,1_00
Patch 10,0.808269902006365,0.042813991337160864,1_00
Patch 20,0.803769157033513,0.045578783103777686,1_00
Patch 50,0.7808401978596087,0.04367408076901356,1_00
Mean,0.6467172312011261,0.05234940502925365,1_00
Quantile 0.6,0.6283300935867424,0.04979715979544781,1_00
Quantile 0.75,0.6171067589629357,0.05123877082976699,1_00
Quantile 0.9,0.596962516191291,0.052859288692949626,1_00
Threshold 0.7,0.5,0.0,1_00
Threshold 0.3,0.4151423365516158,0.052694180439990565,1_00
Threshold 0.5,0.34468107089123484,0.0489884556492998,1_00
