Aggregator,AUROC,AUROC_std,Noise_Level
GMM,0.8381976232721624,0.057509123319334006,0_50
Quantile fg. ratio,0.8111997824906374,0.05748377599496954,0_50
Imbalance-w. class avg.,0.7873432635186723,0.05662444219512715,0_50
GMM_pixel,0.7594187574312741,0.062294174490767,0_50
Threshold 0.5,0.7585847874620395,0.06249780169181397,0_50
Equally-w. class avg.,0.7550230606504724,0.060133067764672456,0_50
Threshold 0.7,0.7390008007697922,0.06295172282167606,0_50
GMM_spatial,0.7232743901892889,0.06176158105671592,0_50
Quantile 0.9,0.6418608841167011,0.0710503559371015,0_50
Patch 20,0.6309226884354712,0.07259241253246276,0_50
Patch 50,0.6260575263365709,0.07008488730208748,0_50
Threshold 0.3,0.6192062560728977,0.06798080514173921,0_50
Quantile 0.75,0.607780075359013,0.07369348172531658,0_50
Quantile 0.6,0.6076543805980008,0.07323061925839375,0_50
Mean,0.5919785940145905,0.06983050527331647,0_50
Patch 10,0.5831964266029714,0.0774420959292412,0_50
