Aggregator,AUROC,AUROC_std,Noise_Level
GMM,0.8842134675433722,0.045560299673033815,0_50
Imbalance-w. class avg.,0.8827926876900488,0.037570114095937,0_50
Quantile fg. ratio,0.8771471759967453,0.04224497046916015,0_50
Equally-w. class avg.,0.8730089537132382,0.041470118818041316,0_50
Threshold 0.7,0.8365373168655469,0.047002404932743276,0_50
GMM_pixel,0.8363072984849294,0.050299397000357446,0_50
Threshold 0.5,0.8154012032124611,0.053733794533449945,0_50
Patch 20,0.7786115120788568,0.05596445064064316,0_50
Patch 50,0.7496076797595308,0.06287752487934725,0_50
Patch 10,0.7481698026473504,0.05982152311754646,0_50
Quantile 0.9,0.7435167114735811,0.05757943240990884,0_50
Threshold 0.3,0.6694550831128822,0.06222929843652908,0_50
Quantile 0.75,0.6560495516285186,0.07056557469357282,0_50
Quantile 0.6,0.6434744280152028,0.06952516886710676,0_50
Mean,0.6228647788759695,0.07395873233320245,0_50
GMM_spatial,0.6027408175099254,0.07843104471753913,0_50
