Aggregator,AUROC,AUROC_std,Noise_Level
Quantile 0.75,0.7841529257259595,0.0,1_00
Mean,0.7804902962206333,0.0,1_00
Quantile 0.9,0.7802276375310082,0.0,1_00
Quantile 0.6,0.7795782868816576,0.0,1_00
Imbalance-w. class avg.,0.7659601634320735,0.0,1_00
Equally-w. class avg.,0.7390668320443601,0.0,1_00
Quantile fg. ratio,0.7193929665839779,0.0,1_00
Threshold 0.3,0.6981759813220487,0.0,1_00
Patch 50,0.69139063184007,0.0,1_00
Patch 20,0.6784619874507515,0.0,1_00
Patch 10,0.6676710929519919,0.0,1_00
Threshold 0.5,0.6568874945279439,0.0,1_00
Threshold 0.7,0.6145556690500511,0.0,1_00
