Aggregator,AUROC,AUROC_std,Noise_Level
GMM Normalized,1.0,0.0,1_00
Quantile fg. ratio,0.5604166666666667,0.0,1_00
Imbalance-w. class avg.,0.4125,0.0,1_00
Threshold 0.7,0.375,0.0,1_00
Quantile 0.6,0.35624999999999996,0.0,1_00
Patch 50,0.3520833333333333,0.0,1_00
Quantile 0.75,0.3416666666666667,0.0,1_00
Mean,0.33958333333333335,0.0,1_00
Patch 20,0.33749999999999997,0.0,1_00
Equally-w. class avg.,0.30208333333333337,0.0,1_00
Quantile 0.9,0.28125,0.0,1_00
Patch 10,0.2791666666666667,0.0,1_00
Threshold 0.3,0.23333333333333334,0.0,1_00
Threshold 0.5,0.15625,0.0,1_00
