Aggregator,AUROC,AUROC_std,Noise_Level
GMM_spatial,0.9314029584080308,0.031265546592665526,0_75
Equally-w. class avg.,0.900583512666081,0.0396456937271965,0_75
Quantile fg. ratio,0.8876098294439251,0.04362273621807356,0_75
Threshold 0.5,0.8450758530479332,0.05775125611405671,0_75
GMM,0.8351440355282127,0.05040150726252201,0_75
Imbalance-w. class avg.,0.8194062782896459,0.05690566588787249,0_75
Quantile 0.9,0.8184046487961993,0.054543243990982766,0_75
GMM_pixel,0.7884978885276884,0.05950228466210252,0_75
Quantile 0.75,0.7512480354482465,0.05844092685190008,0_75
Quantile 0.6,0.7322121353829089,0.062322127440041376,0_75
Threshold 0.3,0.7318673597433771,0.06795064993582024,0_75
Patch 20,0.7093956457457214,0.06565593834680598,0_75
Patch 10,0.6742845449531051,0.0699444305617333,0_75
Mean,0.6313876536504536,0.06934764005066492,0_75
Patch 50,0.5943381594009711,0.08000238063458294,0_75
Threshold 0.7,0.3823901393853342,0.07823355624742515,0_75
