Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.846457728311561,0.047989356907697955,0_75
Equally-w. class avg.,0.8146937919797467,0.060103539812409686,0_75
Threshold 0.3,0.8143898081025482,0.050196671895268205,0_75
Quantile 0.9,0.8089017458875465,0.049514635950500346,0_75
Imbalance-w. class avg.,0.7356798721251349,0.05978727130793622,0_75
Patch 20,0.7330152822097128,0.05827249092545008,0_75
GMM,0.7239544976358755,0.06695873218625929,0_75
Quantile 0.75,0.7196400900748932,0.05865021164768688,0_75
GMM_spatial,0.6872360250217471,0.07916182328584787,0_75
Threshold 0.5,0.6723086899908485,0.07318053797432962,0_75
Quantile 0.6,0.6622978746980466,0.06633942059379402,0_75
GMM_pixel,0.6538090473754137,0.06445507065179,0_75
Patch 50,0.6092350742624986,0.06782318128136604,0_75
Mean,0.5380962268013039,0.07266443836518918,0_75
Patch 10,0.4450338528118647,0.07371162598710801,0_75
Threshold 0.7,0.4111283280981736,0.07353299645243587,0_75
