Aggregator,AUROC,AUROC_std,Noise_Level
Quantile 0.75,0.8184466896973822,0.01956926209261003,1_00
Quantile 0.6,0.8097596798142307,0.021018801155200485,1_00
Mean,0.7959226887183304,0.023600616179172314,1_00
Quantile 0.9,0.7695324549750305,0.021338449747785877,1_00
Patch 50,0.7548877117039756,0.022300583381509993,1_00
Patch 20,0.7292589397391647,0.022426325169443786,1_00
Equally-w. class avg.,0.7005546640746582,0.022493651848207574,1_00
Patch 10,0.6546060098961303,0.025048752640824345,1_00
Imbalance-w. class avg.,0.6204018880479625,0.025871369273589795,1_00
Threshold 0.5,0.606224723267259,0.028922561840861723,1_00
Threshold 0.3,0.5891795964982891,0.026187618089929466,1_00
Quantile fg. ratio,0.5864781310796242,0.026345312091929113,1_00
Threshold 0.7,0.5082851492626447,0.02811196765434954,1_00
GMM_pixel,0.4564626043998709,0.027474501184033835,1_00
GMM,0.44492955995018746,0.028930416071880374,1_00
GMM_spatial,0.4173017090032915,0.027217860719567895,1_00
