Aggregator,AUROC,AUROC_std,Noise_Level
Quantile 0.75,0.8158793328838575,0.020942118776188925,1_00
Quantile 0.6,0.8060264380079686,0.020807391019821982,1_00
Mean,0.7878437523853925,0.022240010106903057,1_00
Quantile 0.9,0.7662148794413499,0.02142176434410341,1_00
Patch 50,0.7486807665247661,0.022523323688470685,1_00
Patch 20,0.7273454396330465,0.022511093330884774,1_00
Equally-w. class avg.,0.6814282215183453,0.02446374982119942,1_00
Patch 10,0.6527222986374256,0.025789332352931828,1_00
Threshold 0.5,0.5935427864554084,0.02830105647397168,1_00
Imbalance-w. class avg.,0.5884341808926258,0.027877118207584324,1_00
Threshold 0.3,0.5834577370967042,0.024912773582398944,1_00
Quantile fg. ratio,0.5732085890640808,0.02482502456395478,1_00
Threshold 0.7,0.5094813638094527,0.028512217412738787,1_00
GMM,0.4368835724102985,0.029644842431890597,1_00
GMM_pixel,0.4325442406558483,0.026485171177263983,1_00
GMM_spatial,0.41495715977191255,0.02641932207719844,1_00
