,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.3788310114154535,,,,,0.9888835045952873,0.9627224645154341,0.8934582489448855,0.757474849136235,0.5205473755710457,0.5409400976628023,0.5945272383129765,0.6573866295564584,0.6841788745169667,0.5356830390609791,0.7627252809151642
above_threshold_mean_0.3,0.3788310114154535,1.0,,,,,0.38067896756869957,0.3883935300861599,0.4130544834132788,0.47748609072880815,0.7296206053339088,0.6580768354088627,0.5277994058124008,0.4316930944263851,0.4129226048855772,0.4852887931667926,0.41099015369573827
above_threshold_mean_0.5,,,1.0,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,
above_quantile_mean_0.3,0.9888835045952873,0.38067896756869957,,,,,1.0,0.9721802661497744,0.9007199214721486,0.7623462266456263,0.5229489361878372,0.5437405930178136,0.5982422352273621,0.662051912873846,0.6888852441362971,0.5373867952270308,0.7655370418690953
above_quantile_mean_0.5,0.9627224645154341,0.3883935300861599,,,,,0.9721802661497744,1.0,0.9253905890831375,0.7810573924280264,0.5329464925468951,0.5546241555978015,0.6115896505593452,0.6775861797608544,0.7042710701904797,0.5465553360420472,0.7791356137887616
above_quantile_mean_0.7,0.8934582489448855,0.4130544834132788,,,,,0.9007199214721486,0.9253905890831375,1.0,0.8423369490935747,0.563686335905369,0.5886542165231545,0.6506242881342593,0.7151622536167956,0.7364032090389864,0.5759724655508753,0.7983096631503086
above_quantile_mean_0.9,0.757474849136235,0.47748609072880815,,,,,0.7623462266456263,0.7810573924280264,0.8423369490935747,1.0,0.6355187766884937,0.6717409906271873,0.7257012214062946,0.7393730197189399,0.7327117373458746,0.6284148225461081,0.7485392411459433
patch_aggregation_10,0.5205473755710457,0.7296206053339088,,,,,0.5229489361878372,0.5329464925468951,0.563686335905369,0.6355187766884937,1.0,0.8017069039069262,0.6577736360134689,0.5639749340424034,0.5463230658996119,0.5744605559076055,0.5445623190566716
patch_aggregation_20,0.5409400976628023,0.6580768354088627,,,,,0.5437405930178136,0.5546241555978015,0.5886542165231545,0.6717409906271873,0.8017069039069262,1.0,0.7485518321094419,0.613563449758328,0.5868348222976023,0.5716096966985996,0.5546052691525536
patch_aggregation_40,0.5945272383129765,0.5277994058124008,,,,,0.5982422352273621,0.6115896505593452,0.6506242881342593,0.7257012214062946,0.6577736360134689,0.7485518321094419,1.0,0.7539546808149334,0.7075013150101679,0.5545820752724244,0.6122056137473441
patch_aggregation_80,0.6573866295564584,0.4316930944263851,,,,,0.662051912873846,0.6775861797608544,0.7151622536167956,0.7393730197189399,0.5639749340424034,0.613563449758328,0.7539546808149334,1.0,0.898728229851352,0.5288010834855431,0.6725362093744692
patch_aggregation_100,0.6841788745169667,0.4129226048855772,,,,,0.6888852441362971,0.7042710701904797,0.7364032090389864,0.7327117373458746,0.5463230658996119,0.5868348222976023,0.7075013150101679,0.898728229851352,1.0,0.5223061343671176,0.6947566092203956
class_mean_w_equal_weights,0.5356830390609791,0.4852887931667926,,,,,0.5373867952270308,0.5465553360420472,0.5759724655508753,0.6284148225461081,0.5744605559076055,0.5716096966985996,0.5545820752724244,0.5288010834855431,0.5223061343671176,1.0,0.5739966783050243
class_mean_weighted_by_occurrence,0.7627252809151642,0.41099015369573827,,,,,0.7655370418690953,0.7791356137887616,0.7983096631503086,0.7485392411459433,0.5445623190566716,0.5546052691525536,0.6122056137473441,0.6725362093744692,0.6947566092203956,0.5739966783050243,1.0
