,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.3961750349616817,0.3804587021595514,0.42238019459622517,0.0436641570203857,0.030483787149296983,0.9779299649824912,0.9389064532266133,0.8693176588294147,0.7408074037018509,0.4788954477238619,0.5054417208604302,0.5396018009004502,0.5935657828914457,0.6123721860930464,0.6035797898949474,1.0
above_threshold_mean_0.3,0.3961750349616817,1.0,0.6332079640822225,0.5170645918522999,0.04382138251876962,0.031623211641354614,0.4057919756658781,0.4290849424297561,0.4779820633302434,0.5949891757453132,0.6956338819726564,0.6958459909436604,0.6554762509859389,0.585391244807386,0.5574849079241728,0.6128733637485914,0.3961750349616817
above_threshold_mean_0.5,0.3804587021595514,0.6332079640822225,1.0,0.5905533857033464,0.04492786691548982,0.031804601665154524,0.3880740244082049,0.4047838607270656,0.4373804184600041,0.5166288749894634,0.7492031107200412,0.6846680846768148,0.6033598283795181,0.527285093622291,0.5047812528758739,0.5363192325161085,0.38045870215955147
above_threshold_mean_0.7,0.42238019459622517,0.5170645918522999,0.5905533857033464,1.0,0.06291184234164915,0.044490954836126265,0.42829224622947115,0.4414958282103873,0.4635660800098311,0.5081105738036572,0.627282050785143,0.582744595148023,0.5350540453065052,0.5007993366172097,0.4910275598462588,0.5087693452713619,0.4223801945962251
above_threshold_mean_0.9,0.0436641570203857,0.04382138251876962,0.04492786691548982,0.06291184234164915,1.0,0.7071952303433368,0.043932652989765474,0.04435777160795012,0.04467101690555985,0.04471576623378982,0.04471576623378982,0.04471576623378982,0.04471576623378982,0.04471576623378982,0.04471576623378982,0.04341803571512091,0.0436641570203857
above_threshold_mean_0.95,0.030483787149296983,0.031623211641354614,0.031804601665154524,0.044490954836126265,0.7071952303433368,1.0,0.03089508889599222,0.031401306430386355,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.03162277660168379,0.029787738039505046,0.030483787149296983
above_quantile_mean_0.3,0.9779299649824912,0.4057919756658781,0.3880740244082049,0.42829224622947115,0.043932652989765474,0.03089508889599222,1.0,0.9586333166583292,0.8857268634317159,0.7534247123561781,0.48737268634317155,0.5141610805402701,0.5487953976988494,0.6038719359679839,0.62272036018009,0.610392196098049,0.9779299649824912
above_quantile_mean_0.5,0.9389064532266133,0.4290849424297561,0.4047838607270656,0.4414958282103873,0.04435777160795012,0.031401306430386355,0.9586333166583292,1.0,0.9229554777388694,0.7836978489244623,0.5071945972986494,0.5350215107553776,0.5707503751875938,0.6268054027013507,0.6454017008504251,0.6274967483741871,0.9389064532266133
above_quantile_mean_0.7,0.8693176588294147,0.4779820633302434,0.4373804184600041,0.4635660800098311,0.04467101690555985,0.03162277660168379,0.8857268634317159,0.9229554777388694,1.0,0.849640820410205,0.5452236118059028,0.5753636818409205,0.6141740870435217,0.6685622811405703,0.6843311655827914,0.6606253126563282,0.8693176588294147
above_quantile_mean_0.9,0.7408074037018509,0.5949891757453132,0.5166288749894634,0.5081105738036572,0.04471576623378982,0.03162277660168379,0.7534247123561781,0.7836978489244623,0.849640820410205,1.0,0.6316568284142071,0.6656068034017008,0.7002431215607804,0.7283081540770385,0.7307543771885942,0.7241430715357678,0.7408074037018509
patch_aggregation_10,0.4788954477238619,0.6956338819726564,0.7492031107200412,0.627282050785143,0.04471576623378982,0.03162277660168379,0.48737268634317155,0.5071945972986494,0.5452236118059028,0.6316568284142071,1.0,0.8667703851925962,0.7597758879439719,0.6780680340170084,0.6561780890445222,0.6282501250625312,0.4788954477238619
patch_aggregation_20,0.5054417208604302,0.6958459909436604,0.6846680846768148,0.582744595148023,0.04471576623378982,0.03162277660168379,0.5141610805402701,0.5350215107553776,0.5753636818409205,0.6656068034017008,0.8667703851925962,1.0,0.8419879939969984,0.7327583791895947,0.7047873936968484,0.6518429214607303,0.5054417208604302
patch_aggregation_40,0.5396018009004502,0.6554762509859389,0.6033598283795181,0.5350540453065052,0.04471576623378982,0.03162277660168379,0.5487953976988494,0.5707503751875938,0.6141740870435217,0.7002431215607804,0.7597758879439719,0.8419879939969984,1.0,0.8241530765382692,0.783255627813907,0.6536948474237119,0.5396018009004502
patch_aggregation_80,0.5935657828914457,0.585391244807386,0.527285093622291,0.5007993366172097,0.04471576623378982,0.03162277660168379,0.6038719359679839,0.6268054027013507,0.6685622811405703,0.7283081540770385,0.6780680340170084,0.7327583791895947,0.8241530765382692,1.0,0.9255257628814406,0.643376688344172,0.5935657828914457
patch_aggregation_100,0.6123721860930464,0.5574849079241728,0.5047812528758739,0.4910275598462588,0.04471576623378982,0.03162277660168379,0.62272036018009,0.6454017008504251,0.6843311655827914,0.7307543771885942,0.6561780890445222,0.7047873936968484,0.783255627813907,0.9255257628814406,1.0,0.6342711355677838,0.6123721860930464
class_mean_w_equal_weights,0.6035797898949474,0.6128733637485914,0.5363192325161085,0.5087693452713619,0.04341803571512091,0.029787738039505046,0.610392196098049,0.6274967483741871,0.6606253126563282,0.7241430715357678,0.6282501250625312,0.6518429214607303,0.6536948474237119,0.643376688344172,0.6342711355677838,1.0,0.6035797898949474
class_mean_weighted_by_occurrence,1.0,0.3961750349616817,0.38045870215955147,0.4223801945962251,0.0436641570203857,0.030483787149296983,0.9779299649824912,0.9389064532266133,0.8693176588294147,0.7408074037018509,0.4788954477238619,0.5054417208604302,0.5396018009004502,0.5935657828914457,0.6123721860930464,0.6035797898949474,1.0
