,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.023673469387755105,-0.022040816326530613,-0.08244897959183674,-0.13959183673469389,-0.14448979591836733,0.9836734693877551,0.933061224489796,0.8742857142857143,0.5787755102040816,0.03346938775510204,0.017142857142857144,0.1689795918367347,0.36326530612244895,0.37795918367346937,-0.04,-0.03346938775510204
above_threshold_mean_0.3,0.023673469387755105,1.0,0.6506122448979592,0.433469387755102,0.22612244897959186,0.1657142857142857,0.03346938775510204,0.05469387755102041,0.12979591836734694,0.31755102040816324,0.14448979591836733,0.21632653061224488,0.06448979591836734,-0.14938775510204083,-0.12489795918367345,0.4008163265306122,0.4008163265306122
above_threshold_mean_0.5,-0.022040816326530613,0.6506122448979592,1.0,0.7502040816326531,0.48408163265306126,0.4008163265306122,-0.012244897959183673,-0.007346938775510204,0.061224489795918366,0.38612244897959186,0.18040816326530612,0.24897959183673468,-0.0008163265306122448,-0.1689795918367347,-0.12489795918367345,0.7012244897959184,0.7044897959183674
above_threshold_mean_0.7,-0.08244897959183674,0.433469387755102,0.7502040816326531,1.0,0.6979591836734693,0.6212244897959184,-0.07591836734693877,-0.08081632653061226,-0.02530612244897959,0.3289795918367347,0.2636734693877551,0.35183673469387755,0.03346938775510204,-0.16734693877551018,-0.12000000000000001,0.8171428571428572,0.8106122448979591
above_threshold_mean_0.9,-0.13959183673469389,0.22612244897959186,0.48408163265306126,0.6979591836734693,1.0,0.9102040816326531,-0.1363265306122449,-0.1510204081632653,-0.12163265306122449,0.22285714285714286,0.356734693877551,0.4448979591836735,0.044897959183673466,-0.13306122448979593,-0.09224489795918367,0.6424489795918367,0.6130612244897958
above_threshold_mean_0.95,-0.14448979591836733,0.1657142857142857,0.4008163265306122,0.6212244897959184,0.9102040816326531,1.0,-0.14122448979591837,-0.1526530612244898,-0.12326530612244897,0.21142857142857144,0.3910204081632653,0.4530612244897959,0.08571428571428572,-0.10530612244897959,-0.061224489795918366,0.5820408163265306,0.5526530612244898
above_quantile_mean_0.3,0.9836734693877551,0.03346938775510204,-0.012244897959183673,-0.07591836734693877,-0.1363265306122449,-0.14122448979591837,1.0,0.9493877551020408,0.8873469387755102,0.5918367346938775,0.036734693877551024,0.023673469387755105,0.1820408163265306,0.36653061224489797,0.3812244897959184,-0.030204081632653063,-0.023673469387755105
above_quantile_mean_0.5,0.933061224489796,0.05469387755102041,-0.007346938775510204,-0.08081632653061226,-0.1510204081632653,-0.1526530612244898,0.9493877551020408,1.0,0.9183673469387756,0.5902040816326531,0.05469387755102041,0.022040816326530613,0.17714285714285716,0.3616326530612245,0.38612244897959186,-0.038367346938775505,-0.02857142857142857
above_quantile_mean_0.7,0.8742857142857143,0.12979591836734694,0.061224489795918366,-0.02530612244897959,-0.12163265306122449,-0.12326530612244897,0.8873469387755102,0.9183673469387756,1.0,0.6424489795918367,0.07428571428571429,0.05469387755102041,0.19673469387755102,0.35183673469387755,0.37632653061224486,0.0008163265306122448,0.007346938775510204
above_quantile_mean_0.9,0.5787755102040816,0.31755102040816324,0.38612244897959186,0.3289795918367347,0.22285714285714286,0.21142857142857144,0.5918367346938775,0.5902040816326531,0.6424489795918367,1.0,0.22612244897959186,0.22612244897959186,0.1853061224489796,0.22938775510204082,0.283265306122449,0.3355102040816326,0.33877551020408164
