,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.283265306122449,-0.16408163265306122,0.05142857142857143,,,0.9608163265306122,0.8873469387755102,0.8710204081632652,0.7975510204081633,0.3093877551020408,0.1510204081632653,0.529795918367347,0.6179591836734695,0.6065306122448979,0.20979591836734693,0.5673469387755102
above_threshold_mean_0.3,-0.283265306122449,1.0,0.3681632653061225,-0.04653061224489796,,,-0.276734693877551,-0.26857142857142857,-0.2653061224489796,-0.14285714285714285,0.07755102040816327,0.12489795918367345,-0.2440816326530612,-0.27346938775510204,-0.24244897959183673,-0.12979591836734694,-0.06938775510204082
above_threshold_mean_0.5,-0.16408163265306122,0.3681632653061225,1.0,0.08244897959183674,,,-0.16734693877551018,-0.17551020408163268,-0.17877551020408164,-0.08571428571428572,0.19673469387755102,0.0024489795918367346,-0.05306122448979592,-0.013877551020408163,-0.035102040816326535,0.09061224489795917,-0.05795918367346938
above_threshold_mean_0.7,0.05142857142857143,-0.04653061224489796,0.08244897959183674,1.0,,,0.061224489795918366,0.08244897959183674,0.06938775510204082,0.10040816326530612,0.036734693877551024,0.05795918367346938,0.12653061224489798,0.12326530612244897,0.10857142857142857,-0.08897959183673469,0.07265306122448979
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,
above_quantile_mean_0.3,0.9608163265306122,-0.276734693877551,-0.16734693877551018,0.061224489795918366,,,1.0,0.92,0.8971428571428571,0.8106122448979591,0.31918367346938775,0.1510204081632653,0.5232653061224489,0.6179591836734695,0.6130612244897958,0.22285714285714286,0.5804081632653061
above_quantile_mean_0.5,0.8873469387755102,-0.26857142857142857,-0.17551020408163268,0.08244897959183674,,,0.92,1.0,0.9542857142857143,0.8448979591836735,0.34040816326530615,0.14285714285714285,0.5248979591836734,0.6293877551020408,0.6440816326530613,0.27346938775510204,0.5559183673469388
above_quantile_mean_0.7,0.8710204081632652,-0.2653061224489796,-0.17877551020408164,0.06938775510204082,,,0.8971428571428571,0.9542857142857143,1.0,0.8677551020408163,0.3240816326530612,0.14285714285714285,0.5118367346938776,0.6228571428571429,0.6440816326530613,0.28653061224489795,0.5395918367346939
above_quantile_mean_0.9,0.7975510204081633,-0.14285714285714285,-0.08571428571428572,0.10040816326530612,,,0.8106122448979591,0.8448979591836735,0.8677551020408163,1.0,0.3746938775510204,0.21306122448979592,0.5232653061224489,0.6016326530612245,0.616326530612245,0.2751020408163265,0.593469387755102
patch_aggregation_10,0.3093877551020408,0.07755102040816327,0.19673469387755102,0.036734693877551024,,,0.31918367346938775,0.34040816326530615,0.3240816326530612,0.3746938775510204,1.0,0.1461224489795918,0.2897959183673469,0.3159183673469388,0.2979591836734694,0.20816326530612245,0.33061224489795915
patch_aggregation_20,0.1510204081632653,0.12489795918367345,0.0024489795918367346,0.05795918367346938,,,0.1510204081632653,0.14285714285714285,0.14285714285714285,0.21306122448979592,0.1461224489795918,1.0,0.2751020408163265,0.22285714285714286,0.17877551020408164,0.10857142857142857,0.28653061224489795
patch_aggregation_40,0.529795918367347,-0.2440816326530612,-0.05306122448979592,0.12653061224489798,,,0.5232653061224489,0.5248979591836734,0.5118367346938776,0.5232653061224489,0.2897959183673469,0.2751020408163265,1.0,0.6669387755102041,0.616326530612245,0.2587755102040816,0.5020408163265306
patch_aggregation_80,0.6179591836734695,-0.27346938775510204,-0.013877551020408163,0.12326530612244897,,,0.6179591836734695,0.6293877551020408,0.6228571428571429,0.6016326530612245,0.3159183673469388,0.22285714285714286,0.6669387755102041,1.0,0.8351020408163266,0.30775510204081635,0.4693877551020408
patch_aggregation_100,0.6065306122448979,-0.24244897959183673,-0.035102040816326535,0.10857142857142857,,,0.6130612244897958,0.6440816326530613,0.6440816326530613,0.616326530612245,0.2979591836734694,0.17877551020408164,0.616326530612245,0.8351020408163266,1.0,0.28653061224489795,0.48081632653061224
class_mean_w_equal_weights,0.20979591836734693,-0.12979591836734694,0.09061224489795917,-0.08897959183673469,,,0.22285714285714286,0.27346938775510204,0.28653061224489795,0.2751020408163265,0.20816326530612245,0.10857142857142857,0.2587755102040816,0.30775510204081635,0.28653061224489795,1.0,0.24081632653061225
class_mean_weighted_by_occurrence,0.5673469387755102,-0.06938775510204082,-0.05795918367346938,0.07265306122448979,,,0.5804081632653061,0.5559183673469388,0.5395918367346939,0.593469387755102,0.33061224489795915,0.28653061224489795,0.5020408163265306,0.4693877551020408,0.48081632653061224,0.24081632653061225,1.0
