0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.3544973544973545,0.2573957808351148,0.4176070930906296,,,0.9629629629629629,0.9417989417989417,0.9047619047619047,0.6772486772486772,1.0,0.44444444444444436,0.48148148148148145,0.544973544973545,0.6031746031746031,0.6137566137566137,0.4920634920634921,1.0
above_threshold_mean_0.3,0.3544973544973545,1.0,0.5952277431812029,0.4583492485141057,,,0.35978835978835977,0.38095238095238093,0.43915343915343913,0.582010582010582,0.3544973544973545,0.7195767195767195,0.7037037037037037,0.6507936507936508,0.5925925925925926,0.5396825396825397,0.7037037037037037,0.3544973544973545
above_threshold_mean_0.5,0.2573957808351148,0.5952277431812029,1.0,0.4335660729830504,,,0.2573957808351148,0.27884542923804095,0.31101990184243034,0.43971779225998775,0.2573957808351148,0.7239256335987603,0.5845029189797397,0.5469660342746189,0.4879795011665718,0.4665298527636455,0.4933419132673033,0.2573957808351148
above_threshold_mean_0.7,0.4176070930906296,0.4583492485141057,0.4335660729830504,1.0,,,0.42779263194649864,0.45834924851410563,0.47872032622584365,0.5092769427934508,0.4176070930906296,0.5092769427934508,0.47872032622584365,0.49909140393758167,0.49909140393758167,0.5092769427934508,0.47872032622584365,0.4176070930906296
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,0.9629629629629629,0.35978835978835977,0.2573957808351148,0.42779263194649864,,,1.0,0.9788359788359787,0.91005291005291,0.6825396825396826,0.9629629629629629,0.43915343915343913,0.4761904761904762,0.5396825396825397,0.6084656084656085,0.619047619047619,0.5079365079365079,0.9629629629629629
above_quantile_mean_0.5,0.9417989417989417,0.38095238095238093,0.27884542923804095,0.45834924851410563,,,0.9788359788359787,1.0,0.9312169312169312,0.7037037037037037,0.9417989417989417,0.46031746031746035,0.49735449735449727,0.5608465608465608,0.619047619047619,0.6296296296296297,0.5291005291005291,0.9417989417989417
above_quantile_mean_0.7,0.9047619047619047,0.43915343915343913,0.31101990184243034,0.47872032622584365,,,0.91005291005291,0.9312169312169312,1.0,0.7724867724867724,0.9047619047619047,0.48677248677248675,0.5555555555555556,0.6084656084656085,0.656084656084656,0.6666666666666666,0.566137566137566,0.9047619047619047
above_quantile_mean_0.9,0.6772486772486772,0.582010582010582,0.43971779225998775,0.5092769427934508,,,0.6825396825396826,0.7037037037037037,0.7724867724867724,1.0,0.6772486772486772,0.6084656084656085,0.6666666666666666,0.708994708994709,0.7460317460317459,0.7248677248677248,0.6666666666666666,0.6772486772486772
above_quantile_mean_fg_ratio,1.0,0.3544973544973545,0.2573957808351148,0.4176070930906296,,,0.9629629629629629,0.9417989417989417,0.9047619047619047,0.6772486772486772,1.0,0.44444444444444436,0.48148148148148145,0.544973544973545,0.6031746031746031,0.6137566137566137,0.4920634920634921,1.0
patch_aggregation_10,0.44444444444444436,0.7195767195767195,0.7239256335987603,0.5092769427934508,,,0.43915343915343913,0.46031746031746035,0.48677248677248675,0.6084656084656085,0.44444444444444436,1.0,0.8148148148148148,0.7195767195767195,0.6613756613756614,0.619047619047619,0.6666666666666666,0.44444444444444436
patch_aggregation_20,0.48148148148148145,0.7037037037037037,0.5845029189797397,0.47872032622584365,,,0.4761904761904762,0.49735449735449727,0.5555555555555556,0.6666666666666666,0.48148148148148145,0.8148148148148148,1.0,0.8518518518518519,0.7407407407407407,0.6984126984126984,0.7037037037037037,0.48148148148148145
patch_aggregation_40,0.544973544973545,0.6507936507936508,0.5469660342746189,0.49909140393758167,,,0.5396825396825397,0.5608465608465608,0.6084656084656085,0.708994708994709,0.544973544973545,0.7195767195767195,0.8518518518518519,1.0,0.8465608465608466,0.8042328042328042,0.6507936507936508,0.544973544973545
patch_aggregation_80,0.6031746031746031,0.5925925925925926,0.4879795011665718,0.49909140393758167,,,0.6084656084656085,0.619047619047619,0.656084656084656,0.7460317460317459,0.6031746031746031,0.6613756613756614,0.7407407407407407,0.8465608465608466,1.0,0.9259259259259259,0.6349206349206349,0.6031746031746031
patch_aggregation_100,0.6137566137566137,0.5396825396825397,0.4665298527636455,0.5092769427934508,,,0.619047619047619,0.6296296296296297,0.6666666666666666,0.7248677248677248,0.6137566137566137,0.619047619047619,0.6984126984126984,0.8042328042328042,0.9259259259259259,1.0,0.582010582010582,0.6137566137566137
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.4920634920634921,0.7037037037037037,0.4933419132673033,0.47872032622584365,,,0.5079365079365079,0.5291005291005291,0.566137566137566,0.6666666666666666,0.4920634920634921,0.6666666666666666,0.7037037037037037,0.6507936507936508,0.6349206349206349,0.582010582010582,1.0,0.4920634920634921
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",1.0,0.3544973544973545,0.2573957808351148,0.4176070930906296,,,0.9629629629629629,0.9417989417989417,0.9047619047619047,0.6772486772486772,1.0,0.44444444444444436,0.48148148148148145,0.544973544973545,0.6031746031746031,0.6137566137566137,0.4920634920634921,1.0
