0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.4025974025974027,0.2899732618406675,0.33793601837997317,,,0.9844155844155844,0.9532467532467533,0.8961038961038962,0.7142857142857143,0.7129870129870131,0.438961038961039,0.5103896103896104,0.6077922077922079,0.6649350649350649,0.6883116883116884,0.5246753246753247,0.8064935064935066
above_threshold_mean_0.3,0.4025974025974027,1.0,0.692090879089328,0.35187152429254936,,,0.4,0.4181818181818182,0.4675324675324676,0.625974025974026,0.2168831168831169,0.8233766233766235,0.7597402597402597,0.6701298701298702,0.5870129870129871,0.5454545454545455,0.625974025974026,0.3545454545454546
above_threshold_mean_0.5,0.2899732618406675,0.692090879089328,1.0,0.42117145435561104,,,0.28356501296021075,0.29958563516135256,0.3396371906642072,0.49984341267562576,0.05286805326376811,0.7225300612714974,0.6328145769451031,0.5607217770399647,0.47421041715379875,0.4485774216319718,0.511057848216425,0.20987015083495822
above_threshold_mean_0.7,0.33793601837997317,0.35187152429254936,0.42117145435561104,1.0,,,0.3414198948581172,0.35187152429254936,0.35883927724883746,0.36929090668326964,0.2961295006422445,0.36929090668326964,0.35883927724883746,0.36580703020512556,0.36580703020512556,0.36929090668326964,0.35883927724883746,0.31354888303296474
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,0.9844155844155844,0.4,0.28356501296021075,0.3414198948581172,,,1.0,0.9662337662337664,0.8961038961038962,0.7116883116883118,0.7103896103896105,0.4337662337662338,0.5051948051948052,0.6000000000000001,0.6675324675324676,0.690909090909091,0.5272727272727273,0.7987012987012988
above_quantile_mean_0.5,0.9532467532467533,0.4181818181818182,0.29958563516135256,0.35187152429254936,,,0.9662337662337664,1.0,0.9272727272727274,0.72987012987013,0.7051948051948053,0.451948051948052,0.5233766233766234,0.6207792207792209,0.6883116883116884,0.7116883116883118,0.5454545454545455,0.8090909090909092
above_quantile_mean_0.7,0.8961038961038962,0.4675324675324676,0.3396371906642072,0.35883927724883746,,,0.8961038961038962,0.9272727272727274,1.0,0.8025974025974026,0.6766233766233767,0.49350649350649356,0.5753246753246755,0.677922077922078,0.7402597402597403,0.7558441558441559,0.5896103896103897,0.803896103896104
above_quantile_mean_0.9,0.7142857142857143,0.625974025974026,0.49984341267562576,0.36929090668326964,,,0.7116883116883118,0.72987012987013,0.8025974025974026,1.0,0.5103896103896104,0.6493506493506495,0.7233766233766235,0.787012987012987,0.7974025974025974,0.7818181818181819,0.6961038961038962,0.6506493506493507
above_quantile_mean_fg_ratio,0.7129870129870131,0.2168831168831169,0.05286805326376811,0.2961295006422445,,,0.7103896103896105,0.7051948051948053,0.6766233766233767,0.5103896103896104,1.0,0.2558441558441559,0.31428571428571433,0.4272727272727273,0.5155844155844157,0.5285714285714287,0.3857142857142858,0.7948051948051948
patch_aggregation_10,0.438961038961039,0.8233766233766235,0.7225300612714974,0.36929090668326964,,,0.4337662337662338,0.451948051948052,0.49350649350649356,0.6493506493506495,0.2558441558441559,1.0,0.8584415584415584,0.7246753246753248,0.6129870129870131,0.5766233766233767,0.6597402597402597,0.4012987012987013
patch_aggregation_20,0.5103896103896104,0.7597402597402597,0.6328145769451031,0.35883927724883746,,,0.5051948051948052,0.5233766233766234,0.5753246753246755,0.7233766233766235,0.31428571428571433,0.8584415584415584,1.0,0.8272727272727273,0.6974025974025975,0.6610389610389611,0.6896103896103897,0.4597402597402598
patch_aggregation_40,0.6077922077922079,0.6701298701298702,0.5607217770399647,0.36580703020512556,,,0.6000000000000001,0.6207792207792209,0.677922077922078,0.787012987012987,0.4272727272727273,0.7246753246753248,0.8272727272727273,1.0,0.8415584415584415,0.7974025974025974,0.6727272727272727,0.5701298701298702
patch_aggregation_80,0.6649350649350649,0.5870129870129871,0.47421041715379875,0.36580703020512556,,,0.6675324675324676,0.6883116883116884,0.7402597402597403,0.7974025974025974,0.5155844155844157,0.6129870129870131,0.6974025974025975,0.8415584415584415,1.0,0.9376623376623378,0.638961038961039,0.6402597402597403
patch_aggregation_100,0.6883116883116884,0.5454545454545455,0.4485774216319718,0.36929090668326964,,,0.690909090909091,0.7116883116883118,0.7558441558441559,0.7818181818181819,0.5285714285714287,0.5766233766233767,0.6610389610389611,0.7974025974025974,0.9376623376623378,1.0,0.6103896103896105,0.6662337662337663
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.5246753246753247,0.625974025974026,0.511057848216425,0.35883927724883746,,,0.5272727272727273,0.5454545454545455,0.5896103896103897,0.6961038961038962,0.3857142857142858,0.6597402597402597,0.6896103896103897,0.6727272727272727,0.638961038961039,0.6103896103896105,1.0,0.5285714285714287
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.8064935064935066,0.3545454545454546,0.20987015083495822,0.31354888303296474,,,0.7987012987012988,0.8090909090909092,0.803896103896104,0.6506493506493507,0.7948051948051948,0.4012987012987013,0.4597402597402598,0.5701298701298702,0.6402597402597403,0.6662337662337663,0.5285714285714287,1.0
