0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
above_threshold_mean_0.3,0.07940888965556897,1.0,0.20740612960726812,,,,0.07940888965556897,0.07940888965556897,0.07940888965556897,0.07929388764303376,0.016157782761198322,0.06928871255246967,0.07929388764303376,0.07929388764303376,0.07940888965556897,0.07940888965556897,-0.020757863262607094,-0.020757863262607094
above_threshold_mean_0.5,0.08952906675866827,0.20740612960726812,1.0,,,,0.08952906675866827,0.08952906675866827,0.08952906675866827,0.08941406474613306,0.07319878097866714,0.08423897418204818,0.0926341210971192,0.09010407682134437,0.08952906675866827,0.08952906675866827,0.026622965901903287,0.026622965901903287
above_threshold_mean_0.7,,,,1.0,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
above_quantile_mean_0.5,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
above_quantile_mean_0.7,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
above_quantile_mean_0.9,0.9998849979874649,0.07929388764303376,0.08941406474613306,,,,0.9998849979874649,0.9998849979874649,0.9998849979874649,1.0,0.06698867230176528,0.8046115807026623,0.9815996779943649,0.997929963774366,0.9998849979874649,0.9998849979874649,0.05928353746190559,0.05928353746190559
above_quantile_mean_fg_ratio,0.06687367028923005,0.016157782761198322,0.07319878097866714,,,,0.06687367028923005,0.06687367028923005,0.06687367028923005,0.06698867230176528,1.0,0.23546662066586166,0.07411879707894888,0.06675866827669484,0.06687367028923005,0.06687367028923005,0.6511988959806797,0.6511988959806797
patch_aggregation_10,0.8044965786901271,0.06928871255246967,0.08423897418204818,,,,0.8044965786901271,0.8044965786901271,0.8044965786901271,0.8046115807026623,0.23546662066586166,1.0,0.8115117014547755,0.8050715887528033,0.8044965786901271,0.8044965786901271,0.21419124834684608,0.21419124834684608
patch_aggregation_20,0.9814846759818296,0.07929388764303376,0.0926341210971192,,,,0.9814846759818296,0.9814846759818296,0.9814846759818296,0.9815996779943649,0.07411879707894888,0.8115117014547755,1.0,0.9834397101949285,0.9814846759818296,0.9814846759818296,0.06664366626415962,0.06664366626415962
patch_aggregation_40,0.9980449657869013,0.07929388764303376,0.09010407682134437,,,,0.9980449657869013,0.9980449657869013,0.9980449657869013,0.997929963774366,0.06675866827669484,0.8050715887528033,0.9834397101949285,1.0,0.9980449657869013,0.9980449657869013,0.05928353746190559,0.05928353746190559
patch_aggregation_80,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
patch_aggregation_100,1.0,0.07940888965556897,0.08952906675866827,,,,1.0,1.0,1.0,0.9998849979874649,0.06687367028923005,0.8044965786901271,0.9814846759818296,0.9980449657869013,1.0,1.0,0.05916853544937037,0.05916853544937037
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.05916853544937037,-0.020757863262607094,0.026622965901903287,,,,0.05916853544937037,0.05916853544937037,0.05916853544937037,0.05928353746190559,0.6511988959806797,0.21419124834684608,0.06664366626415962,0.05928353746190559,0.05916853544937037,0.05916853544937037,1.0,1.0
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.05916853544937037,-0.020757863262607094,0.026622965901903287,,,,0.05916853544937037,0.05916853544937037,0.05916853544937037,0.05928353746190559,0.6511988959806797,0.21419124834684608,0.06664366626415962,0.05928353746190559,0.05916853544937037,0.05916853544937037,1.0,1.0
