,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
above_threshold_mean_0.3,0.06153957145949066,1.0,0.21015799725849507,,,,0.06153957145949066,0.06153957145949066,0.06153957145949066,0.06153957145949066,0.04119471899574346,0.0511507106269389,0.062116730394632426,0.06153957145949066,0.06153957145949066,0.06153957145949066,0.006853762354808456,0.006853762354808456
above_threshold_mean_0.5,0.09761200490585097,0.21015799725849507,1.0,,,,0.09761200490585097,0.09761200490585097,0.09761200490585097,0.09761200490585097,0.07524709616910757,0.09328331289228772,0.1033835942572686,0.09847774330856361,0.09761200490585097,0.09761200490585097,0.020416997330639928,0.020416997330639928
above_threshold_mean_0.7,,,,1.0,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
above_quantile_mean_0.5,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
above_quantile_mean_0.7,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
above_quantile_mean_0.9,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
above_quantile_mean_fg_ratio,0.04408051367145228,0.04119471899574346,0.07524709616910757,,,,0.04408051367145228,0.04408051367145228,0.04408051367145228,0.04408051367145228,1.0,0.2169396147464108,0.049274944087728166,0.043791934203881396,0.04408051367145228,0.04408051367145228,0.6236923742875695,0.6236923742875695
patch_aggregation_10,0.7956857369598154,0.0511507106269389,0.09328331289228772,,,,0.7956857369598154,0.7956857369598154,0.7956857369598154,0.7956857369598154,0.2169396147464108,1.0,0.8011687468436621,0.7962628958949571,0.7956857369598154,0.7956857369598154,0.17336411514320757,0.17336411514320757
patch_aggregation_20,0.9815309140754637,0.062116730394632426,0.1033835942572686,,,,0.9815309140754637,0.9815309140754637,0.9815309140754637,0.9815309140754637,0.049274944087728166,0.8011687468436621,1.0,0.9838395498160307,0.9815309140754637,0.9815309140754637,0.01983983839549816,0.01983983839549816
patch_aggregation_40,0.997691364259433,0.06153957145949066,0.09847774330856361,,,,0.997691364259433,0.997691364259433,0.997691364259433,0.997691364259433,0.043791934203881396,0.7962628958949571,0.9838395498160307,1.0,0.997691364259433,0.997691364259433,0.014356828511651399,0.014356828511651399
patch_aggregation_80,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
patch_aggregation_100,1.0,0.06153957145949066,0.09761200490585097,,,,1.0,1.0,1.0,1.0,0.04408051367145228,0.7956857369598154,0.9815309140754637,0.997691364259433,1.0,1.0,0.014356828511651399,0.014356828511651399
class_mean_w_equal_weights,0.014356828511651399,0.006853762354808456,0.020416997330639928,,,,0.014356828511651399,0.014356828511651399,0.014356828511651399,0.014356828511651399,0.6236923742875695,0.17336411514320757,0.01983983839549816,0.014356828511651399,0.014356828511651399,0.014356828511651399,1.0,1.0
class_mean_weighted_by_occurrence,0.014356828511651399,0.006853762354808456,0.020416997330639928,,,,0.014356828511651399,0.014356828511651399,0.014356828511651399,0.014356828511651399,0.6236923742875695,0.17336411514320757,0.01983983839549816,0.014356828511651399,0.014356828511651399,0.014356828511651399,1.0,1.0
