,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.46247824022788414,0.3702168064567178,0.3217914226934641,0.13024212691881626,0.06320620351321411,0.994840955847444,0.9809463522709289,0.9039404969140686,0.7131824655799968,0.37599601200743454,0.4437410982750435,0.5096059503085931,0.6229466687767051,0.65785725589492,0.2161417945877512,0.17116632378540908
above_threshold_mean_0.3,0.46247824022788414,1.0,0.8194334546605474,0.7368254470644088,0.38322519385978787,0.2530780186738408,0.4637759139104288,0.47355594239594867,0.5533470485836366,0.7213799651843645,0.5721361935310738,0.6757714828295616,0.6486469378066149,0.6213324893179301,0.6110460515904415,0.5482513055863268,0.460864060769109
above_threshold_mean_0.5,0.3702168064567178,0.8194334546605474,1.0,0.8987814527615128,0.4738407975945561,0.32919765785725585,0.3708181674315556,0.37876246241493905,0.4553885108403228,0.6520968507675264,0.5501388680253566,0.6516220921031808,0.6177243234689033,0.5548979268871657,0.5341034973888273,0.6292451337236904,0.5256527931634751
above_threshold_mean_0.7,0.3217914226934641,0.7368254470644088,0.8987814527615128,1.0,0.536888748219655,0.3819275201772432,0.32220288020256366,0.3290077543915176,0.40246874505459723,0.6041145750909954,0.5334905324627564,0.6126918816268396,0.5727805032441842,0.5001424275993037,0.47852508308276626,0.6520968507675264,0.551289761038139
above_threshold_mean_0.9,0.13024212691881626,0.38322519385978787,0.4738407975945561,0.536888748219655,1.0,0.750593448330432,0.12964076594397847,0.13245766735242917,0.17812945086247822,0.3279949359075803,0.406728966059307,0.35499287862003476,0.3041304003798069,0.2340876721000158,0.2203196708339927,0.41136255736667193,0.3782244025953473
above_threshold_mean_0.95,0.06320620351321411,0.2530780186738408,0.32919765785725585,0.3819275201772432,0.750593448330432,1.0,0.06285804715936065,0.06345940813419844,0.09609115366355435,0.21709131191644246,0.309434320585099,0.2265548346257319,0.18733976895078333,0.13090678904890013,0.1228991929102706,0.3073587592973572,0.29542649153347045
above_quantile_mean_0.3,0.994840955847444,0.4637759139104288,0.3708181674315556,0.32220288020256366,0.12964076594397847,0.06285804715936065,1.0,0.9854090837157777,0.905807880993828,0.7141636334863111,0.3769138860213422,0.44415255578414303,0.5097009020414622,0.6237379332172812,0.6584586168697578,0.2171229624940655,0.17214749169172336
above_quantile_mean_0.5,0.9809463522709289,0.47355594239594867,0.37876246241493905,0.3290077543915176,0.13245766735242917,0.06345940813419844,0.9854090837157777,1.0,0.9167906314290235,0.7216015192277259,0.3827692892135115,0.45051432188637436,0.5159993669884475,0.6295932900775438,0.6648203829719892,0.2218388985598987,0.17604051273935747
above_quantile_mean_0.7,0.9039404969140686,0.5533470485836366,0.4553885108403228,0.40246874505459723,0.17812945086247822,0.09609115366355435,0.905807880993828,0.9167906314290235,1.0,0.7960120272194967,0.43363216991522013,0.5069473017882576,0.5653426175027694,0.6688083557524924,0.6981484412090521,0.2833359708814686,0.22905523025795219
above_quantile_mean_0.9,0.7131824655799968,0.7213799651843645,0.6520968507675264,0.6041145750909954,0.3279949359075803,0.21709131191644246,0.7141636334863111,0.7216015192277259,0.7960120272194967,1.0,0.5434288924754112,0.635733502136414,0.6679854407342933,0.7180883051115683,0.7269188162683968,0.4398480772274094,0.3666402911853141
