,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.12603260009495174,-0.03313815477132457,-0.09438202247191012,-0.09833834467479032,-0.09482513055863269,0.928564646304795,0.7540433612913434,0.3897135622725114,0.18699161259692987,0.12220288020256369,0.16705174869441367,0.3278683335970881,0.48210159835416994,0.532299414464314,0.01623674632062035,-0.05178034499129609
above_threshold_mean_0.3,0.12603260009495174,1.0,0.7223927836683018,0.5889855989871815,0.2443424592498813,0.17170438360500076,0.18151606266814369,0.3623674632062035,0.6718784617819276,0.7479981009653426,0.21908529830669407,0.43275834783984807,0.4138629529988922,0.2131033391359392,0.19442949833834466,0.30061718626364925,0.6446906156037348
above_threshold_mean_0.5,-0.03313815477132457,0.7223927836683018,1.0,0.7059344833043203,0.29203987972780504,0.22212375375850607,0.0101914859946194,0.18344674790314922,0.5676531096692514,0.7683494223769584,0.23076436144959644,0.40981167906314286,0.2674790314923247,0.016394999208735557,-0.009052065200189903,0.3410349738882735,0.7724006963127076
above_threshold_mean_0.7,-0.09438202247191012,0.5889855989871815,0.7059344833043203,1.0,0.42918183256844433,0.34407342934008545,-0.050292767843013134,0.10720050640924196,0.43487893654059184,0.6116474125652792,0.2492799493590758,0.3822440259534736,0.2080075961386295,-0.020414622566861846,-0.04181041304003798,0.39810096534261746,0.5837949042570026
above_threshold_mean_0.9,-0.09833834467479032,0.2443424592498813,0.29203987972780504,0.42918183256844433,1.0,0.8706440892546288,-0.0777971197974363,0.009241968665928153,0.16227251147333438,0.25320462098433294,0.3337553410349739,0.2232631745529356,0.07124545022946668,-0.06728912802658649,-0.06355435986706758,0.42636493115999363,0.28188004431080865
above_threshold_mean_0.95,-0.09482513055863269,0.17170438360500076,0.22212375375850607,0.34407342934008545,0.8706440892546288,1.0,-0.08010761196391833,-0.011932267763886692,0.10799177084981801,0.18771957588225985,0.3579047317613546,0.18461781927520177,0.043108086722582685,-0.0753600253204621,-0.07257477448963442,0.4160784934325051,0.22304162050957427
above_quantile_mean_0.3,0.928564646304795,0.18151606266814369,0.0101914859946194,-0.050292767843013134,-0.0777971197974363,-0.08010761196391833,1.0,0.8142111093527455,0.4372210792846969,0.23133407184681118,0.1385662288336762,0.19810096534261748,0.370375059344833,0.5090995410666244,0.5594872606425068,0.03665136888748219,-0.011679063142902358
above_quantile_mean_0.5,0.7540433612913434,0.3623674632062035,0.18344674790314922,0.10720050640924196,0.009241968665928153,-0.011932267763886692,0.8142111093527455,1.0,0.6131349897135623,0.4019306852350055,0.18281373635068837,0.29893970564962813,0.45874347206836524,0.4979585377433138,0.5335970881468586,0.12432346890330748,0.1511948093052698
above_quantile_mean_0.7,0.3897135622725114,0.6718784617819276,0.5676531096692514,0.43487893654059184,0.16227251147333438,0.10799177084981801,0.4372210792846969,0.6131349897135623,1.0,0.7831618927045418,0.23177717993353378,0.4344991296091153,0.45542016141794583,0.31663237854090837,0.3120746953631904,0.2634910587118215,0.4843171387877828
above_quantile_mean_0.9,0.18699161259692987,0.7479981009653426,0.7683494223769584,0.6116474125652792,0.25320462098433294,0.18771957588225985,0.23133407184681118,0.4019306852350055,0.7831618927045418,1.0,0.25390093369203987,0.4590916284222187,0.3700585535686026,0.16955214432663393,0.15771482829561637,0.3255578414306061,0.6336129134356702
patch_aggregation_10,0.12220288020256369,0.21908529830669407,0.23076436144959644,0.2492799493590758,0.3337553410349739,0.3579047317613546,0.1385662288336762,0.18281373635068837,0.23177717993353378,0.25390093369203987,1.0,0.3420161417945877,0.17822440259534736,0.07792372210792846,0.08330432030384553,0.296534261750277,0.22598512422851716
patch_aggregation_20,0.16705174869441367,0.43275834783984807,0.40981167906314286,0.3822440259534736,0.2232631745529356,0.18461781927520177,0.19810096534261748,0.29893970564962813,0.4344991296091153,0.4590916284222187,0.3420161417945877,1.0,0.4432979901883209,0.21259692989397055,0.21360974837790786,0.24522867542332646,0.3241335654375692
patch_aggregation_40,0.3278683335970881,0.4138629529988922,0.2674790314923247,0.2080075961386295,0.07124545022946668,0.043108086722582685,0.370375059344833,0.45874347206836524,0.45542016141794583,0.3700585535686026,0.17822440259534736,0.4432979901883209,1.0,0.5160310175660705,0.4908371577781294,0.13479981009653424,0.2057920557050166
