,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.1340552651232263,-0.1430171769977595,0.007094846900672144,-0.009335324869305453,0.039581777445855115,0.9917849141150112,0.9824495892457057,0.9589245705750562,0.9197162061239731,0.4148618371919343,0.6344286781179985,0.7307692307692308,0.7740851381628081,0.8106796116504855,0.8525018670649739,-0.46900672143390587,-0.46564600448095594
above_threshold_mean_0.3,-0.1340552651232263,1.0,0.8961911874533234,0.4167289021657954,0.07692307692307693,0.13181478715459297,-0.13480209111277072,-0.1336818521284541,-0.13032113517550412,-0.12322628827483197,0.15011202389843167,-0.011202389843166544,-0.10156833457804332,-0.12845407020164304,-0.13666915608663183,-0.15832710978342046,0.41859596713965647,0.45705750560119496
above_threshold_mean_0.5,-0.1430171769977595,0.8961911874533234,1.0,0.4070201643017177,0.08588498879761017,0.1422703510082151,-0.14525765496639284,-0.1463778939507095,-0.14376400298730396,-0.14040328603435398,0.12696041822255416,-0.030619865571321885,-0.11575802837938762,-0.14189693801344286,-0.15011202389843167,-0.17176997759522034,0.40291262135922334,0.4294249439880508
above_threshold_mean_0.7,0.007094846900672144,0.4167289021657954,0.4070201643017177,1.0,0.2987303958177745,0.24458551157580286,0.004107542942494399,0.0014936519790888724,0.004107542942494399,0.008215085884988798,0.27931292008961917,0.09783420463032114,0.02539208364451083,-0.014189693801344288,-0.018670649738610906,-0.017923823749066467,0.29835698282300227,0.29574309185959674
above_threshold_mean_0.9,-0.009335324869305453,0.07692307692307693,0.08588498879761017,0.2987303958177745,1.0,0.4111277072442121,-0.008588498879761016,-0.00970873786407767,-0.0033607169529499626,0.0007468259895444362,0.04779686333084392,-0.07542942494398806,-0.05003734129947723,-0.020911127707244213,-0.006721433905899925,-0.004480955937266617,0.09073935772964899,0.05003734129947723
above_threshold_mean_0.95,0.039581777445855115,0.13181478715459297,0.1422703510082151,0.24458551157580286,0.4111277072442121,1.0,0.03734129947722181,0.0392083644510829,0.046303211351755046,0.05638536221060493,0.09820761762509336,0.025018670649738613,0.042195668409260645,0.06833457804331591,0.06534727408513817,0.04518297236743839,0.05750560119492159,0.044436146377893955
above_quantile_mean_0.3,0.9917849141150112,-0.13480209111277072,-0.14525765496639284,0.004107542942494399,-0.008588498879761016,0.03734129947722181,1.0,0.9906646751306946,0.9663928304705004,0.9256908140403286,0.4156086631814787,0.6336818521284542,0.7307692307692308,0.7740851381628081,0.8114264376400299,0.8525018670649739,-0.4719940253920836,-0.46713965646004485
above_quantile_mean_0.5,0.9824495892457057,-0.1336818521284541,-0.1463778939507095,0.0014936519790888724,-0.00970873786407767,0.0392083644510829,0.9906646751306946,1.0,0.9757281553398058,0.9335324869305451,0.41598207617625094,0.6370425690814041,0.7356235997012697,0.7774458551157581,0.8147871545929799,0.8588498879761016,-0.47386109036594476,-0.46900672143390587
above_quantile_mean_0.7,0.9589245705750562,-0.13032113517550412,-0.14376400298730396,0.004107542942494399,-0.0033607169529499626,0.046303211351755046,0.9663928304705004,0.9757281553398058,1.0,0.9540702016430173,0.41635548917102316,0.6426437640029873,0.7427184466019418,0.7815533980582525,0.8144137415982077,0.8592233009708738,-0.47647498132935034,-0.4701269604182226
above_quantile_mean_0.9,0.9197162061239731,-0.12322628827483197,-0.14040328603435398,0.008215085884988798,0.0007468259895444362,0.05638536221060493,0.9256908140403286,0.9335324869305451,0.9540702016430173,1.0,0.42569081404032866,0.648991784914115,0.748319641523525,0.7759522031366691,0.8095593726661688,0.8439133681852129,-0.4783420463032113,-0.4660194174757282
patch_aggregation_10,0.4148618371919343,0.15011202389843167,0.12696041822255416,0.27931292008961917,0.04779686333084392,0.09820761762509336,0.4156086631814787,0.41598207617625094,0.41635548917102316,0.42569081404032866,1.0,0.5347274085138164,0.4316654219566841,0.4279312920089619,0.4294249439880508,0.4107542942494399,-0.1527259148618372,-0.14040328603435398
patch_aggregation_20,0.6344286781179985,-0.011202389843166544,-0.030619865571321885,0.09783420463032114,-0.07542942494398806,0.025018670649738613,0.6336818521284542,0.6370425690814041,0.6426437640029873,0.648991784914115,0.5347274085138164,1.0,0.7408513816280807,0.6721433905899926,0.672890216579537,0.6430171769977596,-0.371545929798357,-0.34428678117998507
patch_aggregation_40,0.7307692307692308,-0.10156833457804332,-0.11575802837938762,0.02539208364451083,-0.05003734129947723,0.042195668409260645,0.7307692307692308,0.7356235997012697,0.7427184466019418,0.748319641523525,0.4316654219566841,0.7408513816280807,1.0,0.842419716206124,0.8192681105302465,0.765496639283047,-0.48879761015683354,-0.4660194174757282
