,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.1262135922330097,-0.1295743091859597,0.07879014189693802,-0.005227781926811053,0.0743091859596714,0.9917849141150112,0.9798356982823003,0.9592979835698282,0.9070201643017177,0.45855115758028375,0.6519790888722927,0.7393577296489918,0.7785660941000747,0.8166542195668409,-0.482823002240478,-0.45967139656460054
above_threshold_mean_0.3,-0.1262135922330097,1.0,0.8726661687826737,0.38125466766243465,0.09036594473487677,0.13778939507094848,-0.12546676624346528,-0.1239731142643764,-0.12210604929051531,-0.10567587752053773,0.10679611650485438,-0.01941747572815534,-0.09858103061986558,-0.10866318147871547,-0.11687826736370426,0.38722927557879017,0.4193427931292009
above_threshold_mean_0.5,-0.1295743091859597,0.8726661687826737,1.0,0.37266616878267367,0.07281553398058253,0.1277072442120986,-0.13032113517550412,-0.13106796116504857,-0.13069454817027634,-0.12247946228528754,0.08849887976101568,-0.03771471247199403,-0.10866318147871547,-0.11650485436893206,-0.12696041822255416,0.3741598207617625,0.39283047050037345
above_threshold_mean_0.7,0.07879014189693802,0.38125466766243465,0.37266616878267367,1.0,0.22591486183719195,0.1672890216579537,0.07505601194921584,0.0720687079910381,0.06796116504854369,0.06646751306945482,0.2834204630321135,0.16691560866318148,0.08775205377147124,0.06796116504854369,0.06572068707991038,0.22927557879014188,0.21956684092606424
above_threshold_mean_0.9,-0.005227781926811053,0.09036594473487677,0.07281553398058253,0.22591486183719195,1.0,0.43129200896191194,-0.00597460791635549,-0.00597460791635549,-0.007094846900672144,-0.004854368932038835,0.09410007468259896,0.0537714712471994,0.01717699775952203,0.007094846900672144,0.016803584764749812,0.043689320388349516,0.02576549663928305
above_threshold_mean_0.95,0.0743091859596714,0.13778939507094848,0.1277072442120986,0.1672890216579537,0.43129200896191194,1.0,0.07132188200149366,0.06609410007468261,0.06646751306945482,0.07617625093353249,0.11015683345780433,0.0847647498132935,0.06235997012696042,0.05526512322628828,0.07169529499626587,0.05825242718446603,0.06049290515309933
above_quantile_mean_0.3,0.9917849141150112,-0.12546676624346528,-0.13032113517550412,0.07505601194921584,-0.00597460791635549,0.07132188200149366,1.0,0.9880507841672892,0.9675130694548171,0.9144884241971621,0.45705750560119496,0.6519790888722927,0.7415982076176251,0.7793129200896192,0.8166542195668409,-0.48506348020911133,-0.4604182225541449
above_quantile_mean_0.5,0.9798356982823003,-0.1239731142643764,-0.13106796116504857,0.0720687079910381,-0.00597460791635549,0.06609410007468261,0.9880507841672892,1.0,0.9794622852875281,0.9256908140403286,0.45929798356982826,0.6549663928304705,0.7453323375653473,0.7830470500373413,0.8203883495145632,-0.4895444361463779,-0.4641523525018671
above_quantile_mean_0.7,0.9592979835698282,-0.12210604929051531,-0.13069454817027634,0.06796116504854369,-0.007094846900672144,0.06646751306945482,0.9675130694548171,0.9794622852875281,1.0,0.9424943988050786,0.4604182225541449,0.6613144137415983,0.7486930545182973,0.784167289021658,0.8207617625093353,-0.4973861090365945,-0.4697535474234503
above_quantile_mean_0.9,0.9070201643017177,-0.10567587752053773,-0.12247946228528754,0.06646751306945482,-0.004854368932038835,0.07617625093353249,0.9144884241971621,0.9256908140403286,0.9424943988050786,1.0,0.4701269604182226,0.676250933532487,0.7524271844660195,0.7796863330843914,0.8125466766243465,-0.4966392830470501,-0.4652725914861838
patch_aggregation_10,0.45855115758028375,0.10679611650485438,0.08849887976101568,0.2834204630321135,0.09410007468259896,0.11015683345780433,0.45705750560119496,0.45929798356982826,0.4604182225541449,0.4701269604182226,1.0,0.5601194921583271,0.45855115758028375,0.4604182225541449,0.46116504854368934,-0.2005227781926811,-0.1840926064227035
patch_aggregation_20,0.6519790888722927,-0.01941747572815534,-0.03771471247199403,0.16691560866318148,0.0537714712471994,0.0847647498132935,0.6519790888722927,0.6549663928304705,0.6613144137415983,0.676250933532487,0.5601194921583271,1.0,0.7505601194921584,0.6889469753547424,0.6926811053024645,-0.40814040328603435,-0.3775205377147125
patch_aggregation_40,0.7393577296489918,-0.09858103061986558,-0.10866318147871547,0.08775205377147124,0.01717699775952203,0.06235997012696042,0.7415982076176251,0.7453323375653473,0.7486930545182973,0.7524271844660195,0.45855115758028375,0.7505601194921584,1.0,0.8472740851381628,0.8226288274831964,-0.5141896938013443,-0.482823002240478
patch_aggregation_80,0.7785660941000747,-0.10866318147871547,-0.11650485436893206,0.06796116504854369,0.007094846900672144,0.05526512322628828,0.7793129200896192,0.7830470500373413,0.784167289021658,0.7796863330843914,0.4604182225541449,0.6889469753547424,0.8472740851381628,1.0,0.9253174010455564,-0.5287528005974609,-0.5056011949215833
patch_aggregation_100,0.8166542195668409,-0.11687826736370426,-0.12696041822255416,0.06572068707991038,0.016803584764749812,0.07169529499626587,0.8166542195668409,0.8203883495145632,0.8207617625093353,0.8125466766243465,0.46116504854368934,0.6926811053024645,0.8226288274831964,0.9253174010455564,1.0,-0.5160567587752054,-0.4958924570575056
class_mean_w_equal_weights,-0.482823002240478,0.38722927557879017,0.3741598207617625,0.22927557879014188,0.043689320388349516,0.05825242718446603,-0.48506348020911133,-0.4895444361463779,-0.4973861090365945,-0.4966392830470501,-0.2005227781926811,-0.40814040328603435,-0.5141896938013443,-0.5287528005974609,-0.5160567587752054,1.0,0.8521284540702018
class_mean_weighted_by_occurrence,-0.45967139656460054,0.4193427931292009,0.39283047050037345,0.21956684092606424,0.02576549663928305,0.06049290515309933,-0.4604182225541449,-0.4641523525018671,-0.4697535474234503,-0.4652725914861838,-0.1840926064227035,-0.3775205377147125,-0.482823002240478,-0.5056011949215833,-0.4958924570575056,0.8521284540702018,1.0
