,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.5728332362961991,0.341120497136694,0.559343623672923,0.10353470908113742,0.06326242073454261,0.9958522168195055,0.981790338890342,0.9505234170461906,0.8791251568474507,0.6365078397231764,0.669775898890198,0.7095750625474091,0.7707245333451324,0.7919598337651195,0.8179675703096826,1.0000000000000002
above_threshold_mean_0.3,0.5728332362961991,1.0,0.561365184994911,0.5855324832593921,0.09947308540885347,0.08770382442665191,0.591798799163837,0.6229294800867304,0.6711264799161072,0.7533126680282444,0.8006631722268096,0.7920465769798942,0.7696694611775373,0.7380378412016335,0.7236266524617014,0.7627115241907889,0.572833236296199
above_threshold_mean_0.5,0.341120497136694,0.561365184994911,1.0,0.33503622146282197,0.04001375167311445,0.03203310733780374,0.3583111724294686,0.3855019199501192,0.42751666275936484,0.5110639903377225,0.7093249194829069,0.6557862375830741,0.5844390486932131,0.5160662486861423,0.4924125301815504,0.5236054830751468,0.3411204971366939
above_threshold_mean_0.7,0.559343623672923,0.5855324832593921,0.33503622146282197,1.0,0.05628971834754649,0.04091469690322456,0.5733223852767615,0.5932770667544024,0.6185192941405255,0.6591062801505064,0.6978119086424067,0.6831763892658422,0.6633696000220786,0.6512383559063126,0.6468809412598943,0.6544755581436174,0.5593436236729229
above_threshold_mean_0.9,0.10353470908113742,0.09947308540885347,0.04001375167311445,0.05628971834754649,1.0,0.7140565450632048,0.1012886203124723,0.10225721611002628,0.10790197071085905,0.1074563333040182,0.08428842021840165,0.08785283194055794,0.09436437007806629,0.10701082264960148,0.11024594796334466,0.08945127299957185,0.10353470908113745
above_threshold_mean_0.95,0.06326242073454261,0.08770382442665191,0.03203310733780374,0.04091469690322456,0.7140565450632048,1.0,0.0686645204407008,0.07331129358489018,0.08102853431985493,0.08062231157791064,0.0637088176382942,0.0658189556725819,0.06964146678440897,0.0777328214407142,0.0802444851014582,0.04903052633638603,0.06326242073454261
above_quantile_mean_0.3,0.9958522168195055,0.591798799163837,0.3583111724294686,0.5733223852767615,0.1012886203124723,0.0686645204407008,1.0,0.9938316963012442,0.96917004133368,0.9022923722204226,0.6581818807927501,0.6921189537226973,0.7319161854861282,0.792909135421652,0.8134716361822976,0.8307114745250959,0.9958522168195058
above_quantile_mean_0.5,0.981790338890342,0.6229294800867304,0.3855019199501192,0.5932770667544024,0.10225721611002628,0.07331129358489018,0.9938316963012442,1.0,0.9888594360647797,0.9332425767315375,0.6914017903741116,0.7262587345586108,0.7663315838700472,0.8252797524720782,0.844198996139073,0.8490912967285231,0.9817903388903422
above_quantile_mean_0.7,0.9505234170461906,0.6711264799161072,0.42751666275936484,0.6185192941405255,0.10790197071085905,0.08102853431985493,0.96917004133368,0.9888594360647797,1.0,0.9699922445484791,0.7393998570457663,0.7746333592581681,0.8144598497858995,0.866705410285227,0.8814376072491132,0.8740877503210377,0.9505234170461906
above_quantile_mean_0.9,0.8791251568474507,0.7533126680282444,0.5110639903377225,0.6591062801505064,0.1074563333040182,0.08062231157791064,0.9022923722204226,0.9332425767315375,0.9699922445484791,1.0,0.8252876404498943,0.8570627138888857,0.8868776876901303,0.9125291868755242,0.9151591476622117,0.9111081490695195,0.8791251568474511
patch_aggregation_10,0.6365078397231764,0.8006631722268096,0.7093249194829069,0.6978119086424067,0.08428842021840165,0.0637088176382942,0.6581818807927501,0.6914017903741116,0.7393998570457663,0.8252876404498943,1.0,0.9746592638130824,0.9194349404342483,0.8583376517094872,0.8372359663130655,0.8217193290353856,0.6365078397231764
patch_aggregation_20,0.669775898890198,0.7920465769798942,0.6557862375830741,0.6831763892658422,0.08785283194055794,0.0658189556725819,0.6921189537226973,0.7262587345586108,0.7746333592581681,0.8570627138888857,0.9746592638130824,1.0,0.9643355508186909,0.9025958834202195,0.8801896886573888,0.8430409035200095,0.669775898890198
patch_aggregation_40,0.7095750625474091,0.7696694611775373,0.5844390486932131,0.6633696000220786,0.09436437007806629,0.06964146678440897,0.7319161854861282,0.7663315838700472,0.8144598497858995,0.8868776876901303,0.9194349404342483,0.9643355508186909,1.0,0.9574560392936814,0.9342093321066448,0.8477058795772273,0.7095750625474091
patch_aggregation_80,0.7707245333451324,0.7380378412016335,0.5160662486861423,0.6512383559063126,0.10701082264960148,0.0777328214407142,0.792909135421652,0.8252797524720782,0.866705410285227,0.9125291868755242,0.8583376517094872,0.9025958834202195,0.9574560392936814,1.0,0.9922755610963826,0.8482789293582431,0.770724533345132
