,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.27607830423536045,0.6395590046978054,0.5591531892302812,,,0.9981295875532326,0.9906451242136584,0.9615725460319162,0.8736093447162872,0.45917117779606254,0.8062806431209939,0.8235590986928252,0.8211704928088109,0.8494137768004165,0.8635603424249498,0.8425822816477047,0.8568162071810234
above_threshold_mean_0.3,0.27607830423536045,1.0,0.6398605687629573,0.41777034129791696,,,0.27125228820876457,0.27819619831257963,0.29973525792710964,0.35397406504095325,0.2393596726115906,0.28014728072924433,0.13815558949298826,0.05624219696988304,0.08098364336746544,0.1006438499209625,0.38251699825283114,0.5488032364596696
above_threshold_mean_0.5,0.6395590046978054,0.6398605687629573,1.0,0.6856365816439552,,,0.6394253467285669,0.6630920527843617,0.7203768134372467,0.8453650988002461,,0.8386338258801732,0.694488766065772,0.538313143258059,0.47738494340234594,0.4778353801681897,0.8047262016710443,0.8804431416585246
above_threshold_mean_0.7,0.5591531892302812,0.41777034129791696,0.6856365816439552,1.0,,,0.5569762168459919,0.5377922346204329,0.5248663210402704,0.5523688229584022,,0.6631607391913803,0.5430122838917072,0.4033812165375504,0.38370273263514976,0.389993217887014,0.5412345602376721,0.5549738654453089
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9981295875532326,0.27125228820876457,0.6394253467285669,0.5569762168459919,,,1.0,0.994680151803651,0.9684178742512202,0.8801703219887711,0.45917550806950935,0.8112865264933319,0.8306438654475832,0.8297053299457388,0.8583157432629481,0.8720006881587707,0.846205201735476,0.8576475582654629
above_quantile_mean_0.5,0.9906451242136584,0.27819619831257963,0.6630920527843617,0.5377922346204329,,,0.994680151803651,1.0,0.9870437005458121,0.9101242233123534,0.4591711798411135,0.8335514906345921,0.8537684781636568,0.8518053368249036,0.8741812772895022,0.8860508308521907,0.8688187248798471,0.8796242428363928
above_quantile_mean_0.7,0.9615725460319162,0.29973525792710964,0.7203768134372467,0.5248663210402704,,,0.9684178742512202,0.9870437005458121,1.0,0.9570576662614829,0.4591728031362081,0.8764567556354128,0.8891077808676922,0.8747864967864974,0.8796460553164672,0.886204348067536,0.9040338385106912,0.9116712549084233
above_quantile_mean_0.9,0.8736093447162872,0.35397406504095325,0.8453650988002461,0.5523688229584022,,,0.8801703219887711,0.9101242233123534,0.9570576662614829,1.0,0.4602185715449252,0.9459044781499002,0.9208568448814143,0.8570727561517226,0.8164247899830872,0.8122566375024397,0.9413649368054162,0.9366946532469371
above_quantile_mean_fg_ratio,0.45917117779606254,0.2393596726115906,,,,,0.45917550806950935,0.4591711798411135,0.4591728031362081,0.4602185715449252,1.0,0.6343894519158125,0.5079405417987304,0.4591720430876677,0.4591711777960583,0.45917117779605354,0.9099186171916235,0.9099186171916235
patch_aggregation_10,0.8062806431209939,0.28014728072924433,0.8386338258801732,0.6631607391913803,,,0.8112865264933319,0.8335514906345921,0.8764567556354128,0.9459044781499002,0.6343894519158125,1.0,0.9566070292862642,0.8482804002873912,0.7737062771189867,0.7626071448315263,0.9101097160865195,0.8527382987949748
patch_aggregation_20,0.8235590986928252,0.13815558949298826,0.694488766065772,0.5430122838917072,,,0.8306438654475832,0.8537684781636568,0.8891077808676922,0.9208568448814143,0.5079405417987304,0.9566070292862642,1.0,0.9423980167585897,0.8713772328633159,0.8552427906850071,0.8872213548915829,0.7929174845854939
patch_aggregation_40,0.8211704928088109,0.05624219696988304,0.538313143258059,0.4033812165375504,,,0.8297053299457388,0.8518053368249036,0.8747864967864974,0.8570727561517226,0.4591720430876677,0.8482804002873912,0.9423980167585897,1.0,0.9561110863938231,0.9371181804827249,0.8184062105651977,0.7180535950567729
patch_aggregation_80,0.8494137768004165,0.08098364336746544,0.47738494340234594,0.38370273263514976,,,0.8583157432629481,0.8741812772895022,0.8796460553164672,0.8164247899830872,0.4591711777960583,0.7737062771189867,0.8713772328633159,0.9561110863938231,1.0,0.9929067670083226,0.7769303635714487,0.7005008582064804
patch_aggregation_100,0.8635603424249498,0.1006438499209625,0.4778353801681897,0.389993217887014,,,0.8720006881587707,0.8860508308521907,0.886204348067536,0.8122566375024397,0.45917117779605354,0.7626071448315263,0.8552427906850071,0.9371181804827249,0.9929067670083226,1.0,0.7743009354001322,0.7089330451831669
class_mean_w_equal_weights,0.8425822816477047,0.38251699825283114,0.8047262016710443,0.5412345602376721,,,0.846205201735476,0.8688187248798471,0.9040338385106912,0.9413649368054162,0.9099186171916235,0.9101097160865195,0.8872213548915829,0.8184062105651977,0.7769303635714487,0.7743009354001322,1.0,0.909398390301977
class_mean_weighted_by_occurrence,0.8568162071810234,0.5488032364596696,0.8804431416585246,0.5549738654453089,,,0.8576475582654629,0.8796242428363928,0.9116712549084233,0.9366946532469371,0.9099186171916235,0.8527382987949748,0.7929174845854939,0.7180535950567729,0.7005008582064804,0.7089330451831669,0.909398390301977,1.0
