,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.3229619990956184,-0.19986830183374885,,,,0.9232645104359698,0.9939516729550977,0.9689027887072553,0.8800457531283485,0.1259072224041584,-0.06781984603312677,0.36703131414550433,0.6712793018351164,0.6764283196538714,-0.3147279015282038,-0.2848014471694755
above_threshold_mean_0.3,-0.3229619990956184,1.0,0.5872226761805611,,,,-0.20299026423926358,-0.32410972558348816,-0.28672088776970606,0.08256600780229256,-0.13000307588915333,-0.02478157319480727,-0.22460673142268248,-0.408189401543437,-0.38454620123470795,0.9182041802152283,0.9375257451559657
above_threshold_mean_0.5,-0.19986830183374885,0.5872226761805611,1.0,,,,-0.15332119900041197,-0.25650556524520024,-0.30469860874635696,-0.028360391169136707,0.14328632055777824,0.22731670101135076,0.028502067207028865,-0.0922666152057923,-0.0485435232280282,0.35070273237059785,0.41535535470830176
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9232645104359698,-0.20299026423926358,-0.15332119900041197,,,,1.0,0.9236684193449832,0.903926307354109,0.8522509152902545,0.0028698609108658425,-0.1480021873693237,0.26245455813680324,0.6111370264886595,0.6027453540283848,-0.2301796351319282,-0.20659978030624285
above_quantile_mean_0.5,0.9939516729550977,-0.32410972558348816,-0.25650556524520024,,,,0.9236684193449832,1.0,0.9887062506212708,0.8967557263571414,0.1214018347355423,-0.06553986941632028,0.3686897359435175,0.662573146577061,0.6584564012459324,-0.29597328091994274,-0.27416286634933335
above_quantile_mean_0.7,0.9689027887072553,-0.28672088776970606,-0.30469860874635696,,,,0.903926307354109,0.9887062506212708,1.0,0.9226980025314443,0.10875196856312416,-0.041599467850967006,0.3671690785158575,0.6207592121145293,0.6071982691754993,-0.22932608694103168,-0.2162359577381427
above_quantile_mean_0.9,0.8800457531283485,0.08256600780229256,-0.028360391169136707,,,,0.8522509152902545,0.8967557263571414,0.9226980025314443,1.0,0.08295356328220264,0.0039855086835155675,0.3088992731229886,0.4861062901904686,0.4879517119134749,0.10280111200119171,0.1246118355171836
patch_aggregation_10,0.1259072224041584,-0.13000307588915333,0.14328632055777824,,,,0.0028698609108658425,0.1214018347355423,0.10875196856312416,0.08295356328220264,1.0,0.5297725978399686,0.2630960156797019,0.10321657508057398,0.16524369457559537,-0.13784975576804576,-0.11827207672725162
patch_aggregation_20,-0.06781984603312677,-0.02478157319480727,0.22731670101135076,,,,-0.1480021873693237,-0.06553986941632028,-0.041599467850967006,0.0039855086835155675,0.5297725978399686,1.0,0.30686303987705954,-0.07105996417808501,-0.08815582284604233,-0.004480190085900152,0.020557124643163772
patch_aggregation_40,0.36703131414550433,-0.22460673142268248,0.028502067207028865,,,,0.26245455813680324,0.3686897359435175,0.3671690785158575,0.3088992731229886,0.2630960156797019,0.30686303987705954,1.0,0.6245804566927785,0.5172949221557134,-0.23380628444457036,-0.19315456723452457
patch_aggregation_80,0.6712793018351164,-0.408189401543437,-0.0922666152057923,,,,0.6111370264886595,0.662573146577061,0.6207592121145293,0.4861062901904686,0.10321657508057398,-0.07105996417808501,0.6245804566927785,1.0,0.9529618093164867,-0.4359083928581882,-0.40914830217121634
patch_aggregation_100,0.6764283196538714,-0.38454620123470795,-0.0485435232280282,,,,0.6027453540283848,0.6584564012459324,0.6071982691754993,0.4879517119134749,0.16524369457559537,-0.08815582284604233,0.5172949221557134,0.9529618093164867,1.0,-0.41067893103207803,-0.3883821858392252
class_mean_w_equal_weights,-0.3147279015282038,0.9182041802152283,0.35070273237059785,,,,-0.2301796351319282,-0.29597328091994274,-0.22932608694103168,0.10280111200119171,-0.13784975576804576,-0.004480190085900152,-0.23380628444457036,-0.4359083928581882,-0.41067893103207803,1.0,0.9910183847714374
class_mean_weighted_by_occurrence,-0.2848014471694755,0.9375257451559657,0.41535535470830176,,,,-0.20659978030624285,-0.27416286634933335,-0.2162359577381427,0.1246118355171836,-0.11827207672725162,0.020557124643163772,-0.19315456723452457,-0.40914830217121634,-0.3883821858392252,0.9910183847714374,1.0
