,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.2961198574650854,-0.05992748836479847,0.24150604224429967,,,0.9934122028265117,0.976018470158517,0.9496127706162766,0.8710477311998597,0.4034202867280743,0.5906812613919337,0.7205601004846097,0.8097563913866305,0.8273209110703013,0.8738031904259536,0.44543203017773375,0.7072950963923382
above_threshold_mean_0.3,-0.2961198574650854,1.0,0.3106160475206789,0.216755902470543,,,-0.27519449841050575,-0.2545294669426454,-0.19514011836852307,0.05187445433583549,0.05164603459903697,0.03951013294194074,-0.17977039365845618,-0.26769169194340003,-0.24688150518925,-0.24364093264818898,0.2041074030892438,0.12946874533440572
above_threshold_mean_0.5,-0.05992748836479847,0.3106160475206789,1.0,0.5393242083333523,,,-0.04729808343185742,-0.027677430319445792,0.003614444394252599,0.10067820932705804,0.6425244393677831,0.39566430501115785,-0.06990437577006861,-0.004147684676222543,0.01622334867115772,0.0030423858998469494,0.0074001150472683035,0.21333920466371967
above_threshold_mean_0.7,0.24150604224429967,0.216755902470543,0.5393242083333523,1.0,,,0.25218132029675017,0.2644040743056361,0.28471621451119195,0.3592720352785982,0.526462803296285,0.4208038807811082,0.2144409450777529,0.22610865991714238,0.2630362336572862,0.23591040889089263,0.10144133891974881,0.3863665283566003
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9934122028265117,-0.27519449841050575,-0.04729808343185742,0.25218132029675017,,,1.0,0.9931901182827597,0.9749095634906155,0.9011064127223997,0.4184029987440178,0.6391186695613509,0.7654700889618982,0.8483901090416897,0.8650869137964003,0.9098512253713733,0.48990955333698843,0.7479784897025815
above_quantile_mean_0.5,0.976018470158517,-0.2545294669426454,-0.027677430319445792,0.2644040743056361,,,0.9931901182827597,1.0,0.992779013664276,0.9269920132084893,0.43856551256099197,0.6834560672452672,0.8081979458254517,0.8836425009418384,0.8974540705974391,0.9377498484017927,0.5520191065985668,0.7865383294644134
above_quantile_mean_0.7,0.9496127706162766,-0.19514011836852307,0.003614444394252599,0.28471621451119195,,,0.9749095634906155,0.992779013664276,1.0,0.9579841853748331,0.4624166161180572,0.7195598798324605,0.8283058937322118,0.8962066666895938,0.9068198718183548,0.939429366702863,0.6122117492229202,0.82881345879141
above_quantile_mean_0.9,0.8710477311998597,0.05187445433583549,0.10067820932705804,0.3592720352785982,,,0.9011064127223997,0.9269920132084893,0.9579841853748331,1.0,0.4959076210807975,0.7188066241581353,0.7791145217188576,0.8433129486481544,0.8559034581680268,0.8783971684599129,0.6823236131257535,0.9134027976716329
patch_aggregation_10,0.4034202867280743,0.05164603459903697,0.6425244393677831,0.526462803296285,,,0.4184029987440178,0.43856551256099197,0.4624166161180572,0.4959076210807975,1.0,0.6371825478873183,0.27805285408708297,0.37249353954913217,0.3956028327323651,0.4200991370788311,0.3342990998409664,0.5231195759905478
patch_aggregation_20,0.5906812613919337,0.03951013294194074,0.39566430501115785,0.4208038807811082,,,0.6391186695613509,0.6834560672452672,0.7195598798324605,0.7188066241581353,0.6371825478873183,1.0,0.7044282507653674,0.6584696306709635,0.6450623382191873,0.6792849926360452,0.5433300686782688,0.6599961454880202
patch_aggregation_40,0.7205601004846097,-0.17977039365845618,-0.06990437577006861,0.2144409450777529,,,0.7654700889618982,0.8081979458254517,0.8283058937322118,0.7791145217188576,0.27805285408708297,0.7044282507653674,1.0,0.8911194126594832,0.8609492273376929,0.8343473080983793,0.5996538543938155,0.6730686016550258
patch_aggregation_80,0.8097563913866305,-0.26769169194340003,-0.004147684676222543,0.22610865991714238,,,0.8483901090416897,0.8836425009418384,0.8962066666895938,0.8433129486481544,0.37249353954913217,0.6584696306709635,0.8911194126594832,1.0,0.9873265149664545,0.9428706359858108,0.6071246635463167,0.7881537185361941
patch_aggregation_100,0.8273209110703013,-0.24688150518925,0.01622334867115772,0.2630362336572862,,,0.8650869137964003,0.8974540705974391,0.9068198718183548,0.8559034581680268,0.3956028327323651,0.6450623382191873,0.8609492273376929,0.9873265149664545,1.0,0.9577896084822137,0.5942524871840459,0.8085027609947928
patch_aggregation_200,0.8738031904259536,-0.24364093264818898,0.0030423858998469494,0.23591040889089263,,,0.9098512253713733,0.9377498484017927,0.939429366702863,0.8783971684599129,0.4200991370788311,0.6792849926360452,0.8343473080983793,0.9428706359858108,0.9577896084822137,1.0,0.6018611421462224,0.8287876654446784
class_mean_w_equal_weights,0.44543203017773375,0.2041074030892438,0.0074001150472683035,0.10144133891974881,,,0.48990955333698843,0.5520191065985668,0.6122117492229202,0.6823236131257535,0.3342990998409664,0.5433300686782688,0.5996538543938155,0.6071246635463167,0.5942524871840459,0.6018611421462224,1.0,0.679955128129798
class_mean_weighted_by_occurrence,0.7072950963923382,0.12946874533440572,0.21333920466371967,0.3863665283566003,,,0.7479784897025815,0.7865383294644134,0.82881345879141,0.9134027976716329,0.5231195759905478,0.6599961454880202,0.6730686016550258,0.7881537185361941,0.8085027609947928,0.8287876654446784,0.679955128129798,1.0
