,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.7461837537928235,-0.262603916238712,-0.3798968053096262,-0.2651936038229992,-0.17478433063765283,0.9794585084578894,0.9609420156565893,0.919590035024384,0.781682920882994,0.34201660989100247,0.22462569238962032,0.4982159450716424,0.6375377380350502,0.6920814028074777,0.30854747489702467,0.5788236344741785
above_threshold_mean_0.3,0.7461837537928235,1.0,0.033773353789977506,-0.06044453697156801,-0.09411034123064498,-0.0061933415132360056,0.8072093662849804,0.8757851396329321,0.8927980258638879,0.8372424274079822,0.3575492006339446,0.2483707926597925,0.6697225213789351,0.881498915394715,0.89869038949321,0.46146707694610395,0.6432527745871458
above_threshold_mean_0.5,-0.262603916238712,0.033773353789977506,1.0,0.7799736715487141,0.4564919434403737,0.4011389280896176,-0.18819347808794343,-0.11629785215712435,0.04415248875025746,0.34550057466752043,0.22039016760457342,0.38997362630325083,0.3503851265963921,0.18895282504979108,0.12279125759906587,0.04881280711850318,0.3062568405328531
above_threshold_mean_0.7,-0.3798968053096262,-0.06044453697156801,0.7799736715487141,1.0,0.5429738972870023,0.4366988193393789,-0.31483224573556456,-0.24649294577220188,-0.11177276750235264,0.1743142279459055,0.14606326300799963,0.22876420923445576,0.22123634675116033,0.036586367343277845,0.010414512809707318,0.07575592485810229,0.053575544709429095
above_threshold_mean_0.9,-0.2651936038229992,-0.09411034123064498,0.4564919434403737,0.5429738972870023,1.0,0.9756640947963385,-0.2144934743497708,-0.1808113106157148,-0.11266189302615587,0.061882256771450095,0.45302516475735016,0.37797071385102976,0.19411842174937302,0.060300761782984456,0.01436158423690615,0.29401405237953543,0.021544228391138003
above_threshold_mean_0.95,-0.17478433063765283,-0.0061933415132360056,0.4011389280896176,0.4366988193393789,0.9756640947963385,1.0,-0.13019646234551727,-0.09447512787742471,-0.03496416343553564,0.1106944095234868,0.5083701852325135,0.42535492243131834,0.2652389569687426,0.14129398854399344,0.09623745279031538,0.33120526938007117,0.07089684951464963
above_quantile_mean_0.3,0.9794585084578894,0.8072093662849804,-0.18819347808794343,-0.31483224573556456,-0.2144934743497708,-0.13019646234551727,1.0,0.9902156578139546,0.9608181190036074,0.8382271208266414,0.35845982241759095,0.25098234516394,0.5340856282508961,0.7083408955935863,0.7632512457299682,0.32508599995411214,0.6426732127061606
above_quantile_mean_0.5,0.9609420156565893,0.8757851396329321,-0.11629785215712435,-0.24649294577220188,-0.1808113106157148,-0.09447512787742471,0.9902156578139546,1.0,0.9854988996299726,0.8824095466666783,0.3816793540254807,0.2597193086056455,0.5942887985160854,0.7798709812841307,0.8258438370093169,0.3714707446932889,0.6755308451367149
above_quantile_mean_0.7,0.919590035024384,0.8927980258638879,0.04415248875025746,-0.11177276750235264,-0.11266189302615587,-0.03496416343553564,0.9608181190036074,0.9854988996299726,1.0,0.9461220644530244,0.4088964138009695,0.3090184989432272,0.6588148196247672,0.8181764351270076,0.8519292830054888,0.38247547999819187,0.7292352740009653
above_quantile_mean_0.9,0.781682920882994,0.8372424274079822,0.34550057466752043,0.1743142279459055,0.061882256771450095,0.1106944095234868,0.8382271208266414,0.8824095466666783,0.9461220644530244,1.0,0.4563992894021031,0.4234901888344858,0.7321126608622011,0.8091598942927691,0.8247490190622646,0.37018693911034456,0.7913713721307761
patch_aggregation_10,0.34201660989100247,0.3575492006339446,0.22039016760457342,0.14606326300799963,0.45302516475735016,0.5083701852325135,0.35845982241759095,0.3816793540254807,0.4088964138009695,0.4563992894021031,1.0,0.5472074965616881,0.4932513287351732,0.4516470351305323,0.43054258624055103,0.3178670926346944,0.3941700023140052
patch_aggregation_20,0.22462569238962032,0.2483707926597925,0.38997362630325083,0.22876420923445576,0.37797071385102976,0.42535492243131834,0.25098234516394,0.2597193086056455,0.3090184989432272,0.4234901888344858,0.5472074965616881,1.0,0.5837332447337144,0.3007314310650414,0.2681302052552709,0.1430582679481473,0.45636518444955115
patch_aggregation_40,0.4982159450716424,0.6697225213789351,0.3503851265963921,0.22123634675116033,0.19411842174937302,0.2652389569687426,0.5340856282508961,0.5942887985160854,0.6588148196247672,0.7321126608622011,0.4932513287351732,0.5837332447337144,1.0,0.7012224372857622,0.64262618630122,0.21647932039279957,0.595331209089059
patch_aggregation_80,0.6375377380350502,0.881498915394715,0.18895282504979108,0.036586367343277845,0.060300761782984456,0.14129398854399344,0.7083408955935863,0.7798709812841307,0.8181764351270076,0.8091598942927691,0.4516470351305323,0.3007314310650414,0.7012224372857622,1.0,0.9582304409039438,0.4278946592692262,0.6702009113134061
patch_aggregation_100,0.6920814028074777,0.89869038949321,0.12279125759906587,0.010414512809707318,0.01436158423690615,0.09623745279031538,0.7632512457299682,0.8258438370093169,0.8519292830054888,0.8247490190622646,0.43054258624055103,0.2681302052552709,0.64262618630122,0.9582304409039438,1.0,0.4351397996813995,0.6550959171613792
class_mean_w_equal_weights,0.30854747489702467,0.46146707694610395,0.04881280711850318,0.07575592485810229,0.29401405237953543,0.33120526938007117,0.32508599995411214,0.3714707446932889,0.38247547999819187,0.37018693911034456,0.3178670926346944,0.1430582679481473,0.21647932039279957,0.4278946592692262,0.4351397996813995,1.0,0.1968099431390149
class_mean_weighted_by_occurrence,0.5788236344741785,0.6432527745871458,0.3062568405328531,0.053575544709429095,0.021544228391138003,0.07089684951464963,0.6426732127061606,0.6755308451367149,0.7292352740009653,0.7913713721307761,0.3941700023140052,0.45636518444955115,0.595331209089059,0.6702009113134061,0.6550959171613792,0.1968099431390149,1.0
