,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.24752207017167766,0.08275257622268475,0.10734347802042452,0.1809763719097992,0.07483216904104656,0.9242263229050062,0.8753810737852269,0.859349273941482,0.7392931125773576,0.35081601013726693,0.4586212552371145,0.551641539481934,0.6450083620441803,0.6826444647828883,0.3622482555466423,0.9535013083142727
above_threshold_mean_0.3,0.24752207017167766,1.0,0.7083425016821023,0.4589261971742411,0.4353131179070674,0.2011589995377561,0.3123842433548097,0.34393432893099085,0.45767415980006765,0.7426663447444094,0.6485510451409674,0.642053116911964,0.5994914192406864,0.5048259703863175,0.44871996690455035,0.40575267908990875,0.2597339679977707
above_threshold_mean_0.5,0.08275257622268475,0.7083425016821023,1.0,0.6960270023494853,0.46654581035390164,0.19484222610641358,0.12567202794667107,0.14014292334570772,0.22752863569115694,0.5211536888450391,0.7447090763192348,0.669541622876899,0.46455640371178814,0.28305688983715077,0.22343635812281631,0.3589493220192292,0.10023979823219091
above_threshold_mean_0.7,0.10734347802042452,0.4589261971742411,0.6960270023494853,1.0,0.5969848379618745,0.2730813381913855,0.160106911033957,0.17340064701283925,0.2293561425671847,0.4066717077918812,0.841671586669262,0.6263088678753855,0.33852984827094557,0.20810015801297366,0.18284107501373617,0.23147265461279506,0.09336314157807098
above_threshold_mean_0.9,0.1809763719097992,0.4353131179070674,0.46654581035390164,0.5969848379618745,1.0,0.22705753183458366,0.2386561243009288,0.25155446449836877,0.29943237835707015,0.41770839052664704,0.6170080401874901,0.4587284511174271,0.33318225313264527,0.2790678996158909,0.25976952543687204,0.2398351924869214,0.16970039309337093
above_threshold_mean_0.95,0.07483216904104656,0.2011589995377561,0.19484222610641358,0.2730813381913855,0.22705753183458366,1.0,0.11906997724412885,0.13622514905870725,0.16001464774979013,0.20867707216719786,0.25814756052175725,0.20697181028545605,0.17502115660709827,0.16754846064865062,0.17091505290544454,0.11128700005791912,0.05893811733161049
above_quantile_mean_0.3,0.9242263229050062,0.3123842433548097,0.12567202794667107,0.160106911033957,0.2386561243009288,0.11906997724412885,1.0,0.9818925112363937,0.9577960154031913,0.816686606539518,0.4203266125187624,0.5325822324094281,0.6474713996127238,0.7499706832683475,0.7934813826472331,0.3278716276244145,0.8023003405067987
above_quantile_mean_0.5,0.8753810737852269,0.34393432893099085,0.14014292334570772,0.17340064701283925,0.25155446449836877,0.13622514905870725,0.9818925112363937,1.0,0.9830516268043099,0.8381012570048291,0.4368025312781724,0.5558226639993583,0.6742166713959183,0.7861798758692511,0.8325737295623418,0.31828222150880725,0.7414717529808201
above_quantile_mean_0.7,0.859349273941482,0.45767415980006765,0.22752863569115694,0.2293561425671847,0.29943237835707015,0.16001464774979013,0.9577960154031913,0.9830516268043099,1.0,0.91061470220218,0.503895252115119,0.6196087506270118,0.7263342871290194,0.8177882785941755,0.8518242706263275,0.35907230430010745,0.7525389679724858
above_quantile_mean_0.9,0.7392931125773576,0.7426663447444094,0.5211536888450391,0.4066717077918812,0.41770839052664704,0.20867707216719786,0.816686606539518,0.8381012570048291,0.91061470220218,1.0,0.6758670568606366,0.7526441624027309,0.7958779675557811,0.7950232280314954,0.7879383447610803,0.44126499881895614,0.684125985349422
