0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.4884132686910152,0.23972507593924844,0.6499791764617867,,,0.9973507058877304,0.9863782058234671,0.9534784439643179,0.8529851637880456,1.0,0.632546963992159,0.6876600756367175,0.7056852960783643,0.7294842842377153,0.7577055089740624,0.7494423203863622,1.0
above_threshold_mean_0.3,0.4884132686910152,1.0,0.7086665787890757,0.6074403080078496,,,0.5055121557550921,0.5465888331539813,0.6210339886193328,0.7554229428067982,0.4884132686910152,0.8446738877425979,0.8349518939964923,0.7606977402815251,0.7273114692149,0.7021395575061576,0.8478133985773973,0.4884132686910152
above_threshold_mean_0.5,0.23972507593924844,0.7086665787890757,1.0,0.2463470856720271,,,0.24552452123297727,0.2675076688995375,0.3242836321082483,0.45188948406362395,0.23972507593924847,0.7516380678578003,0.6300978561811379,0.5460116859588061,0.4631238787513577,0.43788654932570276,0.5815718337912826,0.2397250759392485
above_threshold_mean_0.7,0.6499791764617867,0.6074403080078496,0.2463470856720271,1.0,,,0.6595225782533889,0.6909407809903818,0.7182000554595758,0.7212744610974721,0.6499791764617866,0.5744465877690685,0.6255505216618469,0.647544790024643,0.694614697678925,0.7013520764747634,0.6553812871836787,0.6499791764617868
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9973507058877304,0.5055121557550921,0.24552452123297727,0.6595225782533889,,,1.0,0.9950428478936906,0.9689806513550822,0.8753800638629851,0.9973507058877302,0.6488189946957472,0.7076329204593367,0.7261032464572462,0.7524093223598146,0.7796254306968409,0.7567748767459804,0.9973507058877307
above_quantile_mean_0.5,0.9863782058234671,0.5465888331539813,0.2675076688995375,0.6909407809903818,,,0.9950428478936906,1.0,0.9877478974394128,0.9103168155762049,0.9863782058234669,0.6798098803935113,0.7418731984392979,0.7626634874403232,0.7922313983755341,0.818344379081976,0.7782469438766323,0.9863782058234671
above_quantile_mean_0.7,0.9534784439643179,0.6210339886193328,0.3242836321082483,0.7182000554595758,,,0.9689806513550822,0.9877478974394128,1.0,0.9591070907119135,0.9534784439643178,0.7323798830927744,0.7963558617364325,0.8165549466629125,0.8482180300563696,0.872397994799534,0.8167545571682997,0.9534784439643179
above_quantile_mean_0.9,0.8529851637880456,0.7554229428067982,0.45188948406362395,0.7212744610974721,,,0.8753800638629851,0.9103168155762049,0.9591070907119135,1.0,0.8529851637880456,0.8034292946553144,0.8682937205690049,0.8736494779258139,0.8934134948218899,0.9049960737736802,0.8714074188475207,0.8529851637880459
above_quantile_mean_fg_ratio,1.0,0.4884132686910152,0.23972507593924847,0.6499791764617866,,,0.9973507058877302,0.9863782058234669,0.9534784439643178,0.8529851637880456,1.0,0.632546963992159,0.6876600756367175,0.7056852960783643,0.7294842842377153,0.7577055089740624,0.7494423203863622,1.0
patch_aggregation_10,0.632546963992159,0.8446738877425979,0.7516380678578003,0.5744465877690685,,,0.6488189946957472,0.6798098803935113,0.7323798830927744,0.8034292946553144,0.632546963992159,1.0,0.953624408037068,0.8891076393837061,0.8336495467725736,0.815687583005836,0.8295055205682823,0.6325469639921592
patch_aggregation_20,0.6876600756367175,0.8349518939964923,0.6300978561811379,0.6255505216618469,,,0.7076329204593367,0.7418731984392979,0.7963558617364325,0.8682937205690049,0.6876600756367175,0.953624408037068,1.0,0.9694400202002778,0.9104046797138724,0.8854239446275303,0.8662906201334011,0.6876600756367175
patch_aggregation_40,0.7056852960783643,0.7606977402815251,0.5460116859588061,0.647544790024643,,,0.7261032464572462,0.7626634874403232,0.8165549466629125,0.8736494779258139,0.7056852960783643,0.8891076393837061,0.9694400202002778,1.0,0.9618313545746154,0.9370423216906121,0.8364077282829893,0.7056852960783645
patch_aggregation_80,0.7294842842377153,0.7273114692149,0.4631238787513577,0.694614697678925,,,0.7524093223598146,0.7922313983755341,0.8482180300563696,0.8934134948218899,0.7294842842377153,0.8336495467725736,0.9104046797138724,0.9618313545746154,1.0,0.9926786938874964,0.8031806931293688,0.7294842842377154
patch_aggregation_100,0.7577055089740624,0.7021395575061576,0.43788654932570276,0.7013520764747634,,,0.7796254306968409,0.818344379081976,0.872397994799534,0.9049960737736802,0.7577055089740624,0.815687583005836,0.8854239446275303,0.9370423216906121,0.9926786938874964,1.0,0.7888836388915024,0.7577055089740625
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.7494423203863622,0.8478133985773973,0.5815718337912826,0.6553812871836787,,,0.7567748767459804,0.7782469438766323,0.8167545571682997,0.8714074188475207,0.7494423203863622,0.8295055205682823,0.8662906201334011,0.8364077282829893,0.8031806931293688,0.7888836388915024,1.0,0.7494423203863622
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",1.0,0.4884132686910152,0.2397250759392485,0.6499791764617868,,,0.9973507058877307,0.9863782058234671,0.9534784439643179,0.8529851637880459,1.0,0.6325469639921592,0.6876600756367175,0.7056852960783645,0.7294842842377154,0.7577055089740625,0.7494423203863622,1.0
