0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}"
mean,1.0,0.5429790923314598,0.49202446217234247,0.3681592402480876,0.4620324808112007,0.3194453428808222,0.9717735019337034,0.9145348829331806,0.8736088507661395,0.745102289042447,0.8518727084820189,0.5828247371593398,0.6261595410062055,0.6877195384185819,0.7343253111674676,0.7459707068724457,0.10946594191856322,0.6107470795848834
above_threshold_mean_0.3,0.5429790923314598,1.0,0.9295438163076347,0.6633595246068376,0.7908154918885678,0.5631134812053883,0.6461416080581439,0.6843755671216094,0.7530005477305081,0.931664843709686,0.7360704153809431,0.8611795269513394,0.8923506627867251,0.8679282686227935,0.7569252473319237,0.7283687011094138,-0.08548787351532863,-0.20522865971805296
above_threshold_mean_0.5,0.49202446217234247,0.9295438163076347,1.0,0.7783076051753178,0.8389917927323466,0.6368533581973941,0.5740518453077528,0.5847724331093317,0.6469580353040898,0.8606127162045357,0.6804172973693362,0.8868070512575866,0.8855346385262894,0.7777795130299693,0.634476438044506,0.6074577496670517,-0.1281247919827522,-0.16593478797912276
above_threshold_mean_0.7,0.3681592402480876,0.6633595246068376,0.7783076051753178,1.0,0.6907888696515186,0.5624639485011536,0.4120273559357539,0.40434859016702834,0.44483426141335985,0.6123410190609622,0.5115417828433245,0.7171734126563333,0.6655396605461033,0.5228842676704657,0.39987728841551057,0.38721705831648523,-0.0597972157370797,-0.07660816872990607
above_threshold_mean_0.9,0.4620324808112007,0.7908154918885678,0.8389917927323466,0.6907888696515186,1.0,0.5082454680468462,0.5282492488961197,0.5266776165344942,0.5744144839808941,0.742244580677692,0.623310951747513,0.8322933347756253,0.7932952882865791,0.6727292283568448,0.5474547571308223,0.52375200807515,-0.12442953009891262,-0.12628675563492633
above_threshold_mean_0.95,0.3194453428808222,0.5631134812053883,0.6368533581973941,0.5624639485011536,0.5082454680468462,1.0,0.3488390405651604,0.36009076158929587,0.3996792124398184,0.5386201299745256,0.40056779255277336,0.5388630416016131,0.5342199974961979,0.51871355635374,0.41979313691638986,0.39528734704383234,-0.11501778554556473,-0.05469462792364689
above_quantile_mean_0.3,0.9717735019337034,0.6461416080581439,0.5740518453077528,0.4120273559357539,0.5282492488961197,0.3488390405651604,1.0,0.9579851923078879,0.9256184376277004,0.8271497349202711,0.8737251776168286,0.6525249864900055,0.6984802240998138,0.7641558464224956,0.8023471367793045,0.8115160675568515,0.08823323455417784,0.4777497937309493
above_quantile_mean_0.5,0.9145348829331806,0.6843755671216094,0.5847724331093317,0.40434859016702834,0.5266776165344942,0.36009076158929587,0.9579851923078879,1.0,0.9843815937791913,0.868129648172401,0.7901090115999129,0.6637552196277753,0.727715402333224,0.8309148767485734,0.8848492865458787,0.8950473032411422,0.09848528428399678,0.3637957408716201
above_quantile_mean_0.7,0.8736088507661395,0.7530005477305081,0.6469580353040898,0.44483426141335985,0.5744144839808941,0.3996792124398184,0.9256184376277004,0.9843815937791913,1.0,0.9163881324261495,0.7890758357273264,0.7063848193737167,0.7759248693744604,0.8826747589262969,0.9119353950578336,0.9135061989295559,0.07614420574332854,0.25357529002932855
above_quantile_mean_0.9,0.745102289042447,0.931664843709686,0.8606127162045357,0.6123410190609622,0.742244580677692,0.5386201299745256,0.8271497349202711,0.868129648172401,0.9163881324261495,1.0,0.8103273996207385,0.8541695252074342,0.9099884138512574,0.9373440055346868,0.8663321073496572,0.8502471033672934,-5.8010621941892717e-05,0.026746127209348245
above_quantile_mean_fg_ratio,0.8518727084820189,0.7360704153809431,0.6804172973693362,0.5115417828433245,0.623310951747513,0.40056779255277336,0.8737251776168286,0.7901090115999129,0.7890758357273264,0.8103273996207385,1.0,0.7042421170029521,0.7197781059178392,0.7086975796888243,0.672443841224686,0.6657380062162459,0.009352444728947014,0.31219312264832233
patch_aggregation_10,0.5828247371593398,0.8611795269513394,0.8868070512575866,0.7171734126563333,0.8322933347756253,0.5388630416016131,0.6525249864900055,0.6637552196277753,0.7063848193737167,0.8541695252074342,0.7042421170029521,1.0,0.9507804143963433,0.8005061212637261,0.6817603677735515,0.659724939895372,0.011619216830092254,-0.02534089297100827
patch_aggregation_20,0.6261595410062055,0.8923506627867251,0.8855346385262894,0.6655396605461033,0.7932952882865791,0.5342199974961979,0.6984802240998138,0.727715402333224,0.7759248693744604,0.9099884138512574,0.7197781059178392,0.9507804143963433,1.0,0.8841571667900825,0.765927455239057,0.7418862992752292,0.00413628483373759,-0.018908390615877197
patch_aggregation_40,0.6877195384185819,0.8679282686227935,0.7777795130299693,0.5228842676704657,0.6727292283568448,0.51871355635374,0.7641558464224956,0.8309148767485734,0.8826747589262969,0.9373440055346868,0.7086975796888243,0.8005061212637261,0.8841571667900825,1.0,0.9306120799240581,0.9055398529191181,0.0032087706238469295,0.0029421932349636064
patch_aggregation_80,0.7343253111674676,0.7569252473319237,0.634476438044506,0.39987728841551057,0.5474547571308223,0.41979313691638986,0.8023471367793045,0.8848492865458787,0.9119353950578336,0.8663321073496572,0.672443841224686,0.6817603677735515,0.765927455239057,0.9306120799240581,1.0,0.991909489152378,0.04870700181978181,0.11340530426028893
patch_aggregation_100,0.7459707068724457,0.7283687011094138,0.6074577496670517,0.38721705831648523,0.52375200807515,0.39528734704383234,0.8115160675568515,0.8950473032411422,0.9135061989295559,0.8502471033672934,0.6657380062162459,0.659724939895372,0.7418862992752292,0.9055398529191181,0.991909489152378,1.0,0.06806644573504997,0.153959253883151
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}",0.10946594191856322,-0.08548787351532863,-0.1281247919827522,-0.0597972157370797,-0.12442953009891262,-0.11501778554556473,0.08823323455417784,0.09848528428399678,0.07614420574332854,-5.8010621941892717e-05,0.009352444728947014,0.011619216830092254,0.00413628483373759,0.0032087706238469295,0.04870700181978181,0.06806644573504997,1.0,0.2559791082240587
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",0.6107470795848834,-0.20522865971805296,-0.16593478797912276,-0.07660816872990607,-0.12628675563492633,-0.05469462792364689,0.4777497937309493,0.3637957408716201,0.25357529002932855,0.026746127209348245,0.31219312264832233,-0.02534089297100827,-0.018908390615877197,0.0029421932349636064,0.11340530426028893,0.153959253883151,0.2559791082240587,1.0
