,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.521063595098349,,,,,0.9999998863702924,0.9999999999999973,0.9999999999967979,0.9999999680148395,0.5883511928200698,0.9755717066453303,0.9993591656045553,0.9999999998738691,0.9999999999999998,0.9999999999999992,0.5336798333911804,0.5336798333911804
above_threshold_mean_0.3,0.521063595098349,1.0,,,,,0.5210904486002836,0.521063603769642,0.5210640434756801,0.5211092950946247,0.48508544967921796,0.5388781551217716,0.5263278737943866,0.5210641518376442,0.5210635950983493,0.5210635950983492,0.3480530959717543,0.3480530959717543
above_threshold_mean_0.5,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9999998863702924,0.5210904486002836,,,,,1.0,0.9999998863660211,0.9999998862064833,0.9999998447563382,0.5883977608409354,0.9755802084901892,0.9993607455716036,0.9999998862430476,0.9999998863702925,0.9999998863702925,0.5336846315502256,0.5336846315502256
above_quantile_mean_0.5,0.9999999999999973,0.521063603769642,,,,,0.9999998863660211,1.0,0.9999999999969458,0.9999999680276521,0.5883511851799141,0.9755717070295057,0.9993591655408933,0.9999999998738331,0.9999999999999983,0.9999999999999977,0.5336798283936147,0.5336798283936147
above_quantile_mean_0.7,0.9999999999967979,0.5210640434756801,,,,,0.9999998862064833,0.9999999999969458,1.0,0.999999968543802,0.5883510330864229,0.9755717118456113,0.9993591707251986,0.9999999998760178,0.9999999999967994,0.9999999999967981,0.5336798443520916,0.5336798443520916
above_quantile_mean_0.9,0.9999999680148395,0.5211092950946247,,,,,0.9999998447563382,0.9999999680276521,0.999999968543802,1.0,0.5883464705098952,0.9755731097286011,0.9993600913382991,0.9999999682149371,0.9999999680148409,0.9999999680148406,0.533681504912782,0.533681504912782
above_quantile_mean_fg_ratio,0.5883511928200698,0.48508544967921796,,,,,0.5883977608409354,0.5883511851799141,0.5883510330864229,0.5883464705098952,1.0,0.6380817412284168,0.5875768857904746,0.5883503071719393,0.5883511928200706,0.5883511928200704,0.7487989754923957,0.7487989754923957
patch_aggregation_10,0.9755717066453303,0.5388781551217716,,,,,0.9755802084901892,0.9755717070295057,0.9755717118456113,0.9755731097286011,0.6380817412284168,1.0,0.978331320698002,0.9755716583436608,0.9755717066453315,0.9755717066453311,0.5752019331737754,0.5752019331737754
patch_aggregation_20,0.9993591656045553,0.5263278737943866,,,,,0.9993607455716036,0.9993591655408933,0.9993591707251986,0.9993600913382991,0.5875768857904746,0.978331320698002,1.0,0.9993593547150906,0.9993591656045557,0.9993591656045564,0.5350184432061507,0.5350184432061507
patch_aggregation_40,0.9999999998738691,0.5210641518376442,,,,,0.9999998862430476,0.9999999998738331,0.9999999998760178,0.9999999682149371,0.5883503071719393,0.9755716583436608,0.9993593547150906,1.0,0.99999999987387,0.9999999998738699,0.5336803215902249,0.5336803215902249
patch_aggregation_80,0.9999999999999998,0.5210635950983493,,,,,0.9999998863702925,0.9999999999999983,0.9999999999967994,0.9999999680148409,0.5883511928200706,0.9755717066453315,0.9993591656045557,0.99999999987387,1.0,1.0000000000000004,0.5336798333911809,0.5336798333911809
patch_aggregation_100,0.9999999999999992,0.5210635950983492,,,,,0.9999998863702925,0.9999999999999977,0.9999999999967981,0.9999999680148406,0.5883511928200704,0.9755717066453311,0.9993591656045564,0.9999999998738699,1.0000000000000004,1.0,0.5336798333911811,0.5336798333911811
class_mean_w_equal_weights,0.5336798333911804,0.3480530959717543,,,,,0.5336846315502256,0.5336798283936147,0.5336798443520916,0.533681504912782,0.7487989754923957,0.5752019331737754,0.5350184432061507,0.5336803215902249,0.5336798333911809,0.5336798333911811,1.0,1.0
class_mean_weighted_by_occurrence,0.5336798333911804,0.3480530959717543,,,,,0.5336846315502256,0.5336798283936147,0.5336798443520916,0.533681504912782,0.7487989754923957,0.5752019331737754,0.5350184432061507,0.5336803215902249,0.5336798333911809,0.5336798333911811,1.0,1.0
