,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence,above_quantile_mean_fg_ratio
mean,1.0,0.5856653262521873,0.47682146216346666,0.6494451805095792,0.0018124212432724881,-0.19271566792758119,0.9975333374954816,0.9917924952380561,0.9796346808295481,0.9436720196889851,0.7389148011349911,0.7816973681338977,0.8131026577587626,0.8676018043410452,0.8876067859768115,0.9383962628775966,0.8184378391269977,0.9053705854889241,0.6581978908306243
above_threshold_mean_0.3,0.5856653262521873,1.0,0.7927196870854041,0.6850663751861633,0.3184843741512299,0.24460537960065704,0.6013203454931425,0.6158484775557924,0.6434421267974756,0.7056723509714518,0.7181376896505776,0.6882505561853121,0.6611844487802376,0.6387569130792041,0.6308330504897386,0.7012009699261671,0.7696892575835921,0.7315249659262868,0.12124011919554388
above_threshold_mean_0.5,0.47682146216346666,0.7927196870854041,1.0,0.8008613481455851,0.3880760164407693,0.250492983010993,0.48453545794914,0.49043515623496026,0.5137258906893566,0.6057539095751429,0.7727409828858994,0.6883273757305742,0.5696045233708308,0.4954668753848287,0.4847426770958052,0.5568290299433725,0.6368481404581398,0.6133878335156356,0.11968698977062064
above_threshold_mean_0.7,0.6494451805095792,0.6850663751861633,0.8008613481455851,1.0,0.43045839498373145,0.2706409502911544,0.6493363677984575,0.6461534424889629,0.6555726939934357,0.7245824211175704,0.9083003103167293,0.78668092716695,0.6397576955725216,0.5849415695470507,0.5861451625738986,0.5937990699644923,0.7392754967589178,0.7372894756838302,0.32353774228164
above_threshold_mean_0.9,0.0018124212432724881,0.3184843741512299,0.3880760164407693,0.43045839498373145,1.0,0.5931015449935202,0.0058110901950058835,0.008330899116483598,0.025005542035786178,0.10561226681281254,0.3801631882145007,0.2181208460470645,0.07635181804469875,0.003006377134056172,-0.009520598926139125,-0.02381169804334971,0.2301417609421996,0.21077683148170093,0.2462666464379373
above_threshold_mean_0.95,-0.19271566792758119,0.24460537960065704,0.250492983010993,0.2706409502911544,0.5931015449935202,1.0,-0.1887923822244038,-0.1827546791601823,-0.16682335945494944,-0.09875189317236746,0.1864001101792238,-0.00045339261591277185,-0.11609674749323255,-0.1679868736324065,-0.1767126562849471,-0.20008360914499848,0.15095801531581976,0.16363961068325308,0.09590093336824959
above_quantile_mean_0.3,0.9975333374954816,0.6013203454931425,0.48453545794914,0.6493363677984575,0.0058110901950058835,-0.1887923822244038,1.0,0.9976120257877573,0.9882293394179176,0.9535501541945073,0.7446634657092893,0.7918005279443084,0.8269963508420456,0.8808848972294077,0.8998989614826186,0.9460255730860323,0.8244590915015754,0.9028514976900573,0.6610440393828666
above_quantile_mean_0.5,0.9917924952380561,0.6158484775557924,0.49043515623496026,0.6461534424889629,0.008330899116483598,-0.1827546791601823,0.9976120257877573,1.0,0.9953602163812908,0.9635208115955058,0.7491340266563082,0.8024745669631129,0.8434604998785188,0.8967880492394708,0.914305379331934,0.9529440179296396,0.8306019722163263,0.8977891698747307,0.6452057066031709
above_quantile_mean_0.7,0.9796346808295481,0.6434421267974756,0.5137258906893566,0.6555726939934357,0.025005542035786178,-0.16682335945494944,0.9882293394179176,0.9953602163812908,1.0,0.9796041612737925,0.7664651688085627,0.8243894175746053,0.8676579499464131,0.9157390696083635,0.9300896172009356,0.956251423956395,0.8408817909175977,0.8880325615402528,0.6512189147873246
above_quantile_mean_0.9,0.9436720196889851,0.7056723509714518,0.6057539095751429,0.7245824211175704,0.10561226681281254,-0.09875189317236746,0.9535501541945073,0.9635208115955058,0.9796041612737925,1.0,0.8325644211512699,0.8775397661531845,0.8967283683564561,0.9184106468077059,0.9253845142051332,0.9320361200640922,0.8572886345879728,0.8691839870035775,0.647133232287708
patch_aggregation_10,0.7389148011349911,0.7181376896505776,0.7727409828858994,0.9083003103167293,0.3801631882145007,0.1864001101792238,0.7446634657092893,0.7491340266563082,0.7664651688085627,0.8325644211512699,1.0,0.939890868138706,0.8263084009397786,0.7645875848259813,0.7586852844119769,0.7433649050808873,0.7978633904746975,0.776812354333691,0.4516406186073153
patch_aggregation_20,0.7816973681338977,0.6882505561853121,0.6883273757305742,0.78668092716695,0.2181208460470645,-0.00045339261591277185,0.7918005279443084,0.8024745669631129,0.8243894175746053,0.8775397661531845,0.939890868138706,1.0,0.938243708845462,0.8746735261690647,0.863128906599774,0.829942882933186,0.7812087054959945,0.7401272678141723,0.49091158363277626
patch_aggregation_40,0.8131026577587626,0.6611844487802376,0.5696045233708308,0.6397576955725216,0.07635181804469875,-0.11609674749323255,0.8269963508420456,0.8434604998785188,0.8676579499464131,0.8967283683564561,0.8263084009397786,0.938243708845462,1.0,0.9603928500906552,0.9448722529414901,0.8923150280303338,0.7753517081155631,0.7308404347147277,0.5267346240945587
patch_aggregation_80,0.8676018043410452,0.6387569130792041,0.4954668753848287,0.5849415695470507,0.003006377134056172,-0.1679868736324065,0.8808848972294077,0.8967880492394708,0.9157390696083635,0.9184106468077059,0.7645875848259813,0.8746735261690647,0.9603928500906552,1.0,0.9944567005678452,0.9493224136474274,0.7894409822639487,0.7723371745517891,0.5474816175175615
patch_aggregation_100,0.8876067859768115,0.6308330504897386,0.4847426770958052,0.5861451625738986,-0.009520598926139125,-0.1767126562849471,0.8998989614826186,0.914305379331934,0.9300896172009356,0.9253845142051332,0.7586852844119769,0.863128906599774,0.9448722529414901,0.9944567005678452,1.0,0.9660689049379578,0.7953287304071808,0.7912132171176419,0.5560832483007482
patch_aggregation_200,0.9383962628775966,0.7012009699261671,0.5568290299433725,0.5937990699644923,-0.02381169804334971,-0.20008360914499848,0.9460255730860323,0.9529440179296396,0.956251423956395,0.9320361200640922,0.7433649050808873,0.829942882933186,0.8923150280303338,0.9493224136474274,0.9660689049379578,1.0,0.7932477314365537,0.8535902853043901,0.7396753747014988
class_mean_w_equal_weights,0.8184378391269977,0.7696892575835921,0.6368481404581398,0.7392754967589178,0.2301417609421996,0.15095801531581976,0.8244590915015754,0.8306019722163263,0.8408817909175977,0.8572886345879728,0.7978633904746975,0.7812087054959945,0.7753517081155631,0.7894409822639487,0.7953287304071808,0.7932477314365537,1.0,0.8800634638683033,0.41623738532793675
class_mean_weighted_by_occurrence,0.9053705854889241,0.7315249659262868,0.6133878335156356,0.7372894756838302,0.21077683148170093,0.16363961068325308,0.9028514976900573,0.8977891698747307,0.8880325615402528,0.8691839870035775,0.776812354333691,0.7401272678141723,0.7308404347147277,0.7723371745517891,0.7912132171176419,0.8535902853043901,0.8800634638683033,1.0,0.6881646021314956
above_quantile_mean_fg_ratio,0.6581978908306243,0.12124011919554388,0.11968698977062064,0.32353774228164,0.2462666464379373,0.09590093336824959,0.6610440393828666,0.6452057066031709,0.6512189147873246,0.647133232287708,0.4516406186073153,0.49091158363277626,0.5267346240945587,0.5474816175175615,0.5560832483007482,0.7396753747014988,0.41623738532793675,0.6881646021314956,1.0
