,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,-0.4301080432172869,-0.26588235294117646,0.0728451380552221,,,0.995390156062425,0.9751260504201681,0.9705162064825931,0.9393037214885954,0.4509483793517407,0.20979591836734693,0.7156302521008403,0.8004321728691477,0.7939015606242497,0.3165906362545018,0.745594237695078
above_threshold_mean_0.3,-0.4301080432172869,1.0,0.49570228091236496,-0.05786314525810324,,,-0.4147418967587035,-0.4057142857142857,-0.3992797118847539,-0.22967587034813924,0.09301320528211285,0.18857142857142858,-0.3645138055222089,-0.3897719087635054,-0.3556782713085234,-0.1919327731092437,-0.10607442977190876
above_threshold_mean_0.5,-0.26588235294117646,0.49570228091236496,1.0,0.11683073229291717,,,-0.2678031212484994,-0.26607442977190876,-0.26396158463385355,-0.15668667466986794,0.2779831932773109,0.011860744297719088,-0.10559423769507803,-0.06660264105642257,-0.0792797118847539,0.12230492196878752,-0.08062424969987995
above_threshold_mean_0.7,0.0728451380552221,-0.05786314525810324,0.11683073229291717,1.0,,,0.08763505402160865,0.11145258103241297,0.10271308523409364,0.1474669867947179,0.053733493397358945,0.06775510204081632,0.1657142857142857,0.18213685474189675,0.12499399759903962,-0.1289315726290516,0.09090036014405763
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.995390156062425,-0.4147418967587035,-0.2678031212484994,0.08763505402160865,,,1.0,0.9848259303721488,0.9781032412965186,0.946218487394958,0.4558463385354142,0.21738295318127251,0.7093877551020408,0.7951500600240096,0.7883313325330132,0.3333973589435774,0.7577911164465786
above_quantile_mean_0.5,0.9751260504201681,-0.4057142857142857,-0.26607442977190876,0.11145258103241297,,,0.9848259303721488,1.0,0.9944297719087635,0.9623529411764706,0.4705402160864346,0.21085234093637456,0.7191836734693877,0.8000480192076831,0.7932292917166867,0.3895798319327731,0.7369507803121248
above_quantile_mean_0.7,0.9705162064825931,-0.3992797118847539,-0.26396158463385355,0.10271308523409364,,,0.9781032412965186,0.9944297719087635,1.0,0.9715726290516207,0.46055222088835535,0.21575030012004803,0.7075630252100841,0.7956302521008404,0.7911164465786314,0.39899159663865547,0.7161104441776711
above_quantile_mean_0.9,0.9393037214885954,-0.22967587034813924,-0.15668667466986794,0.1474669867947179,,,0.946218487394958,0.9623529411764706,0.9715726290516207,1.0,0.5288355342136855,0.3056422569027611,0.7136134453781513,0.7888115246098439,0.7857382953181272,0.39274909963985594,0.7541416566626651
patch_aggregation_10,0.4509483793517407,0.09301320528211285,0.2779831932773109,0.053733493397358945,,,0.4558463385354142,0.4705402160864346,0.46055222088835535,0.5288355342136855,1.0,0.2070108043217287,0.41272509003601443,0.462280912364946,0.44172869147659066,0.3116926770708283,0.44384153661464587
patch_aggregation_20,0.20979591836734693,0.18857142857142858,0.011860744297719088,0.06775510204081632,,,0.21738295318127251,0.21085234093637456,0.21575030012004803,0.3056422569027611,0.2070108043217287,1.0,0.3784393757503001,0.3190876350540216,0.2723169267707083,0.18703481392557023,0.41656662665066024
patch_aggregation_40,0.7156302521008403,-0.3645138055222089,-0.10559423769507803,0.1657142857142857,,,0.7093877551020408,0.7191836734693877,0.7075630252100841,0.7136134453781513,0.41272509003601443,0.3784393757503001,1.0,0.8532533013205282,0.8293397358943577,0.38036014405762303,0.6801920768307322
patch_aggregation_80,0.8004321728691477,-0.3897719087635054,-0.06660264105642257,0.18213685474189675,,,0.7951500600240096,0.8000480192076831,0.7956302521008404,0.7888115246098439,0.462280912364946,0.3190876350540216,0.8532533013205282,1.0,0.9598559423769508,0.40456182472989194,0.6342857142857142
patch_aggregation_100,0.7939015606242497,-0.3556782713085234,-0.0792797118847539,0.12499399759903962,,,0.7883313325330132,0.7932292917166867,0.7911164465786314,0.7857382953181272,0.44172869147659066,0.2723169267707083,0.8293397358943577,0.9598559423769508,1.0,0.40225690276110443,0.6680912364945978
class_mean_w_equal_weights,0.3165906362545018,-0.1919327731092437,0.12230492196878752,-0.1289315726290516,,,0.3333973589435774,0.3895798319327731,0.39899159663865547,0.39274909963985594,0.3116926770708283,0.18703481392557023,0.38036014405762303,0.40456182472989194,0.40225690276110443,1.0,0.34953181272509004
class_mean_weighted_by_occurrence,0.745594237695078,-0.10607442977190876,-0.08062424969987995,0.09090036014405763,,,0.7577911164465786,0.7369507803121248,0.7161104441776711,0.7541416566626651,0.44384153661464587,0.41656662665066024,0.6801920768307322,0.6342857142857142,0.6680912364945978,0.34953181272509004,1.0
