,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.2555686702746811,0.11299101196404786,0.1469687158748635,0.18060781408630727,0.06843388130478881,0.915564974259897,0.8658930315721263,0.8497847431389726,0.74600132000528,0.7858970635882544,0.34937918951675806,0.4576312385249541,0.5698969675878703,0.6522370729482918,0.6877448309793239,0.8613757335029341,0.37345858183432734,0.9622661850647403
above_threshold_mean_0.3,0.2555686702746811,1.0,0.6909594038376153,0.45719741278965115,0.4230031841995855,0.15933847731297202,0.3352247968991876,0.35626788907155627,0.4397359989439958,0.7271101724406898,0.4113003012012048,0.6462576890307561,0.6225690182760731,0.5636490705962823,0.42659181836727345,0.3711022524090096,0.3352084768339073,0.36906656426625706,0.26544115776463106
above_threshold_mean_0.5,0.11299101196404786,0.6909594038376153,1.0,0.6818504074016296,0.4635784295542507,0.1482669480793817,0.16605397621590487,0.17390978363913456,0.22925381301525205,0.5018337513350053,0.26102686810747244,0.7482834411337645,0.6792550370201481,0.44759142236568944,0.2322999051996208,0.1798193752775011,0.17325515702062808,0.3731063564254257,0.12376273505094021
above_threshold_mean_0.7,0.1469687158748635,0.45719741278965115,0.6818504074016296,1.0,0.5936620972737005,0.20278335978845358,0.2088431713726855,0.2242201288805155,0.25575193500774,0.40526552506210023,0.2594567818271273,0.8657996231984928,0.6368493633974536,0.3389687158748635,0.2146173064692259,0.19652881811527245,0.18962869451477807,0.26221468085872346,0.12675564302257208
above_threshold_mean_0.9,0.18060781408630727,0.4230031841995855,0.4635784295542507,0.5936620972737005,1.0,0.28995659296255705,0.24727439193401193,0.25733014359776846,0.28910543948665834,0.4026157114306188,0.23079003836815948,0.6331840654009928,0.47068080464540535,0.33491747211953593,0.2605571560918473,0.243488071546573,0.23639110039641703,0.2198469350290568,0.16480202356630774
above_threshold_mean_0.95,0.06843388130478881,0.15933847731297202,0.1482669480793817,0.20278335978845358,0.28995659296255705,1.0,0.1099628502158447,0.12207237439621915,0.13952569665804976,0.16887594172561227,0.09924107108681339,0.21954135049557094,0.17520145791938838,0.1274828709481514,0.11637173949771591,0.1141819453388978,0.12749746123856803,0.09351709172364352,0.056413566328676126
above_quantile_mean_0.3,0.915564974259897,0.3352247968991876,0.16605397621590487,0.2088431713726855,0.24727439193401193,0.1099628502158447,1.0,0.9805784503138013,0.9696770307081228,0.8527306109224437,0.7917378229512918,0.43364007056028225,0.5444109776439106,0.6803485773943095,0.7747476749907,0.8113972615890463,0.9345388741554966,0.3372283249132996,0.80675055500222
above_quantile_mean_0.5,0.8658930315721263,0.35626788907155627,0.17390978363913456,0.2242201288805155,0.25733014359776846,0.12207237439621915,0.9805784503138013,1.0,0.9930940203760815,0.8709157716630866,0.7687785631142524,0.4514452617810471,0.5656409825639303,0.7021259765039061,0.8078569594278378,0.8475998703994816,0.931317197268789,0.31935238140952565,0.7510043800175201
above_quantile_mean_0.7,0.8497847431389726,0.4397359989439958,0.22925381301525205,0.25575193500774,0.28910543948665834,0.13952569665804976,0.9696770307081228,0.9930940203760815,1.0,0.9130252841011364,0.7785057060228241,0.4934018456073824,0.6015699902799612,0.7273895335581342,0.8196421585686343,0.8518997275989104,0.9226321385285541,0.3367961311845247,0.743626558506234
above_quantile_mean_0.9,0.74600132000528,0.7271101724406898,0.5018337513350053,0.40526552506210023,0.4026157114306188,0.16887594172561227,0.8527306109224437,0.8709157716630866,0.9130252841011364,1.0,0.7701034644138577,0.6590835323341293,0.7284644498577995,0.778811755247021,0.7672406369625479,0.7633357253429014,0.8115855183420734,0.40604581618326474,0.6826762027048108
above_quantile_mean_fg_ratio,0.7858970635882544,0.4113003012012048,0.26102686810747244,0.2594567818271273,0.23079003836815948,0.09924107108681339,0.7917378229512918,0.7687785631142524,0.7785057060228241,0.7701034644138577,1.0,0.4478718394873579,0.5164876339505358,0.5752626210504842,0.6105895143580574,0.6254118776475106,0.7396753747014988,0.3714330697322789,0.7236998547994192
