0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,-0.1356133664902298,0.18132989058206753,0.7202725882455474,0.5341872943000573,0.43017327197360294,0.979938168492982,0.9607932707960641,0.9487182080442448,0.8748549257526124,0.6842239879467844,0.8075842717936219,0.797851456268379,0.8163083494630766,0.8837925349492428,0.898623470651709,0.8071016236221527,0.8891999307393014
above_threshold_mean_0.3,-0.1356133664902298,1.0,0.7503801265278185,0.11397220899730157,0.4152060143633097,0.3451484495049933,-0.05554266055548465,-0.030464168334606894,0.018987786833592975,0.17563041398080378,0.25563855406411085,0.15377900271117467,0.17898386153547535,0.13686601369376453,0.04904395795225933,0.021077319175290175,-0.22854483816284651,0.016281489609241643
above_threshold_mean_0.5,0.18132989058206753,0.7503801265278185,1.0,0.5283599808886594,0.6469747506662262,0.47979812425391405,0.2535060477820637,0.272370020279458,0.3190344238595633,0.4830120379378781,0.3705048863132096,0.5431421305515074,0.5368259971783677,0.44171490789319745,0.33817043175583256,0.31117399238544013,0.10144386542988493,0.23302146832756407
above_threshold_mean_0.7,0.7202725882455474,0.11397220899730157,0.5283599808886594,1.0,0.7835224262859709,0.5629114798079389,0.7616940730341922,0.7710044873843641,0.7936959026410773,0.8723603313867285,0.5108472778195644,0.9538962022594014,0.9121825933978195,0.8244492716748857,0.7863207185422779,0.778798016712899,0.6268474768667777,0.5996677358831165
above_threshold_mean_0.9,0.5341872943000573,0.4152060143633097,0.6469747506662262,0.7835224262859709,1.0,0.7127072710565766,0.5924317972165759,0.6045508108890375,0.6344604602037338,0.7218000259923256,0.5312947971852566,0.7935589018478183,0.7337399632291302,0.6431043327707583,0.6221885264288864,0.6146524045768026,0.4184234027490566,0.5087386622868508
above_threshold_mean_0.95,0.43017327197360294,0.3451484495049933,0.47979812425391405,0.5629114798079389,0.7127072710565766,1.0,0.46752325286334306,0.47850761409281545,0.4990075817682017,0.5464691048556816,0.46309455624783363,0.588140532059562,0.5254445149259319,0.44009184532453155,0.47768679248776375,0.4826692835138777,0.34454870444574626,0.43947974466736683
above_quantile_mean_0.3,0.979938168492982,-0.05554266055548465,0.2535060477820637,0.7616940730341922,0.5924317972165759,0.46752325286334306,1.0,0.990488275645339,0.9844174679137476,0.9236794744908207,0.6936470449764337,0.8482538084864197,0.8458358145856558,0.8674056978457801,0.9262303466219259,0.9385128286928739,0.78467088805391,0.8627238001899017
above_quantile_mean_0.5,0.9607932707960641,-0.030464168334606894,0.272370020279458,0.7710044873843641,0.6045508108890375,0.47850761409281545,0.990488275645339,1.0,0.9965277857936381,0.9394132397535226,0.6792546308862112,0.859528142668903,0.8625430222677486,0.8879602766572979,0.9464486403946523,0.9588676834112219,0.7747315197475028,0.8451088799821126
above_quantile_mean_0.7,0.9487182080442448,0.018987786833592975,0.3190344238595633,0.7936959026410773,0.6344604602037338,0.4990075817682017,0.9844174679137476,0.9965277857936381,1.0,0.9599719006991919,0.6838299777201222,0.8808610715997902,0.8863811759822324,0.908495947199317,0.955790553098763,0.9643227484767392,0.7636396502640694,0.8370726088640191
above_quantile_mean_0.9,0.8748549257526124,0.17563041398080378,0.4830120379378781,0.8723603313867285,0.7218000259923256,0.5464691048556816,0.9236794744908207,0.9394132397535226,0.9599719006991919,1.0,0.6689038923808724,0.9422925624505146,0.9552849840820586,0.9474549854016067,0.9410403659673575,0.9359430995937763,0.707141242126925,0.7775590426065152
