0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}"
mean,1.0,0.5802403369613478,0.5269166356665427,0.48332938931755726,0.5141075841324139,0.3526213443201295,0.9664861699446797,0.9000741602966412,0.8775667742670971,0.7902107448429794,0.8488037152148609,0.6110394681578726,0.6568497953991816,0.7223819615278461,0.7587036108144433,0.7673929895719583,0.09342075768303074,0.5250881163524654
above_threshold_mean_0.3,0.5802403369613478,1.0,0.9129632678530714,0.796371185484742,0.786165961311638,0.5296620872359373,0.6819713678854715,0.7067536750147001,0.7585563462253849,0.9118898875595502,0.7752905571622286,0.8871412765651062,0.9093953175812703,0.8605379381517526,0.7692692210768843,0.7402013608054432,-0.02965509462037848,-0.19714763659054635
above_threshold_mean_0.5,0.5269166356665427,0.9129632678530714,1.0,0.9019528878115513,0.8403831145898504,0.5839570641498464,0.6133947415789663,0.615999423997696,0.6629536918147673,0.8309498517994072,0.7184811779247117,0.9272013728054912,0.9090753483013932,0.7682157128628514,0.6529812679250717,0.6252345649382598,-0.06744574178296713,-0.17391429565718264
above_threshold_mean_0.7,0.48332938931755726,0.796371185484742,0.9019528878115513,1.0,0.8623162560561587,0.601902651222181,0.5468442033768135,0.5437409909639639,0.5805585782343129,0.7360465601862407,0.6371672206688827,0.9101326965307861,0.8439147996591987,0.6541357685430742,0.5597247668990676,0.5387986991947967,-0.07502535610142441,-0.10934654938619755
above_threshold_mean_0.9,0.5141075841324139,0.786165961311638,0.8403831145898504,0.8623162560561587,1.0,0.7090300805684716,0.5789100238824614,0.5760667192843942,0.6125726691708546,0.749190033392922,0.6649140247110631,0.8924015685564791,0.830711899975741,0.6848116363222433,0.6016856780513182,0.5789271584982207,-0.10576088985077987,-0.10298565498765924
above_threshold_mean_0.95,0.3526213443201295,0.5296620872359373,0.5839570641498464,0.601902651222181,0.7090300805684716,1.0,0.3834530833378821,0.3854644596226862,0.4096905542741688,0.5152903532766243,0.43220160074636854,0.6555070797383143,0.6050704595840821,0.4875255922351699,0.4317480431696227,0.41459182830582897,-0.11115528809464864,-0.04374849122944818
above_quantile_mean_0.3,0.9664861699446797,0.6819713678854715,0.6133947415789663,0.5468442033768135,0.5789100238824614,0.3834530833378821,1.0,0.9596743666974668,0.9454104376417506,0.8749452917811671,0.8751404605618422,0.6845824823299294,0.7360910083640334,0.8073230052920212,0.8361205284821139,0.8419942159768639,0.09021972087888351,0.3753412453649815
above_quantile_mean_0.5,0.9000741602966412,0.7067536750147001,0.615999423997696,0.5437409909639639,0.5760667192843942,0.3854644596226862,0.9596743666974668,1.0,0.9911799647198589,0.9119177276709107,0.8044837939351758,0.6981358165432662,0.7665903303613214,0.8654644858579434,0.9041559046236185,0.9132278449113796,0.10502403609614439,0.27041119364477456
above_quantile_mean_0.7,0.8775667742670971,0.7585563462253849,0.6629536918147673,0.5805585782343129,0.6125726691708546,0.4096905542741688,0.9454104376417506,0.9911799647198589,1.0,0.9436302065208261,0.8183071772287089,0.738126984507938,0.8051382285529142,0.8986813867255469,0.9197316789267157,0.9226459625838503,0.09374667898671595,0.20302295609182436
above_quantile_mean_0.9,0.7902107448429794,0.9118898875595502,0.8309498517994072,0.7360465601862407,0.749190033392922,0.5152903532766243,0.8749452917811671,0.9119177276709107,0.9436302065208261,1.0,0.8493842295369182,0.8657674630698523,0.9149899319597279,0.9331707726830908,0.8963880335521343,0.8843961455845823,0.02651319405277621,0.03946354985419942
above_quantile_mean_fg_ratio,0.8488037152148609,0.7752905571622286,0.7184811779247117,0.6371672206688827,0.6649140247110631,0.43220160074636854,0.8751404605618422,0.8044837939351758,0.8183071772287089,0.8493842295369182,1.0,0.7364440017760071,0.7523554894219577,0.7498251113004452,0.7233702854811419,0.7143477853911415,0.009838503354013416,0.21944516578066312
patch_aggregation_10,0.6110394681578726,0.8871412765651062,0.9272013728054912,0.9101326965307861,0.8924015685564791,0.6555070797383143,0.6845824823299294,0.6981358165432662,0.738126984507938,0.8657674630698523,0.7364440017760071,1.0,0.9520058560234241,0.8135415261661046,0.723061356245425,0.7001090084360337,-0.011611150444601778,-0.06234168936675747
patch_aggregation_20,0.6568497953991816,0.9093953175812703,0.9090753483013932,0.8439147996591987,0.830711899975741,0.6050704595840821,0.7360910083640334,0.7665903303613214,0.8051382285529142,0.9149899319597279,0.7523554894219577,0.9520058560234241,1.0,0.8946612746450986,0.8082605450421801,0.7836194544778179,-0.013376597506390026,-0.06061349045396182
patch_aggregation_40,0.7223819615278461,0.8605379381517526,0.7682157128628514,0.6541357685430742,0.6848116363222433,0.4875255922351699,0.8073230052920212,0.8654644858579434,0.8986813867255469,0.9331707726830908,0.7498251113004452,0.8135415261661046,0.8946612746450986,1.0,0.9507730190920763,0.9297664070656283,0.028159216636866546,-0.012407761631046524
patch_aggregation_80,0.7587036108144433,0.7692692210768843,0.6529812679250717,0.5597247668990676,0.6016856780513182,0.4317480431696227,0.8361205284821139,0.9041559046236185,0.9197316789267157,0.8963880335521343,0.7233702854811419,0.723061356245425,0.8082605450421801,0.9507730190920763,1.0,0.9905665222660891,0.06697082788331153,0.07560999843999376
patch_aggregation_100,0.7673929895719583,0.7402013608054432,0.6252345649382598,0.5387986991947967,0.5789271584982207,0.41459182830582897,0.8419942159768639,0.9132278449113796,0.9226459625838503,0.8843961455845823,0.7143477853911415,0.7001090084360337,0.7836194544778179,0.9297664070656283,0.9905665222660891,1.0,0.08341924567698271,0.10326636506546026
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}",0.09342075768303074,-0.02965509462037848,-0.06744574178296713,-0.07502535610142441,-0.10576088985077987,-0.11115528809464864,0.09021972087888351,0.10502403609614439,0.09374667898671595,0.02651319405277621,0.009838503354013416,-0.011611150444601778,-0.013376597506390026,0.028159216636866546,0.06697082788331153,0.08341924567698271,1.0,0.20430369721478886
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",0.5250881163524654,-0.19714763659054635,-0.17391429565718264,-0.10934654938619755,-0.10298565498765924,-0.04374849122944818,0.3753412453649815,0.27041119364477456,0.20302295609182436,0.03946354985419942,0.21944516578066312,-0.06234168936675747,-0.06061349045396182,-0.012407761631046524,0.07560999843999376,0.10326636506546026,0.20430369721478886,1.0
