0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
above_threshold_mean_0.3,0.04225789770263407,1.0,0.376780843148213,,,,0.04225789770263407,0.04225789770263407,0.04225789770263407,0.04225789770263407,0.019261822108543023,0.050439089772814236,0.03870683984450788,0.041474098689107744,0.04225789770263407,0.04225789770263407,0.1094019697040104,0.1094019697040104
above_threshold_mean_0.5,0.04956717134356601,0.376780843148213,1.0,,,,0.04956717134356601,0.04956717134356601,0.04956717134356601,0.04956717134356601,-0.14453825812650392,0.032805930900464485,0.04515656269348589,0.04916522313150122,0.04956717134356601,0.04956717134356601,-0.038481189954107875,-0.038481189954107875
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
above_quantile_mean_0.5,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
above_quantile_mean_0.7,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
above_quantile_mean_0.9,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
above_quantile_mean_fg_ratio,0.2845600097085953,0.019261822108543023,-0.14453825812650392,,,,0.2845600097085953,0.2845600097085953,0.2845600097085953,0.2845600097085953,1.0,0.43839177428443554,0.2931493338094874,0.28507481261097056,0.2845600097085953,0.2845600097085953,0.7369337642439762,0.7369337642439762
patch_aggregation_10,0.9544128889332063,0.050439089772814236,0.032805930900464485,,,,0.9544128889332063,0.9544128889332063,0.9544128889332063,0.9544128889332063,0.43839177428443554,1.0,0.9571322231832907,0.9544917326209574,0.9544128889332063,0.9544128889332063,0.4530326653000667,0.4530326653000667
patch_aggregation_20,0.999301228492872,0.03870683984450788,0.04515656269348589,,,,0.999301228492872,0.999301228492872,0.999301228492872,0.999301228492872,0.2931493338094874,0.9571322231832907,1.0,0.9993553369060345,0.999301228492872,0.999301228492872,0.344449279854968,0.344449279854968
patch_aggregation_40,0.999970626861426,0.041474098689107744,0.04916522313150122,,,,0.999970626861426,0.999970626861426,0.999970626861426,0.999970626861426,0.28507481261097056,0.9544917326209574,0.9993553369060345,1.0,0.999970626861426,0.999970626861426,0.33661746143070626,0.33661746143070626
patch_aggregation_80,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
patch_aggregation_100,1.0,0.04225789770263407,0.04956717134356601,,,,1.0,1.0,1.0,1.0,0.2845600097085953,0.9544128889332063,0.999301228492872,0.999970626861426,1.0,1.0,0.33672413246727834,0.33672413246727834
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.33672413246727834,0.1094019697040104,-0.038481189954107875,,,,0.33672413246727834,0.33672413246727834,0.33672413246727834,0.33672413246727834,0.7369337642439762,0.4530326653000667,0.344449279854968,0.33661746143070626,0.33672413246727834,0.33672413246727834,1.0,1.0
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.33672413246727834,0.1094019697040104,-0.038481189954107875,,,,0.33672413246727834,0.33672413246727834,0.33672413246727834,0.33672413246727834,0.7369337642439762,0.4530326653000667,0.344449279854968,0.33661746143070626,0.33672413246727834,0.33672413246727834,1.0,1.0
