0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
above_threshold_mean_0.3,0.09575942778814145,1.0,0.3035366444391767,,,,0.09575942778814145,0.09575942778814145,0.09575942778814145,0.09575942778814145,0.06699681531944716,0.07940057922021705,0.09633401012089418,0.09558937203046575,0.09575942778814145,0.09575942778814145,0.01587702392117658,0.01587702392117658
above_threshold_mean_0.5,0.13779927236748535,0.3035366444391767,1.0,,,,0.13779927236748535,0.13779927236748535,0.13779927236748535,0.13779927236748535,0.1008611005184124,0.13981932864048152,0.14219495604316323,0.13880157069681634,0.13779927236748535,0.13779927236748535,0.02495697074010327,0.02495697074010327
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
above_quantile_mean_0.5,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
above_quantile_mean_0.7,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
above_quantile_mean_0.9,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
above_quantile_mean_fg_ratio,0.06706380698156184,0.06699681531944716,0.1008611005184124,,,,0.06706380698156184,0.06706380698156184,0.06706380698156184,0.06706380698156184,1.0,0.310475434672823,0.07372174755480433,0.06678553392354705,0.06706380698156184,0.06706380698156184,0.8170509239696166,0.8170509239696166
patch_aggregation_10,0.9118621620785967,0.07940057922021705,0.13981932864048152,,,,0.9118621620785967,0.9118621620785967,0.9118621620785967,0.9118621620785967,0.310475434672823,1.0,0.9152735836416668,0.9120116050171602,0.9118621620785967,0.9118621620785967,0.24634637781236152,0.24634637781236152
patch_aggregation_20,0.9987297350222103,0.09633401012089418,0.14219495604316323,,,,0.9987297350222103,0.9987297350222103,0.9987297350222103,0.9987297350222103,0.07372174755480433,0.9152735836416668,1.0,0.9988894843703299,0.9987297350222103,0.9987297350222103,0.023653209931256247,0.023653209931256247
patch_aggregation_40,0.9999175487235512,0.09558937203046575,0.13880157069681634,,,,0.9999175487235512,0.9999175487235512,0.9999175487235512,0.9999175487235512,0.06678553392354705,0.9120116050171602,0.9988894843703299,1.0,0.9999175487235512,0.9999175487235512,0.016304739917754853,0.016304739917754853
patch_aggregation_80,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
patch_aggregation_100,1.0,0.09575942778814145,0.13779927236748535,,,,1.0,1.0,1.0,1.0,0.06706380698156184,0.9118621620785967,0.9987297350222103,0.9999175487235512,1.0,1.0,0.016655157842662353,0.016655157842662353
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.016655157842662353,0.01587702392117658,0.02495697074010327,,,,0.016655157842662353,0.016655157842662353,0.016655157842662353,0.016655157842662353,0.8170509239696166,0.24634637781236152,0.023653209931256247,0.016304739917754853,0.016655157842662353,0.016655157842662353,1.0,1.0
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.016655157842662353,0.01587702392117658,0.02495697074010327,,,,0.016655157842662353,0.016655157842662353,0.016655157842662353,0.016655157842662353,0.8170509239696166,0.24634637781236152,0.023653209931256247,0.016304739917754853,0.016655157842662353,0.016655157842662353,1.0,1.0
