,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
above_threshold_mean_0.3,0.06473149492017416,1.0,0.39791623470868753,,,,0.06473149492017416,0.06473149492017416,0.06473149492017416,0.06473149492017416,0.0055152394775036286,0.09582210242587601,0.060906075057018456,0.0614244246319718,0.06473149492017416,0.06473149492017416,0.10393945676964544,0.10393945676964544
above_threshold_mean_0.5,0.19280530789964753,0.39791623470868753,1.0,,,,0.19280530789964753,0.19280530789964753,0.19280530789964753,0.19280530789964753,-0.1313497822931785,0.15370101596516692,0.18274932614555256,0.19192411362222683,0.19280530789964753,0.19280530789964753,-0.07641509433962264,-0.07641509433962264
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
above_quantile_mean_0.5,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
above_quantile_mean_0.7,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
above_quantile_mean_0.9,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
above_quantile_mean_fg_ratio,0.224922247563757,0.0055152394775036286,-0.1313497822931785,,,,0.224922247563757,0.224922247563757,0.224922247563757,0.224922247563757,1.0,0.2923076923076923,0.22672610408459465,0.22536802819821689,0.224922247563757,0.224922247563757,0.6813186813186813,0.6813186813186813
patch_aggregation_10,0.9680904001658719,0.09582210242587601,0.15370101596516692,,,,0.9680904001658719,0.9680904001658719,0.9680904001658719,0.9680904001658719,0.2923076923076923,1.0,0.9686398507153224,0.9680800331743727,0.9680904001658719,0.9680904001658719,0.19334439145759902,0.19334439145759902
patch_aggregation_20,0.9987455940286128,0.060906075057018456,0.18274932614555256,,,,0.9987455940286128,0.9987455940286128,0.9987455940286128,0.9987455940286128,0.22672610408459465,0.9686398507153224,1.0,0.9990047688160896,0.9987455940286128,0.9987455940286128,0.11084387310802406,0.11084387310802406
patch_aggregation_40,0.9998755961020112,0.0614244246319718,0.19192411362222683,,,,0.9998755961020112,0.9998755961020112,0.9998755961020112,0.9998755961020112,0.22536802819821689,0.9680800331743727,0.9990047688160896,1.0,0.9998755961020112,0.9998755961020112,0.1081277213352685,0.1081277213352685
patch_aggregation_80,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
patch_aggregation_100,1.0,0.06473149492017416,0.19280530789964753,,,,1.0,1.0,1.0,1.0,0.224922247563757,0.9680904001658719,0.9987455940286128,0.9998755961020112,1.0,1.0,0.10871863985071532,0.10871863985071532
class_mean_w_equal_weights,0.10871863985071532,0.10393945676964544,-0.07641509433962264,,,,0.10871863985071532,0.10871863985071532,0.10871863985071532,0.10871863985071532,0.6813186813186813,0.19334439145759902,0.11084387310802406,0.1081277213352685,0.10871863985071532,0.10871863985071532,1.0,1.0
class_mean_weighted_by_occurrence,0.10871863985071532,0.10393945676964544,-0.07641509433962264,,,,0.10871863985071532,0.10871863985071532,0.10871863985071532,0.10871863985071532,0.6813186813186813,0.19334439145759902,0.11084387310802406,0.1081277213352685,0.10871863985071532,0.10871863985071532,1.0,1.0
