,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
above_threshold_mean_0.3,0.6103399691388495,1.0,,,,,0.6103399691388495,0.6103399691388495,0.6103399691388495,0.6103399691388495,0.4899483148018479,0.6011962991892038,0.6103399691388495,0.6103399691388495,0.6103399691388495,0.6103399691388495,0.4640412499445185,0.4640412499445185
above_threshold_mean_0.5,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
above_quantile_mean_0.5,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
above_quantile_mean_0.7,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
above_quantile_mean_0.9,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
above_quantile_mean_fg_ratio,0.8,0.4899483148018479,,,,,0.8,0.8,0.8,0.8,1.0,0.8721804511278195,0.8030075187969925,0.8,0.8,0.8,0.9278195488721804,0.9278195488721804
patch_aggregation_10,0.9593984962406015,0.6011962991892038,,,,,0.9593984962406015,0.9593984962406015,0.9593984962406015,0.9593984962406015,0.8721804511278195,1.0,0.9624060150375939,0.9593984962406015,0.9593984962406015,0.9593984962406015,0.8120300751879699,0.8120300751879699
patch_aggregation_20,0.9984962406015038,0.6103399691388495,,,,,0.9984962406015038,0.9984962406015038,0.9984962406015038,0.9984962406015038,0.8030075187969925,0.9624060150375939,1.0,0.9984962406015038,0.9984962406015038,0.9984962406015038,0.7308270676691729,0.7308270676691729
patch_aggregation_40,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
patch_aggregation_80,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
patch_aggregation_100,1.0,0.6103399691388495,,,,,1.0,1.0,1.0,1.0,0.8,0.9593984962406015,0.9984962406015038,1.0,1.0,1.0,0.7278195488721805,0.7278195488721805
class_mean_w_equal_weights,0.7278195488721805,0.4640412499445185,,,,,0.7278195488721805,0.7278195488721805,0.7278195488721805,0.7278195488721805,0.9278195488721804,0.8120300751879699,0.7308270676691729,0.7278195488721805,0.7278195488721805,0.7278195488721805,1.0,1.0
class_mean_weighted_by_occurrence,0.7278195488721805,0.4640412499445185,,,,,0.7278195488721805,0.7278195488721805,0.7278195488721805,0.7278195488721805,0.9278195488721804,0.8120300751879699,0.7308270676691729,0.7278195488721805,0.7278195488721805,0.7278195488721805,1.0,1.0
