,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.6323389111935327,0.5217153549186726,0.4582112636160652,0.18635567536082323,0.08863996936011309,0.99991967668536,0.9993334760712325,0.9850936418245095,0.8902134552190871,0.5297083578608714,0.6172926521455235,0.6953022829641431,0.809535600915473,0.837244218782623,0.315793771219518,0.25297109823514785
above_threshold_mean_0.3,0.6323389111935327,1.0,0.9475954205071806,0.8984883524544491,0.5465514833881012,0.3698178495959232,0.6340897998699401,0.6455095410533259,0.7312834043254903,0.8899775387287373,0.7679747199638509,0.866882723971057,0.8448129623743784,0.8199114049797795,0.8069051453466337,0.7330183347274659,0.6385543931134726
above_threshold_mean_0.5,0.5217153549186726,0.9475954205071806,1.0,0.9859373025994699,0.6565438899091841,0.47191011235955055,0.5227122151281782,0.5321486087709336,0.6209739600856959,0.8293892901360576,0.7461043023577238,0.8431923996058306,0.8133610652680126,0.7524307776600117,0.7276199164584334,0.8223104655693579,0.7203737959814406
above_threshold_mean_0.7,0.4582112636160652,0.8984883524544491,0.9859373025994699,1.0,0.7260129182231525,0.5419602878340765,0.45873176933378196,0.466793357634239,0.5536930771675659,0.7832831755902234,0.7264261528474334,0.8095238981808897,0.7697242277192567,0.6938790708560684,0.6666077097083493,0.8419521757112404,0.746700959225279
above_threshold_mean_0.9,0.18635567536082323,0.5465514833881012,0.6565438899091841,0.7260129182231525,1.0,0.9167906314290236,0.1855037694774064,0.18868239177297758,0.24959592319282517,0.46498395528491504,0.5723052506915431,0.5094221641813871,0.4431868142097795,0.34495379414623895,0.3237159905899375,0.5818471968626032,0.5409086375490219
above_threshold_mean_0.95,0.08863996936011309,0.3698178495959232,0.47191011235955055,0.5419602878340765,0.9167906314290236,1.0,0.08769497354251085,0.08899982844854985,0.13366650664063695,0.30887612522457947,0.43631534323690707,0.33041288045523637,0.27204230006609387,0.19241343633512908,0.18286161117398375,0.4467194442264958,0.4301773629217473
above_quantile_mean_0.3,0.99991967668536,0.6340897998699401,0.5227122151281782,0.45873176933378196,0.1855037694774064,0.08769497354251085,1.0,0.9995635411942907,0.985652713372103,0.8906565633058098,0.5310145427099651,0.6177054395108257,0.6954679830469931,0.8099723256924228,0.8375761508908042,0.3166821151628874,0.25382752562965366
above_quantile_mean_0.5,0.9993334760712325,0.6455095410533259,0.5321486087709336,0.466793357634239,0.18868239177297758,0.08899982844854985,0.9995635411942907,1.0,0.9885775991042088,0.8956334171586027,0.5386267731057057,0.6254164777162645,0.7022356212622729,0.8152515888456981,0.8424154976122432,0.3225066193592487,0.25862564680881056
above_quantile_mean_0.7,0.9850936418245095,0.7312834043254903,0.6209739600856959,0.5536930771675659,0.24959592319282517,0.13366650664063695,0.985652713372103,0.9885775991042088,1.0,0.9390415194405028,0.6007454243468374,0.6923593111876812,0.7559969200530346,0.8501462176894813,0.871099963960897,0.40201872171562086,0.3303014385054544
above_quantile_mean_0.9,0.8902134552190871,0.8899775387287373,0.8293892901360576,0.7832831755902234,0.46498395528491504,0.30887612522457947,0.8906565633058098,0.8956334171586027,0.9390415194405028,1.0,0.7324533275298422,0.8320912919685994,0.8560747166408896,0.8960358316455241,0.9022938689639489,0.6067202953344655,0.5189463283335173
patch_aggregation_10,0.5297083578608714,0.7679747199638509,0.7461043023577238,0.7264261528474334,0.5723052506915431,0.43631534323690707,0.5310145427099651,0.5386267731057057,0.6007454243468374,0.7324533275298422,1.0,0.8054516660738851,0.7540658860011298,0.6669158817356156,0.6494964931357154,0.5282335472340697,0.4364383549438315
patch_aggregation_20,0.6172926521455235,0.866882723971057,0.8431923996058306,0.8095238981808897,0.5094221641813871,0.33041288045523637,0.6177054395108257,0.6254164777162645,0.6923593111876812,0.8320912919685994,0.8054516660738851,1.0,0.90562303098166,0.8138645488263354,0.7914160441831425,0.5871190128211436,0.48082387251466496
patch_aggregation_40,0.6953022829641431,0.8448129623743784,0.8133610652680126,0.7697242277192567,0.4431868142097795,0.27204230006609387,0.6954679830469931,0.7022356212622729,0.7559969200530346,0.8560747166408896,0.7540658860011298,0.90562303098166,1.0,0.9031883302458505,0.8748570737046203,0.5437470826279555,0.43823549359607744
patch_aggregation_80,0.809535600915473,0.8199114049797795,0.7524307776600117,0.6938790708560684,0.34495379414623895,0.19241343633512908,0.8099723256924228,0.8152515888456981,0.8501462176894813,0.8960358316455241,0.6669158817356156,0.8138645488263354,0.9031883302458505,1.0,0.9819634262947148,0.49863995606155104,0.4049132867263063
