,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.17407791095548839,-0.058020296265364826,-0.14657515482850839,-0.14569106642498747,-0.1402346664255194,0.9922631625842298,0.9125188673348751,0.5385678246611194,0.26506986399560617,0.17647324794769942,0.2491788802876745,0.4618313981709158,0.6488291281063778,0.7043455711133955,0.023706016668417644,-0.08094249568794126
above_threshold_mean_0.3,0.17407791095548839,1.0,0.8941636600834352,0.7795577164241231,0.36345741334989445,0.2627463392383382,0.2530726992490302,0.5033138686713806,0.828324607260217,0.8994203156812653,0.3187750428546161,0.6054055994925269,0.5811067329289684,0.3050945461267273,0.27731039242726685,0.4339363344641544,0.8320577795922927
above_threshold_mean_0.5,-0.058020296265364826,0.8941636600834352,1.0,0.8837926435014581,0.42940790812289464,0.3320861055294091,0.008220905073534398,0.26666781920870897,0.7174316221187003,0.8998551786595316,0.33486763276286935,0.5823653088391553,0.3883137556336033,0.030567542731604433,-0.009082917864091355,0.4888841309589194,0.9301543564094414
above_threshold_mean_0.7,-0.14657515482850839,0.7795577164241231,0.8837926435014581,1.0,0.6051702149446581,0.4954286193033947,-0.07811867902723678,0.16242065745430947,0.5894917422579097,0.7912609829499136,0.35968673907290405,0.5476640410872372,0.3079856535112858,-0.02848525388949693,-0.061704795860423614,0.562965632526155,0.7820432176668737
above_threshold_mean_0.9,-0.14569106642498747,0.36345741334989445,0.42940790812289464,0.6051702149446581,1.0,0.9750359393638766,-0.1135601447415491,0.011817634159218363,0.23148407962647,0.3692864390573447,0.47670530785506166,0.3331390856706664,0.10753935376967688,-0.10085815620756927,-0.09736967741678092,0.5997558384011937,0.41637717913562006
above_threshold_mean_0.95,-0.1402346664255194,0.2627463392383382,0.3320861055294091,0.4954286193033947,0.9750359393638766,1.0,-0.11815027641061172,-0.020485636888083292,0.1572690604964885,0.2775582776234406,0.5064701493827473,0.27598213205206124,0.06305752558975798,-0.1148782982096146,-0.11198426514141026,0.5817849595923192,0.33476869146139226
above_quantile_mean_0.3,0.9922631625842298,0.2530726992490302,0.008220905073534398,-0.07811867902723678,-0.1135601447415491,-0.11815027641061172,1.0,0.9467951130444265,0.5976666343068324,0.3302370734652462,0.20007181223494303,0.2934067059328875,0.5130170314683873,0.6781224026246042,0.7308527968870726,0.05573693316541682,-0.021441271555306726
above_quantile_mean_0.5,0.9125188673348751,0.5033138686713806,0.26666781920870897,0.16242065745430947,0.011817634159218363,-0.020485636888083292,0.9467951130444265,1.0,0.7954832763933236,0.5713812285477571,0.26667819208708965,0.43741417440532154,0.6171623262376639,0.6716111606851951,0.7092660390631961,0.1879371403570132,0.22266952674407317
above_quantile_mean_0.7,0.5385678246611194,0.828324607260217,0.7174316221187003,0.5894917422579097,0.23148407962647,0.1572690604964885,0.5976666343068324,0.7954832763933236,1.0,0.9236811483574281,0.33270768031852715,0.6108558821534628,0.6230812502244132,0.4490091906362165,0.44340890019562185,0.38160516303372116,0.641480608701781
above_quantile_mean_0.9,0.26506986399560617,0.8994203156812653,0.8998551786595316,0.7912609829499136,0.3692864390573447,0.2775582776234406,0.3302370734652462,0.5713812285477571,0.9236811483574281,1.0,0.36430985117579234,0.6378639317730573,0.5327882696044077,0.24923207453578045,0.23016831989956926,0.4662446589650261,0.8132964342565638
patch_aggregation_10,0.17647324794769942,0.3187750428546161,0.33486763276286935,0.35968673907290405,0.47670530785506166,0.5064701493827473,0.20007181223494303,0.26667819208708965,0.33270768031852715,0.36430985117579234,1.0,0.4889293460698095,0.2690551770637041,0.12033283641039895,0.12404074147462435,0.4241416775604054,0.3332013229409504
patch_aggregation_20,0.2491788802876745,0.6054055994925269,0.5823653088391553,0.5476640410872372,0.3331390856706664,0.27598213205206124,0.2934067059328875,0.43741417440532154,0.6108558821534628,0.6378639317730573,0.4889293460698095,1.0,0.6167452833325132,0.3132840665938792,0.3138702672080068,0.3629398333158236,0.47206091805293093
