,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,class_mean_w_equal_weights,class_mean_weighted_by_occurrence
mean,1.0,0.11991281558357055,0.05176785451609763,0.005583480992826707,0.004855305208382662,-0.030242416391634944,0.9989317356860045,0.9962318659205948,0.9877920510247523,0.9473314669633847,0.5800159531373226,0.6931597192121396,0.7174639323236703,0.7402271522116262,0.795972637682734,0.8260018109567862,0.5001979362070014,0.5001979362070014
above_threshold_mean_0.3,0.11991281558357055,1.0,0.9415894145718394,0.8300797124197346,0.5265977034248905,0.3832399104484269,0.13323246186574442,0.15124146654368847,0.18873771957002275,0.2998952749762099,0.3327631631089758,0.2961260872662484,0.3285832936221928,0.2973262895399012,0.23701436923792132,0.21742585528606742,0.5445116472126467,0.5445116472126467
above_threshold_mean_0.5,0.05176785451609763,0.9415894145718394,1.0,0.9376880547620969,0.6237022856817402,0.4426824684714226,0.06088140761764356,0.07419414676617075,0.10340570272855779,0.1979183538169845,0.30688775269792345,0.24904085961736705,0.264817806496885,0.20974231298950285,0.1460979933781661,0.12908970358855446,0.47980924838269173,0.47980924838269173
above_threshold_mean_0.7,0.005583480992826707,0.8300797124197346,0.9376880547620969,1.0,0.7110066989245417,0.4920636741724771,0.012510165339804343,0.022454447599937883,0.04551549372513249,0.12717666170855443,0.25283732465172976,0.21553177875608026,0.22593790241004527,0.15099304387253248,0.09030720179313872,0.07223989622441442,0.3897291039744291,0.3897291039744291
above_threshold_mean_0.9,0.004855305208382662,0.5265977034248905,0.6237022856817402,0.7110066989245417,1.0,0.6336931618264733,0.009026862720777308,0.013629003920500765,0.027574038472851482,0.07829955969364404,0.15152465902320136,0.12521386505228613,0.11990040615701893,0.0863906228753613,0.035041937715566226,0.014110981364963167,0.21806295056242506,0.21806295056242506
above_threshold_mean_0.95,-0.030242416391634944,0.3832399104484269,0.4426824684714226,0.4920636741724771,0.6336931618264733,1.0,-0.02511029902210792,-0.019299994784528745,-0.005599519591294366,0.04159411493482095,0.08768951521111801,0.12751499418717877,0.11922292170933763,0.08123848652526515,0.054571097146083596,0.03843287205582697,0.1504585019703184,0.1504585019703184
above_quantile_mean_0.3,0.9989317356860045,0.13323246186574442,0.06088140761764356,0.012510165339804343,0.009026862720777308,-0.02511029902210792,1.0,0.9989659201440524,0.9930289460995972,0.9574072189029282,0.5764107805839537,0.696158702985468,0.7218660007877644,0.745589546392729,0.7993640403032419,0.8288693250507045,0.4987539940646649,0.4987539940646649
above_quantile_mean_0.5,0.9962318659205948,0.15124146654368847,0.07419414676617075,0.022454447599937883,0.013629003920500765,-0.019299994784528745,0.9989659201440524,1.0,0.9970487808118891,0.9676063626876172,0.577167404393417,0.7019850458215149,0.7280326662934863,0.7519731427229805,0.8035224859687141,0.8322737224480732,0.5036064310565334,0.5036064310565334
above_quantile_mean_0.7,0.9877920510247523,0.18873771957002275,0.10340570272855779,0.04551549372513249,0.027574038472851482,-0.005599519591294366,0.9930289460995972,0.9970487808118891,1.0,0.9828797912313002,0.5804190253601266,0.7103883348580733,0.7372524019410919,0.7615286353078506,0.808853739513376,0.8363465898983639,0.5187446436788283,0.5187446436788283
above_quantile_mean_0.9,0.9473314669633847,0.2998952749762099,0.1979183538169845,0.12717666170855443,0.07829955969364404,0.04159411493482095,0.9574072189029282,0.9676063626876172,0.9828797912313002,1.0,0.577788461071307,0.7228865005165424,0.7493294665872385,0.7712709717113658,0.8089222254995335,0.8332557061265163,0.5625878501060684,0.5625878501060684
above_quantile_mean_fg_ratio,0.5800159531373226,0.3327631631089758,0.30688775269792345,0.25283732465172976,0.15152465902320136,0.08768951521111801,0.5764107805839537,0.577167404393417,0.5804190253601266,0.577788461071307,1.0,0.5871893041045291,0.5652380821652717,0.5149137600462942,0.4824133548375428,0.4863536989778671,0.8122545077388287,0.8122545077388287
patch_aggregation_10,0.6931597192121396,0.2961260872662484,0.24904085961736705,0.21553177875608026,0.12521386505228613,0.12751499418717877,0.696158702985468,0.7019850458215149,0.7103883348580733,0.7228865005165424,0.5871893041045291,1.0,0.8904536798544725,0.7845484727712889,0.7365914243721254,0.7335720704080424,0.5650381264997041,0.5650381264997041
patch_aggregation_20,0.7174639323236703,0.3285832936221928,0.264817806496885,0.22593790241004527,0.11990040615701893,0.11922292170933763,0.7218660007877644,0.7280326662934863,0.7372524019410919,0.7493294665872385,0.5652380821652717,0.8904536798544725,1.0,0.8948200419497152,0.8459059457952736,0.8342264510790259,0.5637777502142821,0.5637777502142821
patch_aggregation_40,0.7402271522116262,0.2973262895399012,0.20974231298950285,0.15099304387253248,0.0863906228753613,0.08123848652526515,0.745589546392729,0.7519731427229805,0.7615286353078506,0.7712709717113658,0.5149137600462942,0.7845484727712889,0.8948200419497152,1.0,0.946925702129159,0.9225931580626707,0.5363393374080349,0.5363393374080349
patch_aggregation_80,0.795972637682734,0.23701436923792132,0.1460979933781661,0.09030720179313872,0.035041937715566226,0.054571097146083596,0.7993640403032419,0.8035224859687141,0.808853739513376,0.8089222254995335,0.4824133548375428,0.7365914243721254,0.8459059457952736,0.946925702129159,1.0,0.9862299851900518,0.5036385082534687,0.5036385082534687
patch_aggregation_100,0.8260018109567862,0.21742585528606742,0.12908970358855446,0.07223989622441442,0.014110981364963167,0.03843287205582697,0.8288693250507045,0.8322737224480732,0.8363465898983639,0.8332557061265163,0.4863536989778671,0.7335720704080424,0.8342264510790259,0.9225931580626707,0.9862299851900518,1.0,0.5064033519031816,0.5064033519031816
class_mean_w_equal_weights,0.5001979362070014,0.5445116472126467,0.47980924838269173,0.3897291039744291,0.21806295056242506,0.1504585019703184,0.4987539940646649,0.5036064310565334,0.5187446436788283,0.5625878501060684,0.8122545077388287,0.5650381264997041,0.5637777502142821,0.5363393374080349,0.5036385082534687,0.5064033519031816,1.0,1.0
class_mean_weighted_by_occurrence,0.5001979362070014,0.5445116472126467,0.47980924838269173,0.3897291039744291,0.21806295056242506,0.1504585019703184,0.4987539940646649,0.5036064310565334,0.5187446436788283,0.5625878501060684,0.8122545077388287,0.5650381264997041,0.5637777502142821,0.5363393374080349,0.5036385082534687,0.5064033519031816,1.0,1.0
