Aggregator,EAURC,EAURC_std
GMM,0.07983130661071083,0.0
GMM_pixel,0.08664677311969968,0.0
GMM_spatial,0.12269287126298309,0.0
Quantile fg. ratio,0.15766491690350712,0.0
Equally-w. class avg.,0.20300390014378092,0.0
Threshold 0.3,0.2867751132505315,0.0
Threshold 0.5,0.28838784071961765,0.0
Patch 20,0.2888863081935948,0.0
Patch 50,0.290423511947688,0.0
Patch 10,0.2976857911502949,0.0
Threshold 0.7,0.30329530455566883,0.0
Imbalance-w. class avg.,0.31364694376948876,0.0
Quantile 0.6,0.3139342087042827,0.0
Mean,0.3139775217573169,0.0
Quantile 0.75,0.31506746782505446,0.0
Quantile 0.9,0.3196217575949264,0.0
