Aggregator,EAURC,EAURC_std
Quantile fg. ratio,0.04868160470143897,0.0
Equally-w. class avg.,0.06394985736137102,0.0
Imbalance-w. class avg.,0.06394985736137102,0.0
GMM_pixel,0.0703193719225321,0.0
GMM,0.07237813741797484,0.0
GMM_spatial,0.07494901462983412,0.0
Patch 10,0.0899453606568182,0.0
Patch 20,0.09547769937322269,0.0
Quantile 0.75,0.09697873205561496,0.0
Mean,0.09697873205561496,0.0
Quantile 0.9,0.09697873205561496,0.0
Quantile 0.6,0.09697873205561496,0.0
Patch 50,0.09703872285015612,0.0
Threshold 0.3,0.12376043575573613,0.0
Threshold 0.5,0.1863181838887997,0.0
Threshold 0.7,0.20377862892052315,0.0
