Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM_spatial,0.13262330022735058,0.017048677444340188,0.08451192062192629,0.01363038099247486
GMM,0.1517848914841244,0.019797524025069735,0.10367351187870015,0.01632593207550486
GMM_pixel,0.1585834773177216,0.026091294432270554,0.11047209771229731,0.02267893517700248
Threshold 0.7,0.16011338737750952,0.018990256946770565,0.1120020077720853,0.013950064476283216
Threshold 0.5,0.16011338737750952,0.018990256946770565,0.1120020077720853,0.013950064476283216
Quantile fg. ratio,0.17462491746328412,0.044153212997572015,0.12651353785785988,0.041904525172189205
Equally-w. class avg.,0.18581234886852588,0.03864970532265945,0.13770096926310157,0.03560699064608381
Imbalance-w. class avg.,0.18581234886852588,0.03864970532265945,0.13770096926310157,0.03560699064608381
Patch 10,0.19608396781239268,0.045394161289908676,0.14797258820696843,0.04288467912790824
Threshold 0.3,0.2011392389933367,0.03331680509233259,0.1530278593879124,0.029910791691426783
Patch 20,0.20204666080205394,0.045482508660872015,0.15393528119662966,0.04283683250295263
Quantile 0.9,0.20264786643785768,0.045587128821818215,0.1545364868324334,0.042939163962938856
Quantile 0.75,0.20266587267759162,0.0455856881378518,0.15455449307216737,0.04293718724487422
Quantile 0.6,0.20266587267759162,0.0455856881378518,0.15455449307216737,0.04293718724487422
Mean,0.20266587267759162,0.0455856881378518,0.15455449307216737,0.04293718724487422
Patch 50,0.20266587267759162,0.0455856881378518,0.15455449307216737,0.04293718724487422
